mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	17									3	
2	2	11/2	11/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	18										
2	2	3	3	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	19										
2	2	4	4	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	20										
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	21										
2	2	11/2	11/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	22										
2	2	3	3	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	23										
2	2	15/4	15/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	24										
2	2	4	4	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	25										
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	26										
2	2	11/2	11/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	27										
3	3	6	6	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	28										
3	3	7	7	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	29										
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	30										
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	31										
3	3	6	6	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	32										
3	3	7	7	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	33										
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	34										
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	35										
3	3	6	6	1.0		0	0	Chord	6/8	2	2	1/4		1/4	1	36										
3	3	7	7	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	37										
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	38										
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	39										
4	4	9	9	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	40										
4	4	10	10	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	41									4	
4	4	41/4	41/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	42										
4	4	21/2	21/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					p									
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	43									5	
4	4	23/2	23/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	44										
4	4	10	10	0.0		1/4	1/4	Dynamic	6/8	1	2	0					sf									
4	4	10	10	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	45										
4	4	9	9	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	46										
4	4	10	10	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	47										
4	4	21/2	21/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	48										
4	4	9	9	1.0		0	0	Chord	6/8	2	2	1/4		1/4	1	49										
5	5	12	12	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	50									6	
5	5	51/4	51/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	51										
5	5	13	13	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	52										
5	5	27/2	27/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	53										
5	5	29/2	29/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	54										
5	5	12	12	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	55										
5	5	13	13	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	56										
5	5	27/2	27/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	57										
5	5	29/2	29/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	58										
5	5	12	12	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	59										
5	5	51/4	51/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	60										
5	5	13	13	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	61										
5	5	27/2	27/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	62										
5	5	29/2	29/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	63										
6	6	15	15	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	64									7	
6	6	63/4	63/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	65									7	
6	6	16	16	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	66										
6	6	33/2	33/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	67										
6	6	35/2	35/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	68										
6	6	15	15	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	69										
6	6	16	16	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	70										
6	6	33/2	33/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	71										
6	6	35/2	35/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	72										
6	6	15	15	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	73										
6	6	63/4	63/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	74										
6	6	16	16	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	75										
6	6	33/2	33/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	76										
6	6	35/2	35/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	77										
7	7	18	18	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	78										
7	7	19	19	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	79										
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	80										
7	7	41/2	41/2	0.0		5/8	5/8	Dynamic	6/8	1	1	0					sf									
7	7	41/2	41/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	81										
7	7	18	18	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	82										
7	7	19	19	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	83										
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	84										
7	7	41/2	41/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	85										
7	7	18	18	1.0		0	0	Chord	6/8	2	2	1/4		1/4	1	86										
7	7	19	19	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	87										
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	88										
8	8	21	21	0.0		0	0	Dynamic	6/8	1	1	0					p									
8	8	21	21	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	89									8	
8	8	22	22	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	90										
8	8	45/2	45/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	91										
8	8	21	21	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	92										
8	8	22	22	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	93										
8	8	45/2	45/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	94										
9	9	24	24	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	95									9	
9	9	99/4	99/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	96										
9	9	25	25	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	97										
9	9	51/2	51/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	98										
9	9	53/2	53/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	99										
9	9	24	24	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	100										
9	9	49/2	49/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	101										
9	9	25	25	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	102										
9	9	51/2	51/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	103										
9	9	26	26	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	104										
9	9	53/2	53/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	105										
10	10	27	27	0.0		0	0	Chord	6/8	1	1	0	grace32	1/16	1	106										
10	10	27	27	0.0		0	0	Chord	6/8	1	1	0	grace32	1/16	1	107										
10	10	27	27	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	108										
10	10	111/4	111/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	109										
10	10	28	28	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	110										
10	10	57/2	57/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	111									10	
10	10	29	29	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	112										
10	10	59/2	59/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	113										
10	10	27	27	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	114										
10	10	55/2	55/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	115										
10	10	28	28	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	116										
10	10	57/2	57/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	117										
10	10	29	29	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	118										
10	10	59/2	59/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	119										
11	11	30	30	0.0		0	0	Dynamic	6/8	1	1	0					sf									
11	11	30	30	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	120									11	
11	11	61/2	61/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	121										
11	11	31	31	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	122										
11	11	63/2	63/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sf									
11	11	63/2	63/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	123									12	
11	11	32	32	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	124										
11	11	65/2	65/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	125										
11	11	30	30	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	126										
11	11	63/2	63/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	127										
12	12	33	33	0.0		0	0	Dynamic	6/8	1	1	0					sf									
12	12	33	33	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	128									13	
12	12	67/2	67/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	129										
12	12	34	34	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	130										
12	12	69/2	69/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	131									14	
12	12	71/2	71/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	132										
12	12	33	33	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	133										
12	12	34	34	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	134										
12	12	69/2	69/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	135										
13	13	36	36	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	136									15	
13	13	147/4	147/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	137										
13	13	37	37	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	138										
13	13	75/2	75/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	139										
13	13	77/2	77/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	140										
13	13	36	36	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	141										
13	13	37	37	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	142										
13	13	75/2	75/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	143										
13	13	77/2	77/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	144										
13	13	36	36	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	145										
13	13	147/4	147/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	146										
13	13	37	37	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	147										
13	13	75/2	75/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	148										
13	13	77/2	77/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	149										
14	14	39	39	0.75		0	0	Chord	6/8	1	1	3/16		1/8	3/2	150									16	
14	14	159/4	159/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	151										
14	14	40	40	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	152										
14	14	81/2	81/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	153										
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	154										
14	14	39	39	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	155										
14	14	40	40	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	156										
14	14	81/2	81/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	157										
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	158										
14	14	39	39	0.75		0	0	Chord	6/8	2	2	3/16		1/8	3/2	159										
14	14	159/4	159/4	0.25		3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	160										
14	14	40	40	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	161										
14	14	81/2	81/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	162										
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	163										
15	15	42	42	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	164										
15	15	43	43	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	165										
15	15	87/2	87/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	166										
15	15	89/2	89/2	0.0		5/8	5/8	Dynamic	6/8	1	1	0					sf									
15	15	89/2	89/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	167										
15	15	42	42	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	168										
15	15	43	43	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	169										
15	15	87/2	87/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	170										
15	15	89/2	89/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	171										
15	15	42	42	1.0		0	0	Chord	6/8	2	2	1/4		1/4	1	172										
15	15	43	43	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	173										
15	15	87/2	87/2	1.0		3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	174										
16	16	45	45	0.0		0	0	Dynamic	6/8	1	1	0					p									
16	16	45	45	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	175										
16	16	46	46	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	176										
16	16	93/2	93/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	177									17	
16	16	95/2	95/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	178										
16	16	93/2	93/2	1.5		3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	179										
16	16	45	45	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	180										
16	16	46	46	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	181										
16	16	93/2	93/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	182										
17	17	48	48	0.0		0	0	Dynamic	6/8	1	1	0					f									
17	17	48	48	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	183										
17	17	49	49	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	184										
17	17	99/2	99/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	185										
17	17	101/2	101/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	186									18	
17	17	203/4	203/4	0.125		11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	187									18	
17	17	407/8	407/8	0.125		23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	188										
17	17	48	48	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	189										
17	17	49	49	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	190										
17	17	99/2	99/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	191										
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	192										
18	18	51	51	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	193										
18	18	52	52	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	194									19	
18	18	209/4	209/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	195										
18	18	105/2	105/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	196										
18	18	52	52	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	197										
18	18	105/2	105/2	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	198										
18	18	51	51	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	199										
18	18	52	52	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	200										
18	18	105/2	105/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	201										
19	19	54	54	0.0		0	0	Dynamic	6/8	1	1	0					p									
19	19	54	54	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	202									20	
19	19	217/4	217/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	203										
19	19	219/4	219/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	204									21	
19	19	55	55	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	205									21	
19	19	221/4	221/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	206										
19	19	111/2	111/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	207									22	
19	19	223/4	223/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	208										
19	19	225/4	225/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	209									23	
19	19	113/2	113/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	210									23	
19	19	227/4	227/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	211										
19	19	109/2	109/2	0.0		1/8	1/8	Dynamic	6/8	2	1	0					p									
19	19	109/2	109/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	212										
19	19	56	56	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	213										
20	20	57	57	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	214									24	
20	20	229/4	229/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	215										
20	20	231/4	231/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	216									25	
20	20	58	58	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	217									25	
20	20	233/4	233/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	218										
20	20	117/2	117/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	219									26	
20	20	235/4	235/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	220										
20	20	237/4	237/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	221									27	
20	20	119/2	119/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	222									27	
20	20	239/4	239/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	223										
20	20	115/2	115/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	224										
20	20	59	59	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	225										
21	21	60	60	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	226									28	
21	21	241/4	241/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	227										
21	21	243/4	243/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	228									29	
21	21	61	61	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	229									29	
21	21	245/4	245/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	230										
21	21	123/2	123/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	231									30	
21	21	247/4	247/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	232										
21	21	249/4	249/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	233									31	
21	21	125/2	125/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	234									31	
21	21	251/4	251/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	235										
21	21	121/2	121/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	236										
21	21	62	62	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	237										
22	22	63	63	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	238									32	
22	22	253/4	253/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	239									32	
22	22	127/2	127/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	240									32	
22	22	255/4	255/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	241									32	
22	22	64	64	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	242									32	
22	22	257/4	257/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	243										
22	22	129/2	129/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	244									33	
22	22	259/4	259/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	245									33	
22	22	65	65	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	246									33	
22	22	261/4	261/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	247									33	
22	22	131/2	131/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	248									33	
22	22	263/4	263/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	249										
22	22	63	63	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	250										
22	22	64	64	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	251										
22	22	129/2	129/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	252										
23	23	66	66	0.0		0	0	Dynamic	6/8	1	1	0					f									
23	23	66	66	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	253										
23	23	67	67	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	254										
23	23	135/2	135/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	255									34	
23	23	68	68	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	256										
23	23	275/4	275/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	257										
23	23	66	66	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	258										
23	23	265/4	265/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	259										
23	23	133/2	133/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	260										
23	23	267/4	267/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	261										
23	23	67	67	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	262										
23	23	269/4	269/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	263										
23	23	135/2	135/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	264										
23	23	271/4	271/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	265										
23	23	68	68	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	266										
23	23	273/4	273/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	267										
23	23	137/2	137/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	268										
23	23	275/4	275/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	269										
24	24	69	69	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	270										
24	24	139/2	139/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	271										
24	24	70	70	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	272										
24	24	141/2	141/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	273									35	
24	24	71	71	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	274										
24	24	287/4	287/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	275										
24	24	141/2	141/2	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	276										
24	24	69	69	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	277										
