mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur	Trill:trill
11	10	115/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	92							
11	10	29	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	93							
11	10	117/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	94							
11	10	59/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	95							
11	10	119/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	96							
11	10	30	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	97							
11	10	121/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	98							
11	10	55/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	99							
11	10	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	100							
11	10	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	101							
11	10	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	102						10	
12	11	61/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	103							
12	11	123/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	104							
12	11	31	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	105							
12	11	125/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	106							
12	11	63/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	107							
12	11	127/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	108							
12	11	32	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	109							
12	11	129/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	110							
12	11	65/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	111							
12	11	131/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	112							
12	11	33	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	113							
12	11	133/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	114							
12	11	61/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	115							
12	11	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	116						11	
12	11	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	117							
12	11	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	118							
13	12	67/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	119						12	
13	12	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	120							
13	12	67/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	121						13	
13	12	35	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	122							
13	12	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	123							
14	13	37	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	124							
14	13	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	125							
14	13	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	126							
14	13	77/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	127							
14	13	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	128							
14	13	73/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	129							
14	13	37	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	130							
14	13	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	131							
14	13	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	132							
14	13	77/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	133							
14	13	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	134							
15	14	79/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	135							
15	14	159/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	136							
15	14	40	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	137							
15	14	161/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	138							
15	14	81/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	139							
15	14	163/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	140							
15	14	41	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	141							
15	14	165/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	142							
15	14	83/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	143							
15	14	167/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	144							
15	14	42	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	145							
15	14	169/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	146							
15	14	79/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	147							
15	14	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	148							
15	14	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	149							
15	14	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	150							
16	15	85/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	151							
16	15	171/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	152							
16	15	43	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	153							
16	15	173/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	154							
16	15	87/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	155							
16	15	175/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	156							
16	15	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	157							
16	15	89/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	158							
16	15	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	159							
16	15	85/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	160							
16	15	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	161							
17	16	91/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	162							
17	16	95/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	163						14	
17	16	191/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	164						14	
17	16	48	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	165						14	
17	16	193/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	166							
17	16	91/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	167						15	
17	16	46	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	168						15	
17	16	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	169							
17	16	47	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	170						16	
17	16	95/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	171						16	
17	16	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	172							
18	17	97/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	173						17	
18	17	195/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	174						17	
18	17	49	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	175						17	
18	17	197/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	176						17	
18	17	99/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	177						17	
18	17	199/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	178							
18	17	101/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	179						18	
18	17	203/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	180						18	
18	17	51	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	181						18	
18	17	205/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	182							
18	17	97/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	183						19	
18	17	49	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	184						19	
18	17	99/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	185							
18	17	50	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	186						20	
18	17	101/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	187						20	
18	17	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	188							
19	18	103/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	189						21	
19	18	207/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	190						21	
19	18	52	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	191						21	
19	18	209/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	192						21	
19	18	105/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	193						21	
19	18	211/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	194							
19	18	107/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	195						22	
19	18	215/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	196						22	
19	18	54	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	197						22	
19	18	217/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	198							
19	18	103/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	199						23	
19	18	52	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	200						23	
19	18	105/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	201							
19	18	53	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	202						24	
19	18	107/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	203						24	
19	18	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	204							
20	19	109/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	205						25	
20	19	219/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	206						25	
20	19	55	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	207						25	
20	19	221/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	208						25	
20	19	111/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	209						25	
20	19	223/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	210							
20	19	113/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	211						26	
20	19	227/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	212						26	
20	19	57	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	213						26	
20	19	229/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	214							
20	19	109/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	215						27	
20	19	55	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	216						27	
20	19	111/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	217							
20	19	56	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	218						28	
20	19	113/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	219						28	
20	19	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	220							
21	20	115/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	221							
21	20	231/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	222							
21	20	58	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	223							
21	20	233/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	224							
21	20	117/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	225							
21	20	235/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	226							
21	20	59	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	227							
21	20	237/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	228							
21	20	119/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	229							
21	20	239/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	230							
21	20	60	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	231							
21	20	241/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	232							
21	20	115/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	233							
21	20	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	234							
22	21	121/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	235							
22	21	243/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	236							
22	21	61	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	237							
22	21	245/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	238							
22	21	123/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	239							
22	21	247/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	240							
22	21	62	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	241							
22	21	249/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	242							
22	21	125/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	243							
22	21	251/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	244							
22	21	63	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	245							
22	21	253/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	246							
22	21	121/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	247							
22	21	62	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	248							
22	21	62	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	249							
22	21	125/2	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	250							
22	21	63	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	251							
23	22	127/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	252							
23	22	255/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	253							
23	22	64	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	254							
23	22	257/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	255							
23	22	129/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	256							
23	22	259/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	257							
23	22	65	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	258							
23	22	261/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	259							
23	22	131/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	260							
23	22	263/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	261							
23	22	66	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	262							
23	22	265/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	263							
23	22	127/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	264							
23	22	65	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	265							
24	23	133/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	266							
24	23	267/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	267							
24	23	67	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	268							
24	23	269/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	269							
24	23	135/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	270							
24	23	271/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	271							
24	23	68	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	272							
24	23	273/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	273							
24	23	137/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	274							
24	23	275/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	275							
24	23	69	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	276							
24	23	277/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	277							
24	23	133/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	278							
24	23	68	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	279							
24	23	68	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	280							
24	23	137/2	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	281							
24	23	69	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	282							
25	24	279/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	283							
25	24	70	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	284							
25	24	281/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	285							
25	24	141/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	286							
25	24	283/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	287							
25	24	285/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	288							
25	24	143/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	289							
25	24	287/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	290							
25	24	72	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	291							
25	24	289/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	292							
25	24	139/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	293							
25	24	141/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	294							
25	24	71	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	295							
25	24	72	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	296							
26	25	291/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	297							
26	25	73	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	298							
26	25	293/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	299							
26	25	147/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	300							
26	25	295/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	301							
26	25	297/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	302							
26	25	149/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	303							
26	25	299/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	304							
26	25	75	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	305							
26	25	301/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	306							
26	25	145/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	307							
26	25	147/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	308							
