mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	slur
4	3	15/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	22							6
4	3	8	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	23							6
4	3	17/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	24							6
4	3	9	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	25							6
4	3	19/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	26							
5	4	10	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	27							
5	4	12	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	28							7
5	4	51/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	29							
5	4	10	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	30							8
5	4	21/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	31							8
5	4	11	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	32							8
5	4	23/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	33							
5	4	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	34							
6	5	13	0.0	0	0	Dynamic	3/4	1	1	0						fp						
6	5	13	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	35							9
6	5	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	36							
6	5	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	37							
6	5	15	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	38							10
6	5	63/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	39							
6	5	13	0.0	0	0	Dynamic	3/4	2	1	0						fp						
6	5	13	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	40							
7	6	16	0.0	0	0	Dynamic	3/4	1	1	0						fp						
7	6	16	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	41							11
7	6	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	42							
7	6	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	43							
7	6	18	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f						
7	6	18	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	44							12
7	6	75/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	45							
7	6	16	0.0	0	0	Dynamic	3/4	2	1	0						fp						
7	6	16	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	46							
8	7	19	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	47		articStaccatissimoAbove					
8	7	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	48		articStaccatissimoAbove					
8	7	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	49		articStaccatissimoAbove					
8	7	19	0.0	0	0	Dynamic	3/4	2	1	0						f						
8	7	19	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	50							13
8	7	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	51							13
8	7	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	52							
9	8	22	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	53							
9	8	89/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	54							
9	8	45/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	55							
9	8	91/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	56							
9	8	23	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	57							
9	8	93/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	58							
9	8	47/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	59							
9	8	95/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	60							
9	8	24	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	61							
9	8	97/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	62							
9	8	49/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	63							
9	8	99/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	64							
9	8	22	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	65							
9	8	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	66							
10	9	25	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	67							
10	9	101/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	68							
10	9	51/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	69							
10	9	103/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	70							
10	9	26	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	71							
10	9	105/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	72							
10	9	53/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	73							
10	9	107/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	74							
10	9	27	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	75							
10	9	109/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	76							
10	9	55/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	77							
10	9	111/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	78							
10	9	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	79							14
10	9	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	80							
10	9	26	2.0	1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	81							
11	10	28	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	82							
11	10	30	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p						
11	10	30	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	83							15
11	10	123/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	84							
11	10	28	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	85							
11	10	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	86							
11	10	28	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	87							
12	11	31	0.0	0	0	Dynamic	3/4	1	1	0						fp						
12	11	31	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	88							16
12	11	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	89							
12	11	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	90							
12	11	33	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	91							17
12	11	135/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	92							
12	11	31	0.0	0	0	Dynamic	3/4	2	2	0						fp						
12	11	31	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	93							
13	12	34	0.0	0	0	Dynamic	3/4	1	1	0						fp						
13	12	34	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	94							18
13	12	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	95							
13	12	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	96							
13	12	36	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f						
13	12	36	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	97							19
13	12	147/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	98							
13	12	34	0.0	0	0	Dynamic	3/4	2	2	0						fp						
13	12	34	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	99							
14	13	37	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	100		articStaccatissimoAbove					
14	13	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	101		articStaccatissimoAbove					
14	13	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	102		articStaccatissimoAbove					
14	13	37	0.0	0	0	Dynamic	3/4	2	1	0						f						
14	13	37	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	103							20
14	13	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	104							20
14	13	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	105							
15	14	40	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	106							
15	14	161/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	107							
15	14	81/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	108							
15	14	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	109							
15	14	41	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	110							
15	14	165/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	111							
15	14	83/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	112							
15	14	167/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	113							
15	14	42	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	114							
15	14	169/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	115							
15	14	85/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	116							
15	14	171/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	117							
15	14	40	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	118							
15	14	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	119							
16	15	43	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	120							
16	15	173/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	121							
16	15	87/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	122							
16	15	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	123							
16	15	44	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	124							
16	15	177/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	125							
16	15	89/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	126							
16	15	179/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	127							
16	15	45	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	128							
16	15	181/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	129							
16	15	91/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	130							
16	15	183/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	131							
16	15	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	132							21
16	15	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	133							
16	15	44	2.0	1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	134							
17	16	46	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	135							
17	16	95/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	136							
17	16	191/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	137							
17	16	48	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	138							
17	16	193/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	139							
17	16	97/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	140							
17	16	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	141							
17	16	46	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	142							
17	16	95/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	143							
17	16	48	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	144							
17	16	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	145							
17	16	46	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	146							
18	17	49	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	147							
18	17	101/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	148							
18	17	203/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	149							
18	17	51	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	150							
18	17	205/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	151							
18	17	103/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	152							
18	17	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	153							
18	17	49	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	154							
18	17	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	155							
18	17	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	156							
18	17	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	157							
19	18	52	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	158							
19	18	107/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	159							
19	18	215/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	160							
19	18	54	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	161							
19	18	217/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	162							
19	18	109/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	163							
19	18	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	164							
19	18	52	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	165							
19	18	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	166							
19	18	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	167							
19	18	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	168							
20	19	55	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	169							
20	19	221/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	170							
20	19	111/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	171							
20	19	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	172							
20	19	56	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	173							
20	19	225/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	174							
20	19	113/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	175							
20	19	227/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	176							
20	19	57	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	177							
20	19	229/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	178							
20	19	115/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	179							
20	19	231/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	180							
20	19	55	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	181							
20	19	111/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	182							
20	19	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	183							
20	19	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	184							
20	19	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	185							
20	19	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	186							
21	20	58	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	187							
21	20	233/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	188							
21	20	117/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	189							
21	20	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	190							
21	20	59	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	191							
21	20	237/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	192							
21	20	119/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	193							
21	20	239/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	194							
21	20	60	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	195							
21	20	241/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	196							
21	20	121/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	197							
21	20	243/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	198							
21	20	58	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	199							
21	20	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	200							
21	20	59	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	201							
21	20	119/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	202							
21	20	60	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	203							
21	20	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	204							
22	21	61	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	205							
22	21	245/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	206							
22	21	123/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	207							
22	21	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	208							
22	21	62	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	209							
22	21	249/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	210							
22	21	125/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	211							
22	21	251/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	212							
22	21	63	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	213							
22	21	253/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	214							
22	21	127/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	215							
22	21	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	216							
22	21	61	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	217							
22	21	123/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	218							
22	21	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	219							
22	21	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	220							
22	21	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	221							
22	21	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	222							
23	22	64	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	223							
23	22	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	224		ornamentTrill					
23	22	64	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	225							
23	22	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	226							
24	23	135/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0						p						
24	23	135/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	227							22
24	23	137/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4			1/4	1	228							22
24	23	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	229							
24	23	67	0.0	0	0	Dynamic	3/4	2	1	0						p						
24	23	67	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	230							23
24	23	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	231							23
24	23	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	232							23
24	23	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	233							23
24	23	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	234							23
24	23	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	235							
25	24	70	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	236							24
25	24	141/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	237							24
25	24	143/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4			1/4	1	238							24
25	24	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	239							
25	24	70	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	240							25
25	24	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	241							25
25	24	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	242							25
25	24	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	243							25
25	24	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	244							25
25	24	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	245							
26	25	73	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	246							26
26	25	293/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16			1/8	3/2	247							
26	25	74	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	248							27
26	25	297/4	0.75	5/16	5/16	Chord	3/4	1	1	3/16			1/8	3/2	249							
26	25	75	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	250							28
26	25	301/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16			1/8	3/2	251							
26	25	73	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	252							29
26	25	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	253							29
26	25	74	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	254							29
26	25	149/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	255							29
26	25	75	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	256							29
26	25	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	257							
27	26	76	0.75	0	0	Chord	3/4	1	1	3/16			1/8	3/2	258							30
27	26	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	259							
27	26	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	260							
27	26	76	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	261							31
27	26	153/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	262							31
27	26	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	263							31
27	26	155/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	264							31
27	26	78	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	265							31
27	26	157/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	266							
28	27	159/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	267							32
28	27	319/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	268							32
28	27	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	269							
28	27	161/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	270							33
28	27	323/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	271							33
28	27	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	272							
28	27	163/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	273							34
28	27	327/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	274							
28	27	79	0.25	0	0	Chord	3/4	2	1	1/16			1/16	1	275							35
28	27	317/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	276							35
28	27	159/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	277							35
28	27	319/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	278							35
28	27	80	0.25	1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	279							35
28	27	321/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	280							35
28	27	161/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	281							35
28	27	323/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	282							35
28	27	81	0.25	1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	283							35
28	27	325/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	284							35
28	27	163/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	285							35
28	27	327/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	286							
29	28	82	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	287							
29	28	165/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	288							36
29	28	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	289							36
29	28	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	290							
29	28	167/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	291							37
29	28	335/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	292							37
29	28	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	293							
29	28	169/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	294							38
29	28	339/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	295							
29	28	82	0.25	0	0	Chord	3/4	2	1	1/16			1/16	1	296							39
29	28	329/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	297							39
