mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur	Trill:trill	crescendo_line
3	2	35/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	24							
3	2	11/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	25					6		
3	2	6	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	26					6		
3	2	13/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	27					6		
3	2	7	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	28					6		
3	2	15/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	29					6		
3	2	8	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	30					6		
3	2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	31							
4	3	9	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	32					7		
4	3	10	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	33							
4	3	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	34					8		
4	3	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	35					8		
4	3	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	36							
4	3	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	37					9		
4	3	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	38					9		
4	3	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	39					9		
4	3	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	40					9		
4	3	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	41					9		
4	3	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	42					9		
4	3	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	43							
5	4	13	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	44					10		
5	4	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	45							
5	4	31/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	46					11		
5	4	63/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	47					11		
5	4	16	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	48					11		
5	4	65/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	49					11		
5	4	33/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	50					11		
5	4	67/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	51							
5	4	27/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	52					12		
5	4	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	53					12		
5	4	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	54					12		
5	4	15	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	55					12		
5	4	31/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	56					12		
5	4	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	57					12		
5	4	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	58							
6	5	17	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	59					13		
6	5	35/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	60							
6	5	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	61							
6	5	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	62					14		
6	5	39/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4			1/4	1	63							
6	5	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	64							
6	5	17	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	65					15		
6	5	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	66					15		
6	5	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	67					15		
6	5	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	68							
6	5	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	69					16		
6	5	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	70					16		
6	5	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	71					16		
6	5	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	72							
7	6	21	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	73					17		
7	6	85/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	74					17		
7	6	43/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	75					17		
7	6	87/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	76					17		
7	6	22	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	77					17		
7	6	89/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	78					17		
7	6	45/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	79					17		
7	6	91/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	80					17		
7	6	23	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	81					17		
7	6	93/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	82					17		
7	6	47/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	83					17		
7	6	95/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	84					17		
7	6	24	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	85					17		
7	6	97/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	86					17		
7	6	49/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	87					17		
7	6	99/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	88							
7	6	21	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	89							
8	7	25	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	90					18		
8	7	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	91							
8	7	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	92					19		
8	7	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	93							
8	7	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	94					20		
8	7	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	95							
8	7	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	96					21		
8	7	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	97							
8	7	25	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	98					22		
8	7	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	99					22		
8	7	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	100					22		
8	7	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	101							
8	7	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	102					23		
8	7	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	103					23		
8	7	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	104					23		
8	7	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	105							
9	8	29	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	106							
9	8	59/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	107							
9	8	119/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	108							
9	8	30	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	109							
9	8	121/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	110							
9	8	61/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	111							
9	8	123/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	112							
9	8	31	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	113							
9	8	125/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	114							
9	8	63/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	115							
9	8	127/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	116							
9	8	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	117							
9	8	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	118							
9	8	29	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	119							
10	9	33	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	120							
10	9	67/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	121							
10	9	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	122							
10	9	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	123					24		
10	9	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	124							
10	9	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	125		articStaccatoBelow					
10	9	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	126		articStaccatoBelow					
10	9	33	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1	127							
10	9	33	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	128							
10	9	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	129							
10	9	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	130							
10	9	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	131							
11	10	37	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	132							
11	10	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	133							
11	10	40	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	134							
11	10	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	135					25		
11	10	81/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	136					25		
11	10	163/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	137							
11	10	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	138		articStaccatoAbove					
11	10	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	139		articStaccatoAbove					
11	10	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	140		articStaccatoAbove					
11	10	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	141							
12	11	41	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	142					26		
12	11	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	143							
12	11	42	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	144							
12	11	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	145					27		
12	11	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	146					27		
12	11	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	147							
12	11	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	148					28		
12	11	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	149					28		
12	11	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	150					28		
12	11	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	151					28		
12	11	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	152					28		
12	11	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	153					28		
12	11	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	154							
13	12	45	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	155					29		
13	12	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	156							
13	12	47	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	157							
13	12	189/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	158							
13	12	95/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	159							
13	12	191/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	160							
13	12	48	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	161							
13	12	193/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	162							
13	12	97/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	163							
13	12	195/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	164							
13	12	91/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	165					30		
13	12	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	166					30		
13	12	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	167					30		
13	12	47	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	168					30		
13	12	95/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	169					30		
13	12	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	170					30		
13	12	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	171							
14	13	49	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	172							
14	13	197/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	173							
14	13	99/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	174							
14	13	199/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	175							
14	13	50	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	176							
14	13	201/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	177							
14	13	101/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	178							
14	13	203/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	179							
14	13	51	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	180							
14	13	205/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	181							
14	13	103/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	182							
14	13	207/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	183							
14	13	52	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	184							
14	13	209/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	185							
14	13	105/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	186							
14	13	211/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	187							
14	13	99/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	188					31		
14	13	50	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	189					31		
14	13	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	190					31		
14	13	51	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	191					31		
14	13	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	192					31		
14	13	52	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	193					31		
14	13	105/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	194							
15	14	53	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	195					32		
15	14	213/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	196					32		
15	14	107/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	197					32		
15	14	215/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	198							
15	14	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	199							
15	14	56	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	200							
15	14	56	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	201					33		
15	14	113/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	202					33		
15	14	227/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	203							
15	14	107/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	204					34		
15	14	54	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	205					34		
15	14	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	206					34		
15	14	55	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	207					34		
15	14	111/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	208					34		
15	14	56	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	209					34		
15	14	113/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	210							
16	15	57	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	211					35		
16	15	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	212							
16	15	59	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	213		articStaccatoAbove					
16	15	237/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	214					36		
16	15	119/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	215					36		
16	15	239/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	216					36		
16	15	60	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	217					36		
16	15	60	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	218					36		
16	15	121/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	219					36		
16	15	243/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	220							
16	15	57	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	221					37		
16	15	115/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	222					37		
16	15	58	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	223					37		
16	15	117/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	224					37		
16	15	59	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	225					37		
16	15	119/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	226					37		
16	15	60	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	227					37		
16	15	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	228							
17	16	61	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	229		articStaccatoAbove					
17	16	123/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	230					38		
17	16	125/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	231							
17	16	63	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	232		articStaccatoAbove					
17	16	253/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	233					39		
17	16	127/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	234					39		
17	16	255/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	235					39		
17	16	64	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	236					39		
17	16	64	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	237					39		
17	16	129/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	238					39		
17	16	259/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	239							
17	16	61	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	240					40		
17	16	123/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	241					40		
17	16	62	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	242					40		
17	16	125/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	243					40		
17	16	63	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	244					40		
17	16	127/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	245					40		
17	16	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	246					40		
17	16	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	247							
18	17	65	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	248					41		
18	17	131/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	249							
18	17	133/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	250							
18	17	67	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	251					42		
18	17	135/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	252							
18	17	137/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	253							
18	17	65	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	254					43		
18	17	131/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	255					43		
18	17	66	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	256					43		
18	17	133/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	257					43		
18	17	67	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	258					43, 44		
18	17	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	259					43, 44		
18	17	68	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	260					43, 44		
18	17	137/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	261							
19	18	69	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	262							
19	18	277/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	263							
19	18	139/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	264							
19	18	279/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	265							
19	18	70	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	266							
19	18	281/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	267							
19	18	141/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	268							
19	18	283/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	269							
19	18	71	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	270							
19	18	285/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	271							
19	18	143/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	272							
19	18	287/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	273							
19	18	72	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	274							
19	18	289/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	275							
19	18	145/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	276							
19	18	291/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	277							
19	18	69	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	278					45		
19	18	70	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	279					45		
19	18	71	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	280					45		
19	18	72	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	281							
20	19	73	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	282		articStaccatoAbove					
20	19	147/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	283		articStaccatoAbove					
20	19	149/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	284							
20	19	75	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	285					46		
20	19	151/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	286					46		
20	19	76	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	287					46		
20	19	153/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	288							
20	19	73	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	289					47		
20	19	147/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	290					47		
20	19	74	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	291					47		
20	19	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	292					47		
20	19	75	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	293					47		
20	19	151/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	294					47		
20	19	76	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	295					47		
20	19	153/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	296							
21	20	77	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	297							
21	20	309/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	298							
21	20	155/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	299							
21	20	311/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	300							
21	20	78	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	301							
21	20	313/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	302							
