mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					f											
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	54										2		
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	55												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	56		articStaccatissimoBelow										
5	5	37/2	37/2	0.0	5/8	5/8	Dynamic	4/4	1	1	0					p											
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	57		articStaccatoAbove										
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	58		articStaccatoAbove										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	59		articStaccatoAbove										
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	60										3		
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	61										3		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	62										3		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	63												
5	5	18	18	0.0	1/2	1/2	Dynamic	4/4	2	1	0					p											
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	64										4		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	65										4		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	66										4		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	67												
6	6	20	20	0.0	0	0	Dynamic	4/4	1	1	0					f											
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	68										5		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	69												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	70		articStaccatissimoAbove										
6	6	45/2	45/2	0.0	5/8	5/8	Dynamic	4/4	1	1	0					p											
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	71		articStaccatoAbove										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	72		articStaccatoAbove										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	73		articStaccatoAbove										
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	74										6		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	75										6		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	76										6		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	77												
6	6	22	22	0.0	1/2	1/2	Dynamic	4/4	2	1	0					p											
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	78										7		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	79										7		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	80										7		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	81												
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					f											
7	7	24	24	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	82										8		
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	83										8		
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	84										8		
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	85										8		
7	7	25	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	86										8		
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	87										8		
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	88										8		
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	89												
7	7	26	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	90										9		
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	91										9		
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	92										9		
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	93										9		
7	7	27	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	94										9		
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	95										9		
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	96										9		
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	97												
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	98												
8	8	28	28	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	99										10		
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	100										10		
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	101										10		
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	102										10		
8	8	29	29	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	103										10		
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	104										10		
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	105										10		
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	106												
8	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	107										11		
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	108										11		
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	109										11		
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	110										11		
8	8	31	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	111										11		
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	112										11		
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	113										11		
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	114												
8	8	28	28	0.0	0	0	Dynamic	4/4	2	1	0					f											
8	8	28	28	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	115										12		
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	116										12		
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	117										12		
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	118										12		
8	8	29	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	119										12		
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	120										12		
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	121										12		
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	122												
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	123										13		
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	124										13		
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	125										13		
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	126										13		
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	127										13		
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	128										13		
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	129										13		
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	130												
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	131										14		
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p									14		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	132										14		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	133												
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	134												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	135												
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	136												
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	137												
9	9	65/2	65/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0					p											
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	138												
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	139												
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	140												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	141												
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	142												
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	143												
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	144												
10	10	36	36	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	145												
10	10	147/4	147/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	146												
10	10	295/8	295/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	147												
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	148												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	149												
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	150												
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	151												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	152												
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	153												
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	154												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	155												
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	156												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	157												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	158												
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	159												
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	160												
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	161												
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	162										15		
11	11	42	42	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p									15		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	163										15		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	164												
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	165										16		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	166										16		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	167												
11	11	40	40	0.0	0	0	Dynamic	4/4	2	1	0					f											
11	11	40	40	0.0	0	0	Dynamic	4/4	2	1	0					f											
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	168												
11	11	81/2	81/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0					p											
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	169												
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	170												
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	171												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	172												
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	173												
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	174												
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	175												
12	12	44	44	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	176												
12	12	179/4	179/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	177												
12	12	359/8	359/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	178												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	179												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	180												
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	181												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	182												
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	183												
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	184												
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	185												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	186												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	187												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	188												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	189												
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	190												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	191												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	192												
13	13	48	48	0.0	0	0	Dynamic	4/4	1	1	0					f											
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	193										17		
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	194										17		
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	195										17		
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	196										17		
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	197										17		
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	198										17		
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	199										17		
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	200												
13	13	50	50	0.0	1/2	1/2	SystemText	4/4	1	1	0								simile								
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	201												
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	202												
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	203												
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	204												
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	205												
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	206												
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	207												
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	208												
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	209												
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	210												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	211												
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	212												
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	213												
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	214												
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	215												
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	216												
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	217												
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	218												
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	219												
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	220												
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	221												
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	222												
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	223												
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	224												
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	225												
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	226												
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	227												
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	228												
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	229												
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	230												
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	231												
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	232												
15	15	56	56	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	233												
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	234												
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	235												
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	236												
15	15	57	57	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	237												
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	238												
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	239												
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	240												
15	15	58	58	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	241												
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	242												
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	243												
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	244												
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	245												
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	246												
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	247												
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	248												
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	249												
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	250												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	251												
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	252												
16	16	60	60	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	253												
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	254												
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	255												
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	256												
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	257												
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	258												
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	259												
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	260												
16	16	62	62	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	261												
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	262												
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	263												
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	264												
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	265												
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	266												
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	267												
