mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin
3	3	43/8	43/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	32											
3	3	11/2	11/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	33									4		
3	3	45/8	45/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	34									4		
3	3	23/4	23/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	35									4		
3	3	47/8	47/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	36											
3	3	4	4	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	37											
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	38											
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	39											
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	40											
3	3	5	5	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	41											
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	42											
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	43											
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	44											
4	4	6	6	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	45		ornamentTrill									
4	4	27/4	27/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	46											
4	4	55/8	55/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	47											
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	48											
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	49											
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	50											
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	51											
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	52											
4	4	7	7	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	53											
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	54											
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	55											
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	56											
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0					p										
5	5	8	8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	57		articStaccatoAbove									
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	58		articStaccatoAbove									
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	59		articStaccatoAbove									
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	60		articStaccatoAbove									
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	61		articStaccatoAbove									
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	62											
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	63											
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	64											
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	65											
5	5	9	9	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	66											
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	67											
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	68											
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	69											
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	70		articStaccatoAbove									
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	71		articStaccatoAbove									
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	72		articStaccatoAbove									
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	73		articStaccatoAbove									
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	74		articStaccatoAbove									
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	75											
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	76											
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	77											
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	78											
6	6	11	11	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	79											
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	80											
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	81											
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	82											
7	7	12	12	0.0	0	0	Dynamic	2/4	1	1	0					f										
7	7	12	12	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	83											
7	7	12	12	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	84											
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	85		ornamentTrill							5		
7	7	55/4	55/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	86									5		
7	7	111/8	111/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	87											
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	88											
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	89											
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	90											
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	91											
7	7	12	12	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	92											
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	93											
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	94											
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	95											
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	96											
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	97											
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	98											
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	99											
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	100									6		
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	101											
8	8	14	14	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	102											
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	103									7		
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	104									7		
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	105											
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	106									8		
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	107									8		
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	108									8		
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	109											
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					p										
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	110									9		
9	9	65/4	65/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	111									9		
9	9	131/8	131/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	112									9		
9	9	33/2	33/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	113											
9	9	133/8	133/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	114											
9	9	67/4	67/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	115											
9	9	135/8	135/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	116											
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	117											
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	118											
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	119											
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	120											
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	121											
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	122											
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	123											
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	124											
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	125											
10	10	18	18	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	126									10		
10	10	73/4	73/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	127											
10	10	147/8	147/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	128											
10	10	37/2	37/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	129											
10	10	149/8	149/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	130											
10	10	75/4	75/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	131											
10	10	151/8	151/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	132											
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	133											
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	134											
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	135											
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	136											
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	137											
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	138											
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	139											
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	140											
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	141											
11	11	20	20	0.0	0	0	Dynamic	2/4	1	1	0					f										
11	11	20	20	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	142									11		
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	143											
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	144		articStaccatoAbove									
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	145		articStaccatoAbove									
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	146									12		
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	147											
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	148		articStaccatoAbove									
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	149		articStaccatoAbove									
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	150											
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	151											
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	152											
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	153											
11	11	20	20	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	154											
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	155											
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	156											
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	157											
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	158											
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	159											
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	160											
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	161											
12	12	22	22	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	162									13		
12	12	177/8	177/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	163									13		
12	12	89/4	89/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	164									13		
12	12	179/8	179/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	165									13		
12	12	45/2	45/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	166									13		
12	12	181/8	181/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	167									13		
12	12	91/4	91/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	168									13		
12	12	183/8	183/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	169									13		
12	12	23	23	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	170									13		
12	12	185/8	185/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	171									13		
12	12	93/4	93/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	172									13		
12	12	187/8	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	173											
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	174											
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	175		articStaccatoAbove									
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	176											
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0					p										
13	13	193/8	193/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	177									14		
13	13	97/4	97/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	178									14		
13	13	195/8	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	179											
13	13	197/8	197/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	180									15		
13	13	99/4	99/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	181											
13	13	199/8	199/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	182											
13	13	201/8	201/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	183									16		
13	13	101/4	101/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	184											
13	13	203/8	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	185											
13	13	205/8	205/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	186									17		
13	13	103/4	103/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	187									17		
13	13	207/8	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	188											
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	189		articStaccatoAbove									
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	190		articStaccatoAbove									
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	191		articStaccatoAbove									
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	192		articStaccatoAbove									
14	14	26	26	0.0	0	0	Dynamic	2/4	1	1	0					f										
14	14	26	26	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	193									18		
14	14	209/8	209/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	194									18		
14	14	105/4	105/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	195									18		
14	14	211/8	211/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	196									18		
14	14	53/2	53/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	197									18		
14	14	213/8	213/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	198									18		
14	14	107/4	107/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	199									18		
14	14	215/8	215/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	200									18		
14	14	27	27	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	201									18		
14	14	217/8	217/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	202									18		
14	14	109/4	109/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	203									18		
14	14	219/8	219/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	204									18		
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	205											
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	206		articStaccatoAbove									
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	207											
15	15	28	28	0.0	0	0	Dynamic	2/4	1	1	0					p										
15	15	225/8	225/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	208									19		
15	15	113/4	113/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	209									19		
15	15	227/8	227/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	210											
15	15	229/8	229/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	211									20		
15	15	115/4	115/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	212									20		
15	15	231/8	231/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	213											
15	15	233/8	233/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	214									21		
15	15	117/4	117/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	215									21		
15	15	235/8	235/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	216											
15	15	237/8	237/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	217									22		
15	15	119/4	119/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	218									22		
15	15	239/8	239/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	219											
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	220		articStaccatoAbove									
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	221		articStaccatoAbove									
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	222		articStaccatoAbove									
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	223		articStaccatoAbove									
16	16	30	30	0.0	0	0	Dynamic	2/4	1	1	0					f										
16	16	30	30	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	224									23		
16	16	123/4	123/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	225									23		
16	16	247/8	247/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	226									23		
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	227		articStaccatoAbove									
16	16	125/4	125/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	228									24		
16	16	127/4	127/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	229									24		
16	16	255/8	255/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	230											
16	16	30	30	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	231		articStaccatoAbove									
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	232									25		
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	233									25		
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	234									25		
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	235											
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	236									26		
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	237									26		
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	238											
17	17	32	32	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	239									27		
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	240									27		
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	241											
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	242		articStaccatoAbove									
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	243											
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	244											
17	17	133/4	133/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	245											
17	17	267/8	267/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	246											
17	17	67/2	67/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p										
17	17	67/2	67/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace32	1/32	1	247											
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	248											
17	17	135/4	135/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	249											
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	250											
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	251		articStaccatoAbove									
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	252		articStaccatoAbove									
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	253											
18	18	34	34	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	254									28		
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	255											
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	256											
18	18	34	34	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	257									29		
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	258											
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	259											
18	18	34	34	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	260											
18	18	141/4	141/4	0.0	5/16	5/16	Dynamic	2/4	2	2	0					f										
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	261											
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	262											
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	263											
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0					p										
19	19	36	36	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	264											
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	265											
19	19	73/2	73/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	266									30		
