mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	15		articStaccatissimoAbove								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	16		articStaccatissimoAbove								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	17										
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	18									0	
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	19									0	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	20									0	
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	21										
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	22									1	
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	23									1	
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	24									1	
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	25										
4	4	12	12	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	26										
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	27		articStaccatissimoAbove								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	28		articStaccatissimoAbove								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	29										
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	30									2	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	31									2	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	32									2	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	33										
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	34									3	
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	35									3	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	36									3	
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	37										
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	38										
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	39		articStaccatissimoAbove								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	40		articStaccatissimoAbove								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	41									4	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	42										
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	43									5	
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	44									5	
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	45									5	
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	46										
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	47									6	
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	48									6	
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	49									6	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	50										
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	51									7	
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	52									7	
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	53									7	
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	54										
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	55									8	
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	56									8	
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	57									8	
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	58										
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1		1	1	59										
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	60									9	
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	61									9	
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	62									9	
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	63										
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	64									10	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	65									10	
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	66									10	
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	67										
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	68										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	69										
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	70										
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					f									
8	8	28	28	0.0	0	0	Chord	4/4	1	1	0	grace32	1/32	1	71										
8	8	28	28	0.0	0	0	Chord	4/4	1	1	0	grace32	1/32	1	72										
8	8	28	28	0.0	0	0	Chord	4/4	1	1	0	grace32	1/32	1	73										
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	74										
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	75										
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	76										
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	77										
9	9	32	32	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	78										
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	79										
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	80										
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	81										
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	82										
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	83										
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	84										
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	85										
10	10	36	36	0.0	0	0	Dynamic	4/4	1	1	0					p									
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	86		articStaccatissimoAbove								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	87		articStaccatissimoAbove								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	88										
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	89									11	
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	90									11	
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	91									11	
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	92										
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	93									12	
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	94									12	
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	95									12	
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	96										
11	11	40	40	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	97										
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	98		articStaccatissimoAbove								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	99		articStaccatissimoAbove								
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	100									13	
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	101									13	
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	102										
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	103									14	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	104									14	
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	105									14	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	106										
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	107									15	
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	108									15	
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	109									15	
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	110										
12	12	44	44	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	111										
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	112		articStaccatissimoAbove								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	113		articStaccatissimoAbove								
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	114									16	
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	115									16	
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	116										
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	117									17	
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	118									17	
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	119									17	
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	120										
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	121									18	
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	122									18	
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	123									18	
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	124										
13	13	48	48	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	125									19	
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	126									19	
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	127									19	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	128										
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	129										
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	130									20	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	131										
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	132									21	
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	133									21	
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	134									21	
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	135										
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	136									22	
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	137										
15	15	56	56	0.0	0	0	Dynamic	4/4	1	1	0					f									
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	138										
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	139										
15	15	57	57	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	140										
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	141									23	
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	142										
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	143										
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	144										
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	145										
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	146										
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	147										
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	148										
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	149										
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	150										
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	151										
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	152										
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	153										
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	154										
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	155										
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	156										
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	157										
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	158										
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	159										
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	160										
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	161										
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	162										
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	163										
17	17	64	64	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	164										
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	165										
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	166										
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	167										
17	17	65	65	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	168										
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	169										
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	170										
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	171										
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	172										
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	173		ornamentTrill								
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	174										
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	175										
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	176										
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	177										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	178										
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	179										
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	180										
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	181										
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	182										
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	183										
18	18	69	69	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	184										
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	185										
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	186										
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	187										
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	188										
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	189										
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	190										
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	191										
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	192										
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	193										
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	194										
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	195										
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	196										
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	197										
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	198										
19	19	73	73	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	199										
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	200										
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	201										
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	202										
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	203										
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	204										
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	205										
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	206										
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	207										
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	208										
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	209										
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	210										
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	211										
20	20	76	76	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	212										
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	213										
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	214										
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	215										
20	20	77	77	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	216										
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	217										
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	218										
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	219										
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	220										
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	221		ornamentTrill								
20	20	76	76	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	222										
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	223										
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	224										
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	225										
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	226										
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	227										
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	228										
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	229										
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	230										
21	21	163/2	163/2	0.0	3/8	3/8	Chord	4/4	1	1	0	grace16	1/16	1	231										
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	232									24	
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	233										
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	234		articStaccatissimoAbove								
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	235		articStaccatissimoAbove								
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	236		articStaccatissimoAbove								
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	237		articStaccatissimoAbove								
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	238										
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	239										
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	240										
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	241										
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	242										
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	243										
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	244										
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	245										
22	22	84	84	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	246		articStaccatissimoAbove								
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	247		articStaccatissimoAbove								
22	22	85	85	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	248		articStaccatissimoAbove								
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	249		articStaccatissimoAbove								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	250										
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	251										
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	252										
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	253										
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	254										
22	22	86	86	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	255										
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	256										
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	257										
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	258										
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	259										
23	23	179/2	179/2	0.0	3/8	3/8	Chord	4/4	1	1	0	grace16	1/16	1	260										
23	23	179/2	179/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	261										
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	262										
23	23	90	90	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	263		articStaccatissimoAbove								
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	264		articStaccatissimoAbove								
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	265		articStaccatissimoAbove								
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	266		articStaccatissimoAbove								
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	267										
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	268										
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	269										
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	270										
23	23	90	90	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	271										
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	272										
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	273										
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	274										
24	24	92	92	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	275		articStaccatissimoAbove								
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	276		articStaccatissimoAbove								
24	24	93	93	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	277		articStaccatissimoAbove								
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	278		articStaccatissimoAbove								
24	24	94	94	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	279										
24	24	92	92	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	280										
