mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	101		ornamentTrill								
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	102										
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	103										
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	104		articStaccatoAbove								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	105		articStaccatoAbove								
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	106		articStaccatoAbove								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	107		articStaccatoAbove								
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	108		articStaccatoAbove								
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	109		articStaccatoAbove								
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	110		articStaccatoAbove								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	111		articStaccatoAbove								
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	112										
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	113										
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	114										
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	115		articStaccatoAbove								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	116		articStaccatoAbove								
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	117		articStaccatoAbove								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	118		articStaccatoAbove								
10	10	38	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	119										
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	120										
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	121										
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	122										
10	10	39	39	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	123										
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	124										
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	125										
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	126										
11	11	40	40	0.0	0	0	Dynamic	4/4	1	1	0					f									
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	127										
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	128										
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	129										
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	130										
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	131										
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	132										
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	133										
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	134										
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	135										
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	136										
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	137										
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	138										
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	139										
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	140										
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	141										
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	142										
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	143										
11	11	85/2	85/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0					f									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	144										
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145										
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	146										
12	12	44	44	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	147										
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	148										
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	149										
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	150										
12	12	45	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	151										
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	152										
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	153										
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	154										
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	155										
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	156										
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	157										
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	158										
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	159										
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	160										
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	161										
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	162										
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	163										
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	164										
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	165										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	166										
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	167										
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	168										
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	169										
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	170										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	171										
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	172										
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	173										
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	174										
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	175										
13	13	51	51	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	176										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	177										
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	178										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	179										
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	180										
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	181										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	182										
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	183										
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	184										
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	185										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	186										
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	187										
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	188										
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	189										
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	190										
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	191										
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	192										
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	193										
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	194										
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	195										
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	196										
14	14	55	55	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	197										
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	198										
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	199										
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	200										
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	201										
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	202										
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	203										
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	204										
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	205										
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	206										
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	207										
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	208										
15	15	56	56	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	209										
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	210										
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	211										
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	212										
15	15	57	57	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	213										
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	214										
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	215										
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	216										
15	15	58	58	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	217										
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	218										
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	219										
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	220										
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	221										
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	222										
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	223										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	224										
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	225										
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	226										
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	227										
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	228										
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	229										
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	230										
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	231										
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	232										
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	233										
16	16	63	63	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p									
16	16	63	63	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/32	1	234										
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	235										
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	236										
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	237										
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	238										
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	239										
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	240										
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	241										
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	242										
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	243										3
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	244										
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	245										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	246										4
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	247										4
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	248										4
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	249										
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0					p									
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	250										5
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	251										5
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	252										5
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	253										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	254										6
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	255										6
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	256										6
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	257										
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	258										7
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	259										
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	260										
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	261										8
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	262										8
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	263										8
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	264										
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	265										9
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	266										
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	267										10
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	268										
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	269										11
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	270										11
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	271										11
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	272										
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	273										12
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	274										
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	275										
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	276										13
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	277										
19	19	151/2	151/2	0.0	7/8	7/8	Chord	4/4	1	1	0	grace16	1/16	1	278										
