mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	slur	Trill:trill	crescendo_line
4	4	55/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	28									
4	4	14	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	29							8		
4	4	29/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	30							8		
4	4	15	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	31									
4	4	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	32									
4	4	12	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	33							9		
4	4	14	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	34									
5	5	16	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	35							10		
5	5	35/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24			1/16	2/3	36									
5	5	53/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24			1/16	2/3	37									
5	5	107/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24			1/16	2/3	38									
5	5	18	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	39									
5	5	19	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	40									
5	5	17	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	41									
5	5	18	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	42									
5	5	19	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	43									
6	6	20	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	44							11		
6	6	21	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	45									
6	6	22	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	46									
6	6	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	47									
6	6	20	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	48							12		
6	6	21	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	49									
6	6	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	50									
6	6	23	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	51									
7	7	24	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	52							13		
7	7	49/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	53									
7	7	25	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	54							14		
7	7	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	55									
7	7	26	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	56							15		
7	7	27	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	57									
7	7	24	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	58									
7	7	25	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	59									
7	7	26	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	60							16		
7	7	27	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	61									
7	7	26	2.0	1/2	1/2	Chord	2/2	2	2	1/2			1/2	1	62									
8	8	28	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	63									
8	8	57/2	0.0	1/8	1/8	Dynamic	2/2	1	1	0						f								
8	8	57/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	64									
8	8	29	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	65									
8	8	59/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	66									
8	8	30	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	67									
8	8	61/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	68									
8	8	31	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	69									
8	8	63/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	70									
8	8	28	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	71									
9	9	32	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	72							17		
9	9	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	73									
9	9	34	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	74									
9	9	35	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	75									
9	9	32	0.0	0	0	Dynamic	2/2	2	1	0						f								
9	9	32	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	76									
9	9	65/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	77									
9	9	33	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	78									
9	9	67/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	79									
9	9	34	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	80									
9	9	69/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	81									
9	9	35	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	82									
9	9	71/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	83									
10	10	36	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	84							18		
10	10	37	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	85									
10	10	37	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	86									
10	10	37	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	87									
10	10	37	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	88									
10	10	37	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	89									
10	10	38	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	90									
10	10	36	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	91									
10	10	73/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	92									
10	10	37	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	93									
10	10	75/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	94									
10	10	38	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	95									
10	10	77/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	96									
10	10	39	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	97									
10	10	79/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	98									
11	11	40	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	99							19		
11	11	81/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	100									
11	11	41	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	101							20		
11	11	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	102									
11	11	42	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	103							21		
11	11	85/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	104									
11	11	43	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	105							22		
11	11	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	106									
11	11	40	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	107									
11	11	41	2.0	1/4	1/4	Chord	2/2	2	1	1/2			1/2	1	108									
11	11	43	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	109									
11	11	41	1.0	1/4	1/4	Chord	2/2	2	2	1/4			1/4	1	110									
11	11	42	1.0	1/2	1/2	Chord	2/2	2	2	1/4			1/4	1	111									
11	11	43	1.0	3/4	3/4	Chord	2/2	2	2	1/4			1/4	1	112									
12	12	44	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	113							23		
12	12	91/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16			1/16	1	114									
12	12	183/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	115									
12	12	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	116							24		
12	12	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	117							24		
12	12	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	118							24		
12	12	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	119									
12	12	44	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	120							25		
12	12	46	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	121									
13	13	48	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	122							26		
13	13	99/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24			1/16	2/3	123									
13	13	149/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24			1/16	2/3	124									
13	13	299/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24			1/16	2/3	125									
13	13	50	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	126									
13	13	101/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	127									
13	13	51	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	128									
13	13	103/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	129									
13	13	48	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	130									
13	13	97/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	131									
13	13	49	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	132									
13	13	99/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	133									
13	13	50	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	134									
13	13	101/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	135									
13	13	51	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	136									
13	13	103/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	137									
14	14	52	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	138							27		
14	14	53	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	139									
14	14	53	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	140									
14	14	53	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	141									
14	14	53	0.0	1/4	1/4	Chord	2/2	1	1	0	grace16		1/16	1	142									
14	14	53	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	143									
14	14	54	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	144									
14	14	111/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	145									
14	14	52	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	146									
14	14	105/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	147									
14	14	53	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	148									
14	14	107/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	149									
14	14	54	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	150									
14	14	109/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	151									
14	14	55	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	152									
14	14	111/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	153									
15	15	56	0.3333333333333333	0	0	Chord	2/2	1	1	1/12			1/8	2/3	154									
15	15	169/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12			1/8	2/3	155									
15	15	170/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12			1/8	2/3	156									
15	15	57	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12			1/8	2/3	157									
15	15	172/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12			1/8	2/3	158									
15	15	173/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12			1/8	2/3	159									
15	15	58	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12			1/8	2/3	160									
15	15	175/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12			1/8	2/3	161									
15	15	176/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12			1/8	2/3	162									
15	15	59	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12			1/8	2/3	163									
15	15	178/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12			1/8	2/3	164									
15	15	179/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12			1/8	2/3	165									
15	15	56	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	166									
15	15	58	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	167									
15	15	59	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	168									
15	15	56	1.0	0	0	Chord	2/2	2	2	1/4			1/4	1	169									
15	15	57	1.0	1/4	1/4	Chord	2/2	2	2	1/4			1/4	1	170									
15	15	58	2.0	1/2	1/2	Chord	2/2	2	2	1/2			1/2	1	171									
16	16	60	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	172									
16	16	123/2	0.0	3/8	3/8	Dynamic	2/2	1	1	0						p								
16	16	123/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	173									
16	16	62	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	174		articStaccatoAbove							
16	16	125/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	175		articStaccatoAbove							
16	16	63	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	176		articStaccatoAbove							
16	16	127/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	177		articStaccatoAbove							
16	16	60	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	178									
16	16	61	1.0	1/4	1/4	Chord	2/2	2	2	1/4			1/4	1	179									
17	17	64	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	180									
17	17	65	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	181									
17	17	66	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	182							28		
17	17	67	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	183									
17	17	65	0.0	1/4	1/4	Dynamic	2/2	2	1	0						p								
17	17	65	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	184							29		
17	17	66	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	185							29		
17	17	67	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	186									
18	18	68	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	187									
18	18	139/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	188									
18	18	70	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	189		articStaccatoAbove							
18	18	141/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	190		articStaccatoAbove							
18	18	71	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	191		articStaccatoAbove							
18	18	143/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	192		articStaccatoAbove							
18	18	68	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	193									
18	18	69	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	194									
19	19	72	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	195									
19	19	73	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	196									
19	19	74	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	197							30		
19	19	75	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	198									
19	19	73	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	199							31		
19	19	74	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	200							31		
19	19	75	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	201									
20	20	76	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	202									
20	20	155/2	0.0	3/8	3/8	Dynamic	2/2	1	1	0						f								
20	20	155/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	203									
20	20	78	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	204		articStaccatoAbove							
20	20	157/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	205		articStaccatoAbove							
20	20	79	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	206		articStaccatoAbove							
20	20	159/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	207		articStaccatoAbove							
20	20	76	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	208									
20	20	77	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	209									
21	21	80	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	210									
21	21	244/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12			1/8	2/3	211									
21	21	245/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12			1/8	2/3	212									
21	21	82	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12			1/8	2/3	213									
21	21	247/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12			1/8	2/3	214									
21	21	248/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12			1/8	2/3	215									
21	21	83	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12			1/8	2/3	216									
21	21	250/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12			1/8	2/3	217									
21	21	251/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12			1/8	2/3	218									
21	21	161/2	0.0	1/8	1/8	Dynamic	2/2	2	1	0						f								
21	21	161/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	219							32		
21	21	81	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	220							32		
21	21	163/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	221							32		
21	21	82	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	222									
22	22	84	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	223									
22	22	256/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12			1/8	2/3	224									
22	22	257/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12			1/8	2/3	225									
22	22	86	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12			1/8	2/3	226									
22	22	259/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12			1/8	2/3	227									
22	22	260/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12			1/8	2/3	228									
22	22	87	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12			1/8	2/3	229									
22	22	262/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12			1/8	2/3	230									
22	22	263/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12			1/8	2/3	231									
22	22	169/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	232							33		
22	22	85	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	233									
22	22	171/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	234									
22	22	86	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	235									
23	23	88	0.25	0	0	Chord	2/2	1	1	1/16			1/16	1	236									
23	23	353/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16			1/16	1	237									
23	23	177/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16			1/16	1	238									
23	23	355/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	239									
23	23	89	0.25	1/4	1/4	Chord	2/2	1	1	1/16			1/16	1	240									
23	23	357/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16			1/16	1	241									
23	23	179/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16			1/16	1	242									
23	23	359/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	243									
23	23	90	0.25	1/2	1/2	Chord	2/2	1	1	1/16			1/16	1	244									
23	23	361/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16			1/16	1	245									
23	23	181/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16			1/16	1	246									
23	23	363/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	247									
23	23	91	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	248									
23	23	183/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	249									
23	23	88	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	250									
23	23	91	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	251									
24	24	92	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	252							34		
24	24	93	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	253									
24	24	94	1.5	1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	254							35		
24	24	191/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16			1/16	1	255									
24	24	383/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	256									
24	24	92	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	257									
24	24	185/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	258							36		
24	24	93	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	259							36		
24	24	187/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	260							36		
24	24	94	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	261							36		
24	24	189/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	262							36		
24	24	95	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	263							36		
24	24	191/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	264									
25	25	96	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	265							37		
25	25	97	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	266									
25	25	98	1.5	1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	267							38		
25	25	199/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16			1/16	1	268									
25	25	399/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	269									
25	25	96	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	270							39		
25	25	193/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	271							39		
25	25	97	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	272							39		
25	25	195/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	273							39		
25	25	98	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	274							39		
25	25	197/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	275							39		
25	25	99	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	276							39		
25	25	199/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	277									
26	26	100	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	278									
26	26	102	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	279		articStaccatissimoAbove							
26	26	205/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4			1/4	1	280							40		
26	26	207/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16			1/16	1	281							40		
26	26	415/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	282									
26	26	100	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	283							41		
26	26	201/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	284							41		
26	26	101	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	285							41		
26	26	203/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	286							41		
26	26	102	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	287							41		
26	26	205/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	288							41		
26	26	103	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	289							41		
26	26	207/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	290									
27	27	104	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	291		articStaccatoAbove							
27	27	209/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	292		articStaccatoAbove							
27	27	105	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	293		articStaccatoAbove							
27	27	211/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	294		articStaccatoAbove							
27	27	106	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	295		articStaccatissimoAbove							
