mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur	crescendo_line
4	4	93/8	0.125		21/32	21/32	Chord	3/4	1	1	1/32			1/32	1	33					6	
4	4	47/4	0.125		11/16	11/16	Chord	3/4	1	1	1/32			1/32	1	34					6	
4	4	95/8	0.125		23/32	23/32	Chord	3/4	1	1	1/32			1/32	1	35						
4	4	9	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	36					7	
4	4	37/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	37					7	
4	4	19/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	38					7	
4	4	39/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	39						
4	4	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	40						
5	5	12	0.0		0	0	Chord	3/4	1	1	0	grace16		1/16	1	41						
5	5	12	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	42						
5	5	51/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	43					8	
5	5	103/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	44					8	
5	5	13	0.25		1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	45					8	
5	5	53/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	46					8	
5	5	27/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	47					8	
5	5	55/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	48						
5	5	14	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	49					9	
5	5	57/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	50					9	
5	5	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	51					9	
5	5	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	52						
5	5	12	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	53						
5	5	12	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	54						
5	5	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	55						
6	6	15	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	56					10	
6	6	16	0.75		1/4	1/4	Chord	3/4	1	1	3/16			1/8	3/2	57		ornamentTrill			10	
6	6	67/4	0.125		7/16	7/16	Chord	3/4	1	1	1/32			1/32	1	58					10	
6	6	135/8	0.125		15/32	15/32	Chord	3/4	1	1	1/32			1/32	1	59					10	
6	6	17	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	60						
6	6	69/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	61					11	
6	6	35/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	62					11	
6	6	71/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	63						
6	6	15	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	64					12	
6	6	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	65					12	
6	6	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	66						
7	7	18	0.25		0	0	Chord	3/4	1	1	1/16			1/16	1	67						
7	7	73/4	0.0		1/16	1/16	Chord	3/4	1	1	0	grace32		1/32	1	68						
7	7	73/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	69						
7	7	37/2	0.0		1/8	1/8	Chord	3/4	1	1	0	grace32		1/32	1	70						
7	7	37/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	71						
7	7	75/4	0.0		3/16	3/16	Chord	3/4	1	1	0	grace32		1/32	1	72						
7	7	75/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	73						
7	7	19	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	74					13	
7	7	41/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	75						
7	7	83/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	76						
7	7	41/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	77						
7	7	18	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	78						
7	7	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	79						
7	7	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	80						
7	7	19	2.0		1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	81						
8	8	21	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	82						
8	8	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	83		articStaccatoAbove			14	
8	8	23	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	84		articStaccatoAbove				
8	8	47/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	85		articStaccatoAbove				
8	8	21	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	86					15	
8	8	85/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	87					15	
8	8	43/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	88					15	
8	8	87/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	89					15	
8	8	22	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	90					15	
8	8	89/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	91					15	
8	8	45/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	92					15	
8	8	91/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	93					15	
8	8	23	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	94					15	
8	8	93/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	95					15	
8	8	47/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	96					15	
8	8	95/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	97						
9	9	24	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	98					16	
9	9	49/2	0.0		1/8	1/8	Dynamic	3/4	1	1	0						p					
9	9	49/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	99						
9	9	51/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	100					17	
9	9	103/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	101						
9	9	26	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	102					18	
9	9	105/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	103						
9	9	53/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	104					19	
9	9	107/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	105						
9	9	24	0.0		0	0	Dynamic	3/4	1	2	0						sf					
9	9	24	2.0		0	0	Chord	3/4	1	2	1/2			1/2	1	106						
9	9	24	0.0		0	0	Dynamic	3/4	2	1	0						sfp					
9	9	24	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	107					20	
9	9	97/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	108					20	
9	9	49/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	109					20	
9	9	99/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	110					20	
9	9	25	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	111					20	
9	9	101/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	112					20	
9	9	51/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	113					20	
9	9	103/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	114					20	
9	9	26	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	115					20	
9	9	105/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	116					20	
9	9	53/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	117					20	
9	9	107/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	118						
10	10	27	0.0		0	0	Chord	3/4	1	1	0	grace16		1/16	1	119						
10	10	27	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	120					21	
10	10	111/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	121					21	
10	10	223/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	122					21	
10	10	28	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	123						
10	10	57/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	124		articStaccatoAbove			22	
10	10	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	125		articStaccatoAbove				
10	10	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	126		articStaccatoAbove				
10	10	27	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	127					23	
10	10	109/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	128					23	
10	10	55/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	129					23	
10	10	111/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	130					23	
10	10	28	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	131					23	
10	10	113/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	132					23	
10	10	57/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	133					23	
10	10	115/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	134					23	
10	10	29	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	135					23	
10	10	117/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	136					23	
10	10	59/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	137					23	
10	10	119/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	138						
11	11	30	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	139					24	
11	11	61/2	0.0		1/8	1/8	Dynamic	3/4	1	1	0						p					
11	11	61/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	140						
11	11	63/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	141					25	
11	11	127/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	142						
11	11	32	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	143					26	
11	11	129/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	144						
11	11	65/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	145					27	
11	11	131/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	146						
11	11	30	0.0		0	0	Dynamic	3/4	1	2	0						sf					
11	11	30	2.0		0	0	Chord	3/4	1	2	1/2			1/2	1	147						
11	11	30	0.0		0	0	Dynamic	3/4	2	1	0						sfp					
11	11	30	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	148					28	
11	11	121/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	149					28	
11	11	61/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	150					28	
11	11	123/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	151					28	
11	11	31	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	152					28	
11	11	125/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	153					28	
11	11	63/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	154					28	
11	11	127/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	155					28	
11	11	32	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	156					28	
11	11	129/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	157					28	
11	11	65/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	158					28	
11	11	131/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	159						
12	12	33	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	160					29	
12	12	67/2	0.0		1/8	1/8	Chord	3/4	1	1	0	grace32		1/32	1	161						
12	12	67/2	0.0		1/8	1/8	Chord	3/4	1	1	0	grace32		1/32	1	162						
12	12	67/2	0.0		1/8	1/8	Chord	3/4	1	1	0	grace32		1/32	1	163						
12	12	67/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	164					30	
12	12	269/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	165					30	
12	12	135/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	166					30	
12	12	271/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	167					30	
12	12	34	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	168						
12	12	69/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	169					31	
12	12	35	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	170					31	
12	12	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	171						
12	12	33	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	172						
12	12	69/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	173					32	
12	12	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	174					32	
12	12	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	175						
13	13	36	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	176					33	
13	13	147/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	177						
13	13	37	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	178						
13	13	36	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	179					34	
13	13	37	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	180						
13	13	36	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	181						
13	13	75/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	182					35	
13	13	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	183						
13	13	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	184						
14	14	39	0.0		0	0	Chord	3/4	1	1	0	grace16		1/16	1	185						
14	14	39	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	186						
14	14	81/2	0.125		3/8	3/8	Chord	3/4	1	1	1/32			1/32	1	187					36	
14	14	325/8	0.125		13/32	13/32	Chord	3/4	1	1	1/32			1/32	1	188					36	
14	14	163/4	0.125		7/16	7/16	Chord	3/4	1	1	1/32			1/32	1	189					36	
14	14	327/8	0.125		15/32	15/32	Chord	3/4	1	1	1/32			1/32	1	190						
14	14	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	191					37	
14	14	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	192						
14	14	39	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	193					38	
14	14	79/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	194					38	
14	14	40	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	195					38	
14	14	81/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	196						
14	14	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	197						
14	14	41	0.5		1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	198					39	
14	14	83/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	199						
15	15	42	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	200					40	
15	15	85/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	201					40	
15	15	341/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	202					40	
15	15	171/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	203					40	
15	15	343/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	204						
15	15	43	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	205						
15	15	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	206		articStaccatoAbove			41	
15	15	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	207		articStaccatoAbove			41	
15	15	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	208		articStaccatoAbove				
15	15	42	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	209					42	
15	15	85/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	210						
15	15	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	211						
16	16	45	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	212						
16	16	93/2	0.125		3/8	3/8	Chord	3/4	1	1	1/32			1/32	1	213					43	
16	16	373/8	0.125		13/32	13/32	Chord	3/4	1	1	1/32			1/32	1	214					43	
16	16	187/4	0.125		7/16	7/16	Chord	3/4	1	1	1/32			1/32	1	215					43	
16	16	375/8	0.125		15/32	15/32	Chord	3/4	1	1	1/32			1/32	1	216					43	
16	16	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	217						
16	16	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	218						
16	16	95/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	219						
16	16	91/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	220					44	
16	16	46	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	221					44	
16	16	93/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	222					44	
16	16	47	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	223						
16	16	95/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	224						
16	16	95/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	225					45	
17	17	48	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	226					46	
17	17	97/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	227					46	
17	17	389/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	228					46	
17	17	195/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	229					46	
17	17	391/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	230						
17	17	49	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	231						
17	17	48	0.5		0	0	Chord	3/4	1	2	1/8			1/8	1	232					47	
17	17	97/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	233						
17	17	49	0.5		1/4	1/4	Chord	3/4	1	2	1/8			1/8	1	234						
17	17	48	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	235					48	
17	17	97/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	236						
17	17	49	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	237						
17	17	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	238		articStaccatoBelow			49	
17	17	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	239		articStaccatoBelow			49	
17	17	101/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	240		articStaccatoBelow				
18	18	51	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	241					50	
18	18	105/2	0.125		3/8	3/8	Chord	3/4	1	1	1/32			1/32	1	242					50	
18	18	421/8	0.125		13/32	13/32	Chord	3/4	1	1	1/32			1/32	1	243					50	
18	18	211/4	0.125		7/16	7/16	Chord	3/4	1	1	1/32			1/32	1	244					50	
18	18	423/8	0.125		15/32	15/32	Chord	3/4	1	1	1/32			1/32	1	245					50	
18	18	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	246						
18	18	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	247		articStaccatoAbove				
18	18	103/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	248					51	
18	18	52	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	249					51	
18	18	105/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	250					51	
18	18	53	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	251						
18	18	107/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	252		articStaccatoAbove				
19	19	54	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	253						
19	19	111/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	254					52	
19	19	223/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	255					52	
19	19	56	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	256					52	
19	19	225/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	257					52	
19	19	113/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	258					52	
19	19	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	259						
19	19	109/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	260						
19	19	55	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	261					53	
19	19	111/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	262						
19	19	56	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	263						
19	19	113/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	264						
20	20	58	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	265						
20	20	59	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	266					54	
20	20	237/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	267					54	
20	20	119/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	268					54	
20	20	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	269						
20	20	57	0.16666666666666666		0	0	Chord	3/4	1	2	1/24			1/16	2/3	270					55	
20	20	343/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	2	1/24			1/16	2/3	271					55	
20	20	172/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	2	1/24			1/16	2/3	272						
20	20	115/2	0.16666666666666666		1/8	1/8	Chord	3/4	1	2	1/24			1/16	2/3	273					56	
20	20	173/3	0.16666666666666666		1/6	1/6	Chord	3/4	1	2	1/24			1/16	2/3	274					56	
20	20	347/6	0.16666666666666666		5/24	5/24	Chord	3/4	1	2	1/24			1/16	2/3	275						
20	20	59	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	276						
20	20	57	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	277						
20	20	115/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	278					57	
20	20	58	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	279						
20	20	117/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	280						
20	20	59	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	281						
20	20	119/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	282						
21	21	60	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	283						
21	21	123/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						f					
21	21	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	284		articStaccatoAbove			58	
21	21	62	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	285		articStaccatoAbove			58	
21	21	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	286		articStaccatoAbove				
21	21	60	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	287						
21	21	241/4	0.0		1/16	1/16	Dynamic	3/4	2	1	0						sf					
21	21	241/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	288					59	
21	21	121/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	289					59	
21	21	243/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	290					59	
21	21	61	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	291					59	
21	21	245/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	292					59	
