mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	4	7	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	25								
4	4	15/2	15/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	26								
5	5	8	8	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	27								6
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	28								
5	5	8	8	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	29								
5	5	17/2	17/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	30								
5	5	9	9	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	31								
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	32								
6	6	10	10	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	33								7
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	34								
6	6	10	10	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	35								
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	36								
6	6	11	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	37								
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	38								
7	7	12	12	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	39								8
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	40								
7	7	12	12	1.5		0	0	Chord	2/4	1	2	3/8		1/4	3/2	41								9
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	42								
7	7	25/2	25/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	43								
7	7	13	13	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	44								
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	45								
8	8	14	14	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	46								
8	8	14	14	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	47								
8	8	15	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	48								
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	49								
8	8	14	14	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	50								
8	8	14	14	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	51								
8	8	15	15	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	52								
9	9	16	16	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	53								10
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	54								
9	9	16	16	1.5		0	0	Chord	2/4	1	2	3/8		1/4	3/2	55								11
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	56								
9	9	33/2	33/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	57								12
9	9	17	17	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	58								12
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	59								
9	9	33/2	33/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	60								
10	10	18	18	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	61								13
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	62								
10	10	18	18	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	63								
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	64								14
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	65								14
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	66								
10	10	37/2	37/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	67								
11	11	20	20	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	68								15
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	69								
11	11	20	20	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	70								
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	71								16
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	72								16
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	73								
12	12	22	22	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	74								
12	12	22	22	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	75								
12	12	23	23	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	76								
12	12	45/2	45/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	77								
12	12	23	23	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	78								
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	79								
13	13	24	24	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	80								17
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	81								
13	13	24	24	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	82								
13	13	49/2	49/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	83								
13	13	25	25	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	84								
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	85								
14	14	26	26	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	86								18
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	87								
14	14	26	26	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	88								
14	14	53/2	53/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	89								
14	14	27	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	90								
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	91								
15	15	28	28	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	92								
15	15	28	28	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	93								
15	15	29	29	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94								
15	15	59/2	59/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	95								
15	15	28	28	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	96								
15	15	29	29	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	97								
16	16	30	30	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	98								
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	99		articStaccatoAbove						
16	16	31	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	100		articStaccatoAbove						
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	101		articStaccatoAbove						
16	16	30	30	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	102								
17	17	32	32	0.0		0	0	Dynamic	2/4	1	1	0					f							
17	17	32	32	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	103		articStaccatoAbove						
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	104		articStaccatoAbove						
17	17	32	32	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	105								
17	17	65/2	65/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0					f							
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	106								
17	17	33	33	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	107								
17	17	67/2	67/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	108								
18	18	34	34	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	109		articStaccatoAbove						
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	110		articStaccatoAbove						
18	18	69/2	69/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	111								
18	18	35	35	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	112								
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	113								
19	19	36	36	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	114								
19	19	36	36	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	115								
19	19	37	37	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	116								
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	117								
19	19	36	36	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	118								
19	19	37	37	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	119								
20	20	38	38	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	120								
20	20	77/2	77/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	121		articStaccatoAbove						
20	20	39	39	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	122		articStaccatoAbove						
20	20	79/2	79/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	123		articStaccatoAbove						
20	20	38	38	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	124								
21	21	40	40	0.0		0	0	Dynamic	2/4	1	1	0					p							
21	21	40	40	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	125								19
21	21	83/2	83/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	126								
21	21	81/2	81/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0					p							
21	21	81/2	81/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	127								20
21	21	41	41	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	128								20
21	21	83/2	83/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	129								
21	21	81/2	81/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	130								
22	22	42	42	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	131								21
22	22	85/2	85/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	132								21
22	22	43	43	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	133								21
22	22	87/2	87/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	134								
22	22	85/2	85/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	135								22
22	22	43	43	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	136								22
22	22	87/2	87/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	137								
22	22	85/2	85/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	138								
23	23	44	44	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	139								23
23	23	91/2	91/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	140								
23	23	89/2	89/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	141								24
23	23	45	45	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	142								24
23	23	91/2	91/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	143								
23	23	89/2	89/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	144								
24	24	46	46	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	145								25
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	146								25
24	24	47	47	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	147								25
24	24	95/2	95/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	148								
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	149								26
24	24	47	47	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	150								26
24	24	95/2	95/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	151								
24	24	93/2	93/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	152								
25	25	48	48	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	153								
25	25	48	48	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	154								
25	25	99/2	99/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155								
25	25	97/2	97/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	156								27
25	25	49	49	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	157								27
25	25	99/2	99/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	158								
25	25	97/2	97/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	159								
26	26	50	50	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	160								28
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	161								
26	26	51	51	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	162								29
26	26	103/2	103/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	163								
26	26	50	50	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	164								
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	165								
26	26	51	51	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	166								
26	26	103/2	103/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	167								
27	27	52	52	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	168		ornamentTrill						30
27	27	105/2	105/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	169								
27	27	53	53	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	170		ornamentTrill						31
27	27	107/2	107/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	171								
27	27	52	52	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	172								
27	27	105/2	105/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	173								
27	27	53	53	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	174								
27	27	107/2	107/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	175								
28	28	54	54	0.0		0	0	Dynamic	2/4	1	1	0					f							
28	28	54	54	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	176								32
28	28	55	55	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	177								
28	28	54	54	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	178								
28	28	55	55	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	179								
29	29	56	56	0.0		0	0	Dynamic	2/4	1	1	0					pp							
29	29	56	56	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	180								
29	29	115/2	115/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	181								
29	29	113/2	113/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0					pp							
29	29	113/2	113/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	182								33
29	29	57	57	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	183								33
29	29	115/2	115/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	184								
29	29	113/2	113/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	185								
30	30	58	58	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	186								34
30	30	119/2	119/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	187								
30	30	117/2	117/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	188								35
30	30	59	59	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	189								35
30	30	119/2	119/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	190								
30	30	117/2	117/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	191								
31	31	60	60	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	192								36
31	31	123/2	123/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	193								
31	31	60	60	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	194								
31	31	121/2	121/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	195								37
31	31	61	61	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	196								37
31	31	123/2	123/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	197								
32	32	62	62	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	198								38
32	32	63	63	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	199								
32	32	125/2	125/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	200								39
32	32	63	63	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	201								39
32	32	127/2	127/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	202								
33	33	64	64	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	203								40
33	33	131/2	131/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	204								
33	33	129/2	129/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	205								41
33	33	65	65	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	206								41
33	33	131/2	131/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	207								
33	33	129/2	129/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	208								
34	34	66	66	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	209								42
34	34	135/2	135/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	210								
34	34	133/2	133/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	211								43
34	34	67	67	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	212								43
34	34	135/2	135/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	213								
34	34	133/2	133/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	214								
35	35	68	68	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	215								44
35	35	139/2	139/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	216								
35	35	137/2	137/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	217								45
35	35	69	69	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	218								45
35	35	139/2	139/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	219								
36	36	70	70	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	220								46
36	36	71	71	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	221								
36	36	141/2	141/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	222								47
36	36	71	71	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	223								47
36	36	143/2	143/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	224								
37	37	72	72	0.0		0	0	Dynamic	2/4	1	1	0					f							
37	37	72	72	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	225		articStaccatoAbove						
37	37	147/2	147/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	226		articStaccatoAbove						
37	37	72	72	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	227								
37	37	145/2	145/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	228								
37	37	73	73	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	229								
37	37	147/2	147/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	230								
38	38	74	74	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	231								
38	38	151/2	151/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	232								
38	38	74	74	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	233								
38	38	149/2	149/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	234								
38	38	75	75	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235								
38	38	151/2	151/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236								
39	39	76	76	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	237								
39	39	155/2	155/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	238								
39	39	76	76	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	239								
39	39	153/2	153/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	240								
39	39	77	77	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	241								
39	39	155/2	155/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	242								
40	40	78	78	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	243								
40	40	159/2	159/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	244								
40	40	78	78	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	245								
40	40	157/2	157/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	246								
40	40	79	79	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	247								
40	40	159/2	159/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	248								
41	41	80	80	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	249								
41	41	161/2	161/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	250								
41	41	81	81	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	251								
41	41	163/2	163/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	252								
41	41	80	80	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	253								
41	41	81	81	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	254								
42	42	82	82	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	255								
42	42	165/2	165/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	256								
42	42	83	83	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	257								
42	42	167/2	167/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	258								
42	42	82	82	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	259								
42	42	167/2	167/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	260								
43	43	84	84	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	261								
43	43	85	85	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	262								
43	43	84	84	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	263								
43	43	85	85	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	264								
44	44	86	86	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	265								48
44	44	173/2	173/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	266								48
44	44	87	87	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	267								
44	44	175/2	175/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	268		articStaccatoAbove						
44	44	86	86	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	269								
45	45	88	88	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	270		articStaccatoAbove						
45	45	179/2	179/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	271		articStaccatoAbove						
45	45	88	88	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	272								
45	45	177/2	177/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	273								
45	45	89	89	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	274								
45	45	179/2	179/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	275								
46	46	90	90	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	276								
46	46	183/2	183/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	277								
46	46	90	90	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	278								
46	46	181/2	181/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	279								
46	46	91	91	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	280								
46	46	183/2	183/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	281								
