mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
5	4	12	12	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	30										
5	4	12	12	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	31										
5	4	13	13	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	32										
5	4	21/2	21/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	33										
5	4	12	12	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	34		articStaccatoAbove								
5	4	25/2	25/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	35		articStaccatoAbove								
5	4	13	13	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	36		articStaccatoAbove								
6	5	27/2	27/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	37										
6	5	27/2	27/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	38										
6	5	14	14	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	39										
6	5	57/4	57/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	40										
6	5	29/2	29/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	41										
6	5	59/4	59/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	42										
6	5	15	15	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	43										
6	5	15	15	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	44										
6	5	16	16	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	45										
6	5	27/2	27/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	46										
6	5	15	15	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	47										
6	5	31/2	31/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	48										
6	5	16	16	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	49										
7	6	33/2	33/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	50										
7	6	33/2	33/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	51										
7	6	17	17	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	52										
7	6	69/4	69/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	53										
7	6	35/2	35/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	54										
7	6	71/4	71/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	55										
7	6	18	18	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	56										
7	6	18	18	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	57										
7	6	19	19	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	58										
7	6	33/2	33/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	59										
7	6	18	18	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	60										
7	6	37/2	37/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	61										
7	6	19	19	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	62										
8	7	39/2	39/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	63										
8	7	79/4	79/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	64										
8	7	20	20	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	65										
8	7	81/4	81/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	66										
8	7	41/2	41/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	67										
8	7	83/4	83/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	68										
8	7	21	21	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	69										
8	7	85/4	85/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	70										
8	7	43/2	43/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	71										
8	7	87/4	87/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	72										
8	7	22	22	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	73										
8	7	89/4	89/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	74										
8	7	39/2	39/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	75										
8	7	21	21	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	76										
9	8	45/2	45/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	77										
9	8	24	24	0.0	3/8	3/8	Dynamic	6/8	1	1	0					p									
9	8	24	24	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	78										
9	8	24	24	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	79										
9	8	25	25	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	80										
9	8	45/2	45/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	81										
10	9	51/2	51/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	82										
10	9	51/2	51/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	83										
10	9	26	26	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	84		articStaccatoAbove								
10	9	53/2	53/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	85		articStaccatoAbove								
10	9	27	27	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	86										
10	9	27	27	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	87										
10	9	55/2	55/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	88		articStaccatoAbove								
10	9	28	28	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	89		articStaccatoAbove								
10	9	51/2	51/2	0.0	0	0	Dynamic	6/8	2	1	0					p									
10	9	51/2	51/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	90										
10	9	27	27	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	91										
11	10	57/2	57/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	92									2	
11	10	59/2	59/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	93										
11	10	30	30	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	94										
11	10	30	30	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	95										
11	10	31	31	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	96										
11	10	57/2	57/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	97										
12	11	63/2	63/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	98										
12	11	63/2	63/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	99										
12	11	32	32	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	100		articStaccatoAbove								
12	11	65/2	65/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	101		articStaccatoAbove								
12	11	33	33	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	102		articStaccatoAbove								
12	11	67/2	67/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	103		articStaccatoAbove								
12	11	34	34	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	104		articStaccatoAbove								
12	11	63/2	63/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	105										
12	11	33	33	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	106										
13	12	69/2	69/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	107									3	
13	12	71/2	71/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	108										
13	12	36	36	0.0	3/8	3/8	Dynamic	6/8	1	1	0					f									
13	12	36	36	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	109										
13	12	36	36	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	110										
13	12	37	37	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	111										
13	12	69/2	69/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	112										
13	12	36	36	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	113										
13	12	73/2	73/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	114		articStaccatoAbove								
13	12	37	37	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	115		articStaccatoAbove								
14	13	75/2	75/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	116										
14	13	75/2	75/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	117										
14	13	38	38	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	118										
14	13	153/4	153/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	119										
14	13	77/2	77/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	120										
14	13	155/4	155/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	121										
14	13	39	39	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	122										
14	13	39	39	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	123										
14	13	40	40	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	124										
14	13	75/2	75/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	125										
14	13	39	39	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	126										
14	13	79/2	79/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	127										
14	13	40	40	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	128										
15	14	81/2	81/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	129										
15	14	81/2	81/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	130										
15	14	41	41	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	131										
15	14	165/4	165/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	132										
15	14	83/2	83/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	133										
15	14	167/4	167/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	134										
15	14	42	42	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	135										
15	14	42	42	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	136										
15	14	85/2	85/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	137										
15	14	171/4	171/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	138										
15	14	43	43	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	139										
15	14	173/4	173/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	140										
15	14	81/2	81/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	141										
15	14	42	42	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	142										
16	15	87/2	87/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	143										
16	15	87/2	87/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	144										
16	15	44	44	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	145										
16	15	177/4	177/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	146										
16	15	89/2	89/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	147										
16	15	179/4	179/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	148										
16	15	45	45	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	149										
16	15	45	45	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	150										
16	15	91/2	91/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	151										
16	15	183/4	183/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	152										
16	15	46	46	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	153										
16	15	185/4	185/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	154										
16	15	87/2	87/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	155										
16	15	45	45	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	156										
17	16	93/2	93/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	157										
17	16	95/2	95/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	158									4	
17	16	191/4	191/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	159									4	
17	16	48	48	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	160										
17	16	49	49	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	161									5	
17	16	197/4	197/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	162									5	
17	16	93/2	93/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	163										
17	16	95/2	95/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	164									6	
17	16	191/4	191/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	165									6	
17	16	48	48	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	166										
17	16	49	49	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	167									7	
17	16	197/4	197/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	168									7	
18	17	99/2	99/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	169										
18	17	101/2	101/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	170									8	
18	17	203/4	203/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	171									8	
18	17	51	51	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	172										
18	17	52	52	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	173									9	
18	17	209/4	209/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	174									9	
18	17	99/2	99/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	175										
18	17	101/2	101/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	176									10	
18	17	203/4	203/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	177									10	
18	17	51	51	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	178										
18	17	52	52	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	179									11	
18	17	209/4	209/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	180									11	
19	18	105/2	105/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	181										
19	18	105/2	105/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	182										
20	19	111/2	111/2	0.0	0	0	Dynamic	6/8	1	1	0					p									
20	19	111/2	111/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	183										
20	19	113/2	113/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	184									12	
20	19	227/4	227/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	185										
20	19	57	57	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	186									13	
20	19	58	58	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	187										
20	19	111/2	111/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	188										
20	19	57	57	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	189										
20	19	111/2	111/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	190										
21	20	117/2	117/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	191		articStaccatoAbove								
21	20	59	59	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	192		articStaccatoAbove								
21	20	119/2	119/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	193		articStaccatoAbove								
21	20	60	60	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	194		articStaccatoAbove								
21	20	121/2	121/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	195		articStaccatoAbove								
21	20	61	61	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	196		articStaccatoAbove								
21	20	117/2	117/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	197										
21	20	117/2	117/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	198										
22	21	123/2	123/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	199										
22	21	125/2	125/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	200									14	
22	21	251/4	251/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	201										
22	21	251/4	251/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	202										
22	21	251/4	251/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	203										
22	21	251/4	251/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	204										
22	21	251/4	251/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	205										
22	21	63	63	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	206									15	
22	21	64	64	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	207										
22	21	123/2	123/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	208										
22	21	63	63	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	209										
22	21	123/2	123/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	210										
23	22	129/2	129/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	211		articStaccatoAbove								
23	22	65	65	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	212		articStaccatoAbove								
23	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	213		articStaccatoAbove								
23	22	66	66	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	214		articStaccatoAbove								
23	22	133/2	133/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	215		articStaccatoAbove								
23	22	67	67	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	216		articStaccatoAbove								
23	22	129/2	129/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	217										
23	22	129/2	129/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	218										
24	23	135/2	135/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	219										
24	23	137/2	137/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	220									16	
24	23	275/4	275/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	221										
24	23	275/4	275/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	222										
24	23	275/4	275/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	223										
24	23	275/4	275/4	0.0	5/16	5/16	Chord	6/8	1	1	0	grace32	1/32	1	224										
24	23	275/4	275/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	225										
24	23	69	69	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	226									17	
24	23	70	70	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	227										
24	23	135/2	135/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	228										
24	23	69	69	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	229										
24	23	135/2	135/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	230										
25	24	141/2	141/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	231										
25	24	72	72	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	232										
25	24	141/2	141/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	233										
25	24	72	72	0.0	3/8	3/8	Dynamic	6/8	2	1	0					p									
25	24	72	72	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	234										
25	24	141/2	141/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	235										
26	25	147/2	147/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	236										
26	25	75	75	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	237										
26	25	147/2	147/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	238										
26	25	75	75	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	239										
27	26	153/2	153/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	240										
27	26	157/2	157/2	0.0	1/2	1/2	Dynamic	6/8	1	1	0					f									
27	26	157/2	157/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	241		articStaccatoBelow								
27	26	79	79	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	242		articStaccatoBelow								
27	26	153/2	153/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	243										
27	26	157/2	157/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	244										
27	26	79	79	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	245										
28	27	159/2	159/2	0.0	0	0	Chord	6/8	1	1	0	grace32	1/32	1	246										
28	27	159/2	159/2	0.0	0	0	Chord	6/8	1	1	0	grace32	1/32	1	247										
28	27	159/2	159/2	0.0	0	0	Chord	6/8	1	1	0	grace32	1/32	1	248										
28	27	159/2	159/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	249										
28	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	250										
28	27	81	81	0.0	3/8	3/8	Chord	6/8	1	1	0	grace32	1/32	1	251										
28	27	81	81	0.0	3/8	3/8	Chord	6/8	1	1	0	grace32	1/32	1	252										
28	27	81	81	0.0	3/8	3/8	Chord	6/8	1	1	0	grace32	1/32	1	253										
28	27	81	81	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	254										
28	27	82	82	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	255										
28	27	159/2	159/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	256										
28	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	257										
28	27	81	81	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	258										
28	27	82	82	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	259										
29	28	165/2	165/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	260										
29	28	84	84	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	261										
29	28	84	84	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	262										
29	28	165/2	165/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	263										
30	29	171/2	171/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	264										
30	29	86	86	0.0	1/8	1/8	Dynamic	6/8	1	1	0					p									
30	29	86	86	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	265		articStaccatoAbove								
30	29	173/2	173/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	266		articStaccatoAbove								
30	29	87	87	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	267		articStaccatoAbove								
30	29	175/2	175/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	268		articStaccatoAbove								
30	29	88	88	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	269		articStaccatoAbove								
30	29	171/2	171/2	0.0	0	0	Dynamic	6/8	2	1	0					p									
30	29	171/2	171/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	270										
30	29	86	86	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	271										
30	29	173/2	173/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	272										
