mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_line
25	24	47	49	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	274									47		
25	24	189/4	197/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	275									47		
25	24	95/2	99/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	276									47		
25	24	191/4	199/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	277											
25	24	46	48	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	278											
26	25	48	50	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	279									48		
26	25	97/2	101/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	280									48		
26	25	97/2	101/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	281									48		
26	25	391/8	407/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	282											
26	25	49	51	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	283									49		
26	25	99/2	103/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	284											
26	25	48	50	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	285									50		
26	25	193/4	201/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	286									50		
26	25	97/2	101/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	287									50		
26	25	195/4	203/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	288											
26	25	49	51	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	289									51		
26	25	197/4	205/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	290									51		
26	25	99/2	103/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	291									51		
26	25	199/4	207/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	292											
27	26	50	52	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	293									52		
27	26	101/2	105/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	294											
27	26	51	53	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	295									53		
27	26	103/2	107/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	296											
27	26	50	52	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	297									54		
27	26	201/4	209/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	298									54		
27	26	101/2	105/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	299									54		
27	26	203/4	211/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	300											
27	26	51	53	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	301									55		
27	26	205/4	213/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	302									55		
27	26	103/2	107/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	303									55		
27	26	207/4	215/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	304											
28	27	52	54	0.0		0	0	Spanner	2/4	1	1	0														0	
28	27	52	54	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	305										0	
28	27	52	54	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	306									56		
28	27	105/2	109/2	0.0		1/8	1/8	Chord	2/4	2	1	0	grace32	1/32	1	307									56		
28	27	105/2	109/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	308									56		
28	27	423/8	439/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	309											
28	27	53	55	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	310									57		
28	27	107/2	111/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	311											
29	28	54	56	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	312										0	
29	28	54	56	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	313									58		
29	28	109/2	113/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	314									58		
29	28	55	57	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	315									58, 59		
29	28	111/2	115/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	316											
30	29	56	58	0.0		0	0	Dynamic	2/4	1	1	0					f										
30	29	56	58	0.0		0	0	Spanner	2/4	1	1	0															
30	29	56	58	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	317									60		
30	29	113/2	117/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	318									60		
30	29	57	59	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	319											
30	29	231/4	239/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					p										
30	29	231/4	239/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	320											
30	29	56	58	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	321									61		
30	29	113/2	117/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	322											
30	29	57	59	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	323											
31	30	58	60	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	324									62		
31	30	117/2	121/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	325									62		
31	30	59	61	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	326											
31	30	239/4	247/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					f										
31	30	239/4	247/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	327											
31	30	58	60	0.0		0	0	Dynamic	2/4	2	1	0					p										
31	30	58	60	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	328									63		
31	30	117/2	121/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	329											
31	30	59	61	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	330											
32	31	60	62	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	331									64		
32	31	121/2	125/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	332											
32	31	61	63	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	333									65		
32	31	245/4	253/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	334											
32	31	123/2	127/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace32	1/32	1	335											
32	31	123/2	127/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	336											
32	31	247/4	255/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	337											
32	31	495/8	511/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	338											
32	31	60	62	0.0		0	0	Dynamic	2/4	2	1	0					f										
32	31	60	62	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	339									66		
32	31	121/2	125/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	340											
32	31	61	63	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	341											
33	32	62	64	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	342									67		
33	32	125/2	129/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	343											
33	32	63	65	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	344									68		
33	32	127/2	131/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	345											
33	32	62	64	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	346									69		
33	32	125/2	129/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	347											
33	32	63	65	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	348									70		
33	32	127/2	131/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	349											
33	32	62	64	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	350											
33	32	63	65	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	351											
34	33	64	66	0.0		0	0	Dynamic	2/4	1	1	0					p										
34	33	64	66	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	352									71		
34	33	129/2	133/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	353		ornamentTrill							71		
34	33	65	67	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	354											
34	33	263/4	271/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					f										
34	33	263/4	271/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	355											
34	33	64	66	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	356									72		
34	33	129/2	133/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	357											
34	33	65	67	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	358											
35	34	66	68	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	359									73		
35	34	133/2	137/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	360		ornamentTrill							73		
35	34	67	69	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	361											
35	34	271/4	279/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					p										
35	34	271/4	279/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	362											
35	34	66	68	0.0		0	0	Dynamic	2/4	2	1	0					f										
35	34	66	68	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	363									74		
35	34	133/2	137/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	364											
35	34	67	69	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	365											
36	35	68	70	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	366									75		
36	35	137/2	141/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	367		ornamentTrill									
36	35	69	71	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	368									76		
36	35	277/4	285/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	369											
36	35	139/2	143/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace32	1/32	1	370											
36	35	139/2	143/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	371											
36	35	279/4	287/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	372											
36	35	559/8	575/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	373											
36	35	68	70	0.0		0	0	Dynamic	2/4	2	1	0					p										
36	35	68	70	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	374									77		
36	35	137/2	141/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	375											
36	35	69	71	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	376											
37	36	70	72	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	377											
37	36	281/4	289/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	378											
37	36	141/2	145/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	379											
37	36	71	73	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	380											
37	36	285/4	293/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	381									78		
37	36	143/2	147/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	382									78		
37	36	287/4	295/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	383											
37	36	70	72	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	384											
37	36	71	73	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	385											
38	37	72	74	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	386									79		
38	37	433/6	445/6	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	387									79		
38	37	217/3	223/3	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	388											
38	37	145/2	149/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					f										
38	37	145/2	149/2	0.0		1/8	1/8	Spanner	2/4	1	1	0														1	
38	37	145/2	149/2	1.5		1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	389										1	
38	37	72	74	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	390											
38	37	73	75	0.0		1/4	1/4	Dynamic	2/4	2	1	0					f										
38	37	73	75	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	391											
39	38	74	76	0.0		0	0	Spanner	2/4	1	1	0															
39	38	74	76	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	392									80		
39	38	297/4	305/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	393									80		
39	38	149/2	153/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					p								80		
39	38	149/2	153/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	394									80		
39	38	299/4	307/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	395									80		
39	38	75	77	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	396									80		
39	38	301/4	309/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	397									80		
39	38	151/2	155/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	398									80		
39	38	303/4	311/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	399											
39	38	74	76	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	400											
40	39	76	78	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	401									81		
40	39	153/2	157/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	402									81		
40	39	153/2	157/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	403									81		
40	39	615/8	631/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	404											
40	39	77	79	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	405									82		
40	39	155/2	159/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	406											
40	39	76	78	0.0		0	0	Dynamic	2/4	2	1	0					p										
40	39	76	78	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	407											
40	39	76	78	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	408									83		
40	39	153/2	157/2	0.375		1/8	1/8	Chord	2/4	2	2	3/32		1/16	3/2	409									83		
40	39	615/8	631/8	0.125		7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	410											
40	39	77	79	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	411											
40	39	155/2	159/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	412											
41	40	78	80	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	413											
41	40	157/2	161/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	414											
41	40	157/2	161/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	415											
41	40	157/2	161/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	416											
41	40	157/2	161/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	417											
41	40	157/2	161/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	418									84		
41	40	315/4	323/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	419											
41	40	79	81	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	420									85		
41	40	159/2	163/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	421											
41	40	78	80	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	422											
41	40	78	80	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	423											
41	40	157/2	161/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	424									86		
41	40	315/4	323/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	425											
41	40	79	81	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	426									87		
41	40	159/2	163/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	427											
42	41	80	82	0.0		0	0	Dynamic	2/4	1	1	0					f										
42	41	80	82	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	428		articStaccatoBelow									
42	41	161/2	165/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	429		articStaccatoBelow									
42	41	81	83	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	430		articStaccatoAbove									
42	41	327/4	335/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0					p										
42	41	327/4	335/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	431		articStaccatoAbove									
42	41	80	82	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	432		articStaccatoAbove									
42	41	161/2	165/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	433		articStaccatoAbove									
42	41	81	83	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	434		articStaccatoAbove									
42	41	327/4	335/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	435											
43	42	82	84	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	436									88		
43	42	329/4	337/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	437									88		
43	42	165/2	169/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	438									88		
43	42	331/4	339/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	439											
43	42	83	85	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	440									89		
43	42	167/2	171/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	441											
43	42	82	84	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	442									90		
43	42	165/2	169/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	443											
43	42	83	85	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	444									91		
43	42	167/2	171/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	445											
43	42	83	85	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	446											
44	43	84	86	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	447									92		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	448									92		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	449									92		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	450									92		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	451									92		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	452									92		
44	43	169/2	173/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	453									92		
44	43	679/8	695/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	454											
44	43	85	87	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	455									93		
44	43	171/2	175/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	456											
44	43	84	86	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	457											
44	43	84	86	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	458									94		
44	43	169/2	173/2	0.0		1/8	1/8	Chord	2/4	2	2	0	grace32	1/32	1	459									94		
44	43	169/2	173/2	0.375		1/8	1/8	Chord	2/4	2	2	3/32		1/16	3/2	460									94		
44	43	679/8	695/8	0.125		7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	461											
44	43	85	87	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	462									95		
44	43	171/2	175/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	463											
45	44	86	88	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	464									96		
45	44	345/4	353/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	465									96		
45	44	173/2	177/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	466									96		
45	44	347/4	355/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	467											
45	44	87	89	0.375		1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	468									97		
45	44	699/8	715/8	0.0625		11/32	11/32	Chord	2/4	1	1	1/64		1/64	1	469									97		
45	44	1399/16	1431/16	0.0625		23/64	23/64	Chord	2/4	1	1	1/64		1/64	1	470									97		
45	44	175/2	179/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	471											
45	44	86	88	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	472											
45	44	86	88	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	473									98		
45	44	173/2	177/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	474											
45	44	87	89	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	475											
46	45	88	90	0.0		0	0	Dynamic	2/4	1	1	0					f										
46	45	88	90	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	476		articStaccatoBelow									
46	45	177/2	181/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	477		articStaccatoBelow									
46	45	89	91	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	478									99		
46	45	357/4	365/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	479									99		
46	45	179/2	183/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	480									99		
46	45	359/4	367/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	481											
46	45	89	91	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	482											
46	45	88	90	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	483		articStaccatoAbove									
46	45	177/2	181/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	484		articStaccatoAbove									
46	45	89	91	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	485											
46	45	359/4	367/4	0.0		7/16	7/16	Dynamic	2/4	2	1	0					p										
46	45	359/4	367/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	486											
47	46	90	92	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	487									100		
47	46	181/2	185/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	488		ornamentTrill									
47	46	91	93	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	489											
47	46	90	92	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	490											
47	46	181/2	185/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	491											
47	46	91	93	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	492									101		
47	46	365/4	373/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	493									101		
47	46	183/2	187/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	494									101		
47	46	367/4	375/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	495											
47	46	90	92	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	496											
47	46	91	93	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	497											
48	47	92	94	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	498											
48	47	92	94	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	499											
48	47	93	95	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	500											
48	47	93	95	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	501											
48	47	187/2	191/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	502											
48	47	375/4	383/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	503											
48	47	92	94	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	504									102		
48	47	369/4	377/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	505									102		
48	47	185/2	189/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	506									102		
48	47	371/4	379/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	507											
48	47	93	95	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	508									103		
48	47	373/4	381/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	509									103		
48	47	187/2	191/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	510									103		
48	47	375/4	383/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	511											
48	47	92	94	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	512											
48	47	93	95	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	513											
49	48	94	96	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	514											
49	48	95	97	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	515											
49	48	383/4	391/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	516		ornamentTrill									
49	48	94	96	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	517									104		
49	48	377/4	385/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	518									104		
49	48	189/2	193/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	519									104		
49	48	379/4	387/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	520											
49	48	95	97	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	521									105		
49	48	381/4	389/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	522									105		
49	48	191/2	195/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	523									105		
49	48	383/4	391/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	524											
49	48	94	96	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	525											
49	48	95	97	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	526											
50	49	96	98	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	527											
50	49	96	98	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	528											
50	49	193/2	197/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	529											
50	49	97	99	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	530											
50	49	97	99	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	531											
50	49	195/2	199/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	532											
50	49	391/4	399/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	533											
50	49	96	98	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	534									106		
50	49	385/4	393/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	535									106		
50	49	193/2	197/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	536									106		
50	49	387/4	395/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	537											
50	49	97	99	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	538									107		
50	49	389/4	397/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	539									107		
50	49	195/2	199/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	540									107		
50	49	391/4	399/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	541											
50	49	96	98	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	542											
50	49	97	99	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	543											
