mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	38									
4	3	10	10	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	39									
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	40									
4	3	11	11	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	41									
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	42									
4	3	12	12	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	43									
5	4	25/2	25/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	44									
5	4	13	13	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	45									
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	46									
5	4	14	14	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	47									
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	48									4
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	49									
5	4	16	16	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	50									
5	4	65/4	65/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	51									
5	4	25/2	25/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	52									
5	4	13	13	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	53									
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	54									
5	4	14	14	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	55									
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	56									
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	57									
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	58									
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	59									5
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	60									
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	61		articStaccatoAbove							
6	5	33/2	33/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	62									
6	5	17	17	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	63									
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	64									
6	5	18	18	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	65									
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	66									
6	5	19	19	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	67									
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	68									
6	5	20	20	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	69									
7	6	41/2	41/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	70									
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	71		articStaccatoAbove							
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	72		articStaccatoAbove							
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	73		articStaccatoAbove							
7	6	22	22	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	74		articStaccatoAbove							
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	75									6
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	76									
7	6	24	24	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	77		articStaccatissimoAbove							
7	6	41/2	41/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	78									
7	6	21	21	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	79									
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	80									
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	81									
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	82									
7	6	23	23	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	83									
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	84									
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	85									
8	7	49/2	49/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	86									7
8	7	25	25	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	87									
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	88		articStaccatoAbove							
8	7	26	26	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	89		articStaccatoAbove							
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	90									8
8	7	27	27	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	91									
8	7	55/2	55/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	92		articStaccatoAbove							
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	93		articStaccatoAbove							
8	7	49/2	49/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	94									
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	95									
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	96									
9	8	29	29	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	97									
9	8	59/2	59/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	98		ornamentTrill							9
9	8	119/4	119/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	99									9
9	8	30	30	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	100									9
9	8	121/4	121/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	101									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	102									
9	8	32	32	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	103									10
9	8	129/4	129/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	104									
9	8	57/2	57/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	105									
9	8	59/2	59/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	106									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	107									
9	8	57/2	57/2	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	108									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	109									
10	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	110		articStaccatissimoAbove							
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	111		articStaccatissimoAbove							
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	112		articStaccatissimoAbove							
10	9	35	35	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	113									11
10	9	36	36	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	114									
10	9	65/2	65/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	115									12
10	9	33	33	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	116									12
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	117									12
10	9	34	34	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	118									12
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	119									12
10	9	35	35	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	120									12
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	121									
10	9	36	36	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	122									
11	10	73/2	73/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	123									
11	10	37	37	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	124									13
11	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	125									
11	10	38	38	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	126									
11	10	77/2	77/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	127									14
11	10	157/4	157/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	128									14
11	10	315/8	315/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	129									
11	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	130									
11	10	40	40	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	131									15
11	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	132									
11	10	73/2	73/2	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	133									
11	10	38	38	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	134									
11	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	135									
12	11	81/2	81/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	136		articStaccatissimoAbove							
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	137		articStaccatissimoAbove							
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	138		articStaccatissimoAbove							
12	11	43	43	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	139									16
12	11	44	44	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	140									
12	11	81/2	81/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	141									17
12	11	41	41	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	142									17
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	143									17
12	11	42	42	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	144									17
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	145									17
12	11	43	43	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	146									17
12	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	147									
12	11	44	44	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	148									
13	12	45	45	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	149									18
13	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	150									18
13	12	46	46	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	151									
13	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	152									19
13	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	153									
13	12	95/2	95/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	154		articStaccatoAbove							
13	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	155		articStaccatoAbove							
13	12	89/2	89/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	156									20
13	12	93/2	93/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	157									
14	13	49	49	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	158									21
14	13	197/4	197/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	159									21
14	13	99/2	99/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	160									21
14	13	199/4	199/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	161									21
14	13	50	50	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	162									21
14	13	201/4	201/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	163									
14	13	101/2	101/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	164									22
14	13	203/4	203/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	165									22
14	13	51	51	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	166									22
14	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	167									
14	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	168		articStaccatoAbove							
14	13	52	52	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	169		articStaccatoAbove							
14	13	97/2	97/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	170									23
14	13	101/2	101/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	171									
15	14	211/4	211/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	172									24
15	14	53	53	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	173									24
15	14	213/4	213/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	174									24
15	14	107/2	107/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	175									24
15	14	215/4	215/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	176									24
15	14	54	54	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	177									24
15	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	178									
15	14	109/2	109/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	179									25
15	14	219/4	219/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	180									25
15	14	55	55	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	181									25
15	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	182									25
15	14	111/2	111/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	183									25
15	14	223/4	223/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	184									25
15	14	56	56	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	185									25
15	14	225/4	225/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	186									
15	14	105/2	105/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	187									26
15	14	109/2	109/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	188									
16	15	113/2	113/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	189									
16	15	115/2	115/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	190									
16	15	117/2	117/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	191									27
16	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	192									
16	15	60	60	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	193		articStaccatissimoAbove							
16	15	113/2	113/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	194									
16	15	57	57	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	195									
16	15	115/2	115/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	196									
16	15	58	58	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	197									
16	15	117/2	117/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	198									
16	15	59	59	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	199									
16	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	200									
16	15	60	60	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	201									
17	16	121/2	121/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	202									
17	16	121/2	121/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	203		articStaccatoAbove							
17	16	61	61	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	204		articStaccatoAbove							
17	16	123/2	123/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	205		articStaccatoAbove							
17	16	62	62	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	206		articStaccatoAbove							
17	16	125/2	125/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	207									28
17	16	127/2	127/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	208									
17	16	64	64	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	209		articStaccatissimoAbove							
17	16	121/2	121/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	210									
17	16	61	61	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	211									
17	16	123/2	123/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	212									
17	16	62	62	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	213									
17	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	214									
17	16	63	63	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	215									
17	16	127/2	127/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	216									
17	16	64	64	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	217									
18	17	129/2	129/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	218		articStaccatissimoAbove							
18	17	65	65	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	219									29
18	17	66	66	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	220									
18	17	133/2	133/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	221		articStaccatissimoAbove							
18	17	67	67	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	222									30
18	17	68	68	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	223									
18	17	129/2	129/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	224									
18	17	65	65	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	225									
18	17	131/2	131/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	226									
18	17	66	66	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	227									
18	17	133/2	133/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	228									
18	17	67	67	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	229									
18	17	135/2	135/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	230									
18	17	68	68	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	231									
19	18	137/2	137/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	232									
19	18	69	69	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	233									
19	18	139/2	139/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	234									
19	18	70	70	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	235									
19	18	141/2	141/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	236									31
19	18	143/2	143/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	237									
19	18	72	72	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	238									
19	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	239									
19	18	137/2	137/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	240									
19	18	69	69	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	241									
19	18	139/2	139/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	242									
19	18	70	70	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	243									
19	18	141/2	141/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	244									
20	19	145/2	145/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	245									
20	19	147/2	147/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	246									
20	19	149/2	149/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	247									32
20	19	151/2	151/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	248									
20	19	76	76	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	249		articStaccatissimoAbove							
20	19	145/2	145/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	250									
20	19	73	73	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	251									
20	19	147/2	147/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	252									
20	19	74	74	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	253									
20	19	149/2	149/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	254									
20	19	75	75	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	255									
20	19	151/2	151/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	256									
20	19	76	76	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	257									
21	20	153/2	153/2	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	258									
21	20	153/2	153/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	259		articStaccatoAbove							
21	20	77	77	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	260		articStaccatoAbove							
21	20	155/2	155/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	261		articStaccatoAbove							
21	20	78	78	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	262		articStaccatoAbove							
21	20	157/2	157/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	263									33
21	20	159/2	159/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	264									
21	20	80	80	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	265		articStaccatissimoAbove							
21	20	153/2	153/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	266									
21	20	77	77	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	267									
21	20	155/2	155/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	268									
21	20	78	78	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	269									
21	20	157/2	157/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	270									
21	20	79	79	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	271									
21	20	159/2	159/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	272									
21	20	80	80	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	273									
22	21	161/2	161/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	274									34
22	21	81	81	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	275									
22	21	163/2	163/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	276		articStaccatoAbove							
22	21	82	82	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	277		articStaccatoAbove							
22	21	165/2	165/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	278									35
