mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	56								13	
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58									
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0													
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	59								14	
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	60									
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	61									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62									
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	63									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	64									
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	65									
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67									
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0					f								
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	68								15	
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	69									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	70									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	72									
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	73									
12	12	35	35	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p								
12	12	35	35	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	74									
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	75									
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	76									
12	12	35	35	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	77									
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	78									
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	79									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80									
13	13	38	38	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	81									
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	82									
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84									
13	13	38	38	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	85									
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	86									
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	87									
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	88									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	89								16	
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90									
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92								17	
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	93									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	94		articStaccatoAbove							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	95		articStaccatoAbove							
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98									
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	99								18	
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	100									
16	16	47	47	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	101								19	
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	102								19	
16	16	95/2	95/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	103								19	
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	104								19	
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105									
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106									
16	16	47	47	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	107									
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	108									
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	109									
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	110									
17	17	50	50	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	111								20	
17	17	201/4	201/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	112								20	
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	113									
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	114									
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115									
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116									
17	17	50	50	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	117									
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	118									
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	119									
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120									
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121									
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122									
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123									
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124									
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	125								21	
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	126									
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127								22	
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	128									
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129								23	
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	130									
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	131								24	
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	132									
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133								25	
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	134									
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	135								26	
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	136									
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137								27	
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	138									
22	22	65	65	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f								
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	139								28	
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140									
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141								29	
23	23	66	66	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	142									
23	23	135/2	135/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	143									
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	144									
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	145									
23	23	137/2	137/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	146									
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	147									
23	23	66	66	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	148									
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	149									
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	150									
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	151									
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	152									
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	153									
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	154									
24	24	139/2	139/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	155									
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	156									
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	157		articStaccatoAbove							
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	158								30	
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	159								30	
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	160									
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	161									
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	162									
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	163									
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	164									
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	165									
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	166									
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0					sf								
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	167									
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	168									
25	25	72	72	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	169									
25	25	72	72	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	170									
25	25	147/2	147/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	171									
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	172									
25	25	74	74	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	173									
25	25	297/4	297/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	174									
25	25	149/2	149/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	175									
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	176									
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177									
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178									
26	26	75	75	0.0	0	0	Dynamic	3/4	1	1	0					sf								
26	26	75	75	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	179									
26	26	153/2	153/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	180									
26	26	307/4	307/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	181									
26	26	77	77	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	182									
26	26	309/4	309/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	183									
26	26	155/2	155/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	184									
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	185									
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186									
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187									
27	27	78	78	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	188									
27	27	159/2	159/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	189									
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	190									
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191									
27	27	161/2	161/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	192									
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	193									
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	194									
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	195									
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	196									
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	197									
27	27	80	80	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	198									
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	199									
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	200									
28	28	163/2	163/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	201									
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	202									
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	203		articStaccatoAbove							
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	204								31	
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	205								31	
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	206									
28	28	81	81	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	207									
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	208									
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	209									
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	210									
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	211									
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	212									
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					sf								
29	29	84	84	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	213									
29	29	171/2	171/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	214									
29	29	343/4	343/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	215									
29	29	86	86	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	216									
29	29	345/4	345/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	217									
29	29	173/2	173/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	218									
29	29	347/4	347/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	219									
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	220									
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221									
30	30	87	87	0.0	0	0	Dynamic	3/4	1	1	0					sf								
30	30	87	87	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	222									
30	30	177/2	177/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	223									
30	30	355/4	355/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	224									
30	30	89	89	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	225									
30	30	357/4	357/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	226									
30	30	179/2	179/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	227									
30	30	359/4	359/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	228									
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	229									
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230									
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	231									
31	31	91	91	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	232									
31	31	365/4	365/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	233									
31	31	183/2	183/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	234									
31	31	367/4	367/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	235									
31	31	92	92	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	236									
31	31	369/4	369/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	237									
31	31	185/2	185/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	238									
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	239									
31	31	90	90	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	240									
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	241									
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	242									
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	243									
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	244									
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	245									
32	32	93	93	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	246									
32	32	373/4	373/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	247									
32	32	187/2	187/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	248									
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	249									
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	250									
32	32	93	93	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	251									
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	252									
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	253									
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	254									
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	255									
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	256									
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	257									
33	33	97	97	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	258									
33	33	389/4	389/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	259									
33	33	195/2	195/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	260									
33	33	391/4	391/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	261									
33	33	98	98	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	262									
33	33	393/4	393/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	263									
33	33	197/2	197/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	264									
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	265									
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	266									
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	267									
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	268									
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	269									
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	270									
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	271									
34	34	99	99	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	272									
34	34	397/4	397/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	273									
34	34	199/2	199/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	274									
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	275									
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	276									
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	277									
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	278									
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	279									
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	280									
34	34	101	101	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	281									
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	282									
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	283									
35	35	103	103	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	284									
35	35	413/4	413/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	285									
35	35	207/2	207/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	286									
35	35	415/4	415/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	287									
