mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	14	42	42	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	114										
15	14	169/4	169/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	115										
15	14	85/2	85/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	116										
15	14	171/4	171/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	117										
15	14	40	40	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	118										
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	119										
16	15	43	43	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	120										
16	15	173/4	173/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	121										
16	15	87/2	87/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	122										
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	123										
16	15	44	44	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	124										
16	15	177/4	177/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	125										
16	15	89/2	89/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	126										
16	15	179/4	179/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	127										
16	15	45	45	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	128										
16	15	181/4	181/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	129										
16	15	91/2	91/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	130										
16	15	183/4	183/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	131										
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	132										21
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133										
16	15	44	44	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	134										
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	135										
17	16	95/2	95/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	136										
17	16	191/4	191/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	137										
17	16	48	48	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	138										
17	16	193/4	193/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	139										
17	16	97/2	97/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	140										
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	141										
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142										
17	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	143										
17	16	48	48	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	144										
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	145										
17	16	46	46	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	146										
18	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	147										
18	17	101/2	101/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	148										
18	17	203/4	203/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	149										
18	17	51	51	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	150										
18	17	205/4	205/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	151										
18	17	103/2	103/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	152										
18	17	207/4	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	153										
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154										
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	155										
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	156										
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	157										
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	158										
19	18	107/2	107/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	159										
19	18	215/4	215/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	160										
19	18	54	54	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	161										
19	18	217/4	217/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	162										
19	18	109/2	109/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	163										
19	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	164										
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	165										
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	166										
19	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	167										
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	168										
20	19	55	55	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	169										
20	19	221/4	221/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	170										
20	19	111/2	111/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	171										
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	172										
20	19	56	56	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	173										
20	19	225/4	225/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	174										
20	19	113/2	113/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	175										
20	19	227/4	227/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	176										
20	19	57	57	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	177										
20	19	229/4	229/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	178										
20	19	115/2	115/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	179										
20	19	231/4	231/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	180										
20	19	55	55	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	181										
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	182										
20	19	56	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	183										
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	184										
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	185										
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	186										
21	20	58	58	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	187										
21	20	233/4	233/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	188										
21	20	117/2	117/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	189										
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	190										
21	20	59	59	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	191										
21	20	237/4	237/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	192										
21	20	119/2	119/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	193										
21	20	239/4	239/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	194										
21	20	60	60	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	195										
21	20	241/4	241/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	196										
21	20	121/2	121/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	197										
21	20	243/4	243/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	198										
21	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	199										
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	200										
21	20	59	59	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	201										
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	202										
21	20	60	60	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	203										
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	204										
22	21	61	61	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	205										
22	21	245/4	245/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	206										
22	21	123/2	123/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	207										
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	208										
22	21	62	62	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	209										
22	21	249/4	249/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	210										
22	21	125/2	125/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	211										
22	21	251/4	251/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	212										
22	21	63	63	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	213										
22	21	253/4	253/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	214										
22	21	127/2	127/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	215										
22	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	216										
22	21	61	61	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	217										
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	218										
22	21	62	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	219										
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	220										
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	221										
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	222										
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	223										
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224		ornamentTrill								
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	225										
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226										
24	23	135/2	135/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					p									
24	23	135/2	135/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	227										22
24	23	137/2	137/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	228										22
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	229										
24	23	67	67	0.0	0	0	Dynamic	3/4	2	1	0					p									
24	23	67	67	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	230										23
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	231										23
24	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	232										23
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	233										23
24	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	234										23
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	235										
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	236										24
25	24	141/2	141/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	237										24
25	24	143/2	143/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	238										24
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239										
25	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	240										25
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	241										25
25	24	71	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	242										25
25	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	243										25
25	24	72	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	244										25
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	245										
26	25	73	73	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	246										26
26	25	293/4	293/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	247										
26	25	74	74	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	248										27
26	25	297/4	297/4	0.75	5/16	5/16	Chord	3/4	1	1	3/16		1/8	3/2	249										
26	25	75	75	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	250										28
26	25	301/4	301/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16		1/8	3/2	251										
26	25	73	73	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	252										29
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	253										29
26	25	74	74	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	254										29
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	255										29
26	25	75	75	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	256										29
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	257										
27	26	76	76	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	258										30
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	259										
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	260										
27	26	76	76	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	261										31
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	262										31
27	26	77	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	263										31
27	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	264										31
27	26	78	78	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	265										31
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	266										
28	27	159/2	159/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	267										32
28	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	268										32
28	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	269										
28	27	161/2	161/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	270										33
28	27	323/4	323/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	271										33
28	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	272										
28	27	163/2	163/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	273										34
28	27	327/4	327/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	274										
28	27	79	79	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	275										35
28	27	317/4	317/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	276										35
