mc	mn	onset	label	volta
48	48	5/8	V\\	
49	49	0	I	
49	49	1/4	V43	
49	49	3/8	I6	
49	49	5/8	I	
50	50	0	V6	
50	50	1/4	I	
50	50	3/8	V43	
50	50	5/8	V65	
51	51	0	vi7	
51	51	1/4	V65	
51	51	3/8	I	
51	51	5/8	ii6	
52	52	0	V(64)	
52	52	1/4	V7	
52	52	3/8	I(974)	
52	52	5/8	I\\	
53	53	0	I	
53	53	1/4	V43	
53	53	3/8	I	
53	53	5/8	ii65	
54	54	0	V(64)	
54	54	1/4	V7	
54	54	3/8	I\\	
55	55	0	i.i	
56	56	0	V	
56	56	3/8	V7	
57	57	0	i	
57	57	3/8	V43	
58	58	0	i6	
58	58	1/8	V43	
58	58	1/4	i	
58	58	3/8	V(64)	
58	58	5/8	V\\	
59	59	0	i	
60	60	0	V	
60	60	3/8	V7	
61	61	0	i	
61	61	1/4	V65	
61	61	3/8	i	
61	61	5/8	iv6	
62	62	0	V(64)	
62	62	1/4	V	
62	62	3/8	i\\	
63	63	0	i[i6	
63	63	1/4	V65/iv	
63	63	3/8	iv	
64	64	0	iv6	
64	64	7/16	i6]\\	
65	65	0	i	
65	65	3/8	#viio7	
65	65	5/8	#viio2	
66	66	0	i6	
66	66	1/8	V6	
66	66	1/4	i	
66	66	3/8	viio7/V	
66	66	5/8	V\\	
67	67	0	i	
68	68	0	V	
68	68	3/8	V7	
69	69	0	i	
69	69	1/4	V65	
69	69	3/8	i	
69	69	5/8	iv6	
70	70	0	V(64)	
70	70	1/4	V	
70	70	3/8	i\\	
71	71	1/4	V65	
71	71	3/8	i	
71	71	5/8	iv6	
72	72	0	V(64)	
72	72	1/4	V	
72	72	3/8	i\\	
73	73	0	I.I	
74	74	0	V	
74	74	3/8	V7	
75	75	0	I	
75	75	3/8	V	
76	76	0	V(64)	
76	76	3/8	V\\	
77	77	0	I	
78	78	0	V	
78	78	3/8	V7	
79	79	0	I	
79	79	1/2	vi	
79	79	5/8	ii6	
80	80	0	V(64)	
80	80	1/4	V	
80	80	3/8	I\\	
81	81	0	I[I6	
81	81	3/8	IV	
82	82	3/8	I6]	
83	83	0	I	
83	83	3/8	viio6	
84	84	0	I6	
84	84	1/8	viio6	
84	84	1/4	vii%43/V	
84	84	3/8	V(64)	
84	84	5/8	V\\	
85	85	0	I	
86	86	0	V	
86	86	3/8	V7	
87	87	0	I	
87	87	1/4	V	
87	87	3/8	I	
87	87	1/2	vi	
87	87	5/8	ii6	
88	88	0	V(64)	
88	88	1/4	V\\	
88	88	5/8	V(64)	
89	89	0	I	
89	89	1/4	V	
89	89	3/8	I	
89	89	5/8	IV	
90	90	0	V(64)	
90	90	1/4	V	
90	90	3/8	I\\	
91	91	0	I	
91	91	5/16	V43	
91	91	3/8	I6	
92	92	0	V6	
92	92	5/16	I	
92	92	3/8	#viio/ii	
92	92	1/2	V43	
92	92	5/8	V65	
93	93	0	vi7	
93	93	3/8	V6	
94	94	0	I	
94	94	1/8	vi	
94	94	1/4	ii6	
94	94	3/8	V	
94	94	5/8	V\\	
95	95	0	I	
95	95	1/4	I(+4+2)	
95	95	3/8	I	
96	96	0	V	
96	96	1/4	V(+4+2)	
96	96	3/8	V7	
97	97	0	vi7	
97	97	1/4	V6	
97	97	3/8	I	
97	97	5/8	ii65	
98	98	0	V(64)	1
98	98	1/4	V7(4)	1
98	98	5/16	V7	1
98	98	3/8	I(974)	1
98	98	1/2	I\\	1
99	98	0	V(64)	2
99	98	1/4	V7(4)	2
99	98	5/16	V7	2
99	98	3/8	I(974)	2
99	98	1/2	I\\	2
100	99	0	I[I6	
100	99	1/8	viio6	
100	99	1/4	viio/IV	
100	99	3/8	IV]	
100	99	1/2	IV6	
100	99	5/8	IV	
101	100	0	I(64)	
101	100	1/2	I\\	
102	101	0	I	
102	101	3/8	V43	
103	102	0	I	
103	102	1/8	V65	
103	102	1/4	I	
103	102	3/8	V(64)	
103	102	1/2	V\\	
104	103	0	I	
104	103	5/16	V43	
104	103	3/8	I6	
105	104	0	V6	
105	104	5/16	I	
105	104	3/8	V43	
105	104	1/2	V65	
105	104	5/8	V	
106	105	0	vi7	
106	105	1/4	V6	
106	105	3/8	I	
106	105	5/8	ii65	
107	106	0	V(64)	
107	106	5/16	V7	
107	106	3/8	I(974)	
107	106	5/8	I\\	
108	107	0	I	
108	107	1/4	viio6	
108	107	3/8	I6	
108	107	5/8	IV	
109	108	0	V(64)	1
109	108	1/4	V7	1
109	108	3/8	I(974)	1
109	108	1/2	I\\	1
110	108	0	V(64)	2
110	108	1/4	V7	2
110	108	3/8	I(974)	2
110	108	5/8	I\\	2
111	109	0	I	
111	109	1/4	V43	
111	109	1/2	I6	
111	109	3/4	I	
112	110	0	V6	
112	110	1/4	I	
112	110	1/2	V43	
113	111	0	I6	
113	111	1/2	V6	
114	112	0	I	
114	112	1/4	ii6	
114	112	1/2	V(64)	
114	112	3/4	V\\	
115	113	0	I	
116	114	0	V	
116	114	1/2	V7	
117	115	0	vi	
117	115	1/4	viio	
117	115	1/2	I	
117	115	3/4	IV	
117	115	7/8	viio	
118	116	0	I	
118	116	1/8	vi	
118	116	1/4	ii6	
118	116	3/8	V	
118	116	1/2	I\\	
119	117	0	I[I6	
119	117	1/2	IV	
120	118	1/2	I6]	
121	119	1/2	viio6	
122	120	0	I6	
122	120	1/4	ii6	
122	120	1/2	V\\	
123	121	0	I	
123	121	1/4	V43	
123	121	1/2	I6	
123	121	3/4	I	
124	122	0	V6	
124	122	1/4	I	
124	122	1/2	V43	
124	122	3/4	V65	
125	123	0	vi7	
125	123	1/4	V6	
125	123	1/2	I	
125	123	3/4	ii6	
126	124	0	V(64)	
126	124	1/4	V	
126	124	1/2	I(974)	
126	124	3/4	I\\	
127	125	0	I	
127	125	1/4	viio6	
127	125	1/2	I6	
127	125	3/4	IV	
128	126	0	V(64)	1
128	126	1/4	V7	1
128	126	1/2	I\\	1
129	126	0	V(64)	2
129	126	1/4	V7	2
129	126	1/2	I[I\\	2
130	127	0	IV	
130	127	1/2	II	
131	128	0	IV	
131	128	1/2	I]	
132	129	0	ii6	
132	129	1/2	V(64)	
133	130	0	V2	
133	130	1/2	I6	
134	131	0	ii6	
134	131	1/2	V(64)	
135	132	0	V	
135	132	1/2	I\\	
135	132	3/4	V7	
136	133	0	I	
136	133	1/4	V	
136	133	1/2	I	
136	133	3/4	V7	
137	134	0	I	
137	134	1/4	V	
137	134	1/2	I	
