mc	mn	onset	chords	volta
103	103	0	iv.V	
103	103	1/2	viio7/V	
104	104	0	#viio43	
104	104	1/4	i6	
104	104	3/8	#viio65	
104	104	1/2	i	
105	105	0	.bIII.V	
105	105	1/2	viio7/V	
106	106	0	vii%7	
106	106	1/4	I6	
106	106	3/8	viio6	
106	106	1/2	I\\	
106	106	3/4	i.i	
106	106	7/8	v6	
107	107	0	viio6/V	
107	107	1/4	#viio	
107	107	1/2	I	
107	107	3/4	viio7/V	
108	108	0	V(64)	
108	108	1/2	V\\	
109	109	0	V7	
109	109	1/2	VI(6#2)	
109	109	3/4	VI	
110	110	0	V2/III	
110	110	1/2	IIIM65	
111	111	0	VIM2	
111	111	1/2	ii%65	
112	112	0	V2	
112	112	1/4	i64	
112	112	3/8	#viio64	
112	112	1/2	i6	
112	112	5/8	#viio6	
112	112	3/4	i	
112	112	7/8	v6	
113	113	0	.Ger6	
113	113	1/2	viio65/V	
114	114	0	V	
114	114	1/4	#viio7	
114	114	3/4	i	
115	115	0	iio6	
115	115	1/2	V(64)	
115	115	3/4	V	
116	116	0	i(94)	1
116	116	1/2	i\\	1
117	116	0	I.I[I(74)	2
118	117	0	I\\	
118	117	1/2	viio	
119	118	0	I]	
119	118	1/2	ii	
120	119	0	I	
121	120	0	I6	
121	120	1/2	I	
122	121	0	V2	
122	121	1/2	I6	
123	122	0	V2	
123	122	1/2	I6	
124	123	0	V43	
124	123	1/4	V6	
124	123	1/2	I	
124	123	3/4	I6	
125	124	0	IV	
125	124	1/2	vi	
125	124	3/4	V65/V	
126	125	0	V(4)	
126	125	1/4	V	
126	125	1/2	V\\	
127	126	0	I6	
127	126	1/2	I	
128	127	0	V2	
128	127	1/2	I6	
129	128	0	V2	
129	128	1/2	I6	
129	128	3/4	I	
130	129	0	V64	
130	129	1/4	V65	
130	129	1/2	I(4)	
130	129	3/4	vi	
131	130	0	ii6	
131	130	7/8	V7	
132	131	0	I(94)	
132	131	1/2	I\\	
133	132	0	IV6	
133	132	1/2	V(64)	
134	133	0	V2	
134	133	1/2	I6	
135	134	0	viio6/V	
135	134	1/2	V(64)	
136	135	0	V2	
136	135	1/2	I6	
137	136	0	viio6/V	
137	136	3/4	V	
138	137	0	V65	
138	137	3/4	I	
139	138	0	IV6	
139	138	1/2	V(64)	
139	138	3/4	V	
140	139	0	I(974)	
140	139	1/2	I\\	
141	140	0	V7/V	
141	140	3/4	V	
142	141	0	V7	
142	141	3/4	I	
143	142	1/4	ii6	
143	142	1/2	V(64)	
143	142	3/4	V7	
144	143	0	V43/V	
145	144	0	V65	
146	145	0	I6	
146	145	1/2	ii6	
147	146	0	V	
147	146	1/4	V(64)	
147	146	1/2	V7	
147	146	3/4	#viio7/vi	
148	147	0	V43/V	
149	148	0	V65	
150	149	0	V2/IV	
151	150	0	IV6	
152	151	0	.Ger6	
153	152	0	V	
153	152	1/2	I	
154	153	0	V6(4)	
154	153	1/4	V6	
154	153	1/2	I6(2)	
154	153	3/4	I6	
155	154	0	V43(6)	
155	154	1/4	V43	
155	154	1/2	I	
155	154	3/4	V6	
156	155	0	vi	
156	155	1/4	V43/V	
156	155	1/2	V7(4)	
156	155	3/4	V7	
157	156	0	V7(4)/IV	
157	156	1/4	V7/IV	
157	156	1/2	IV(4)	
157	156	5/8	IV	
157	156	3/4	I	
158	157	0	V43(4)	
158	157	1/4	V43	
158	157	1/2	I(4)	
158	157	5/8	I	
158	157	3/4	V	
159	158	0	V7(4)/V	
159	158	1/4	V7/V	
159	158	1/2	V[V(4)	
159	158	3/4	V	
160	159	0	IV(2)	
160	159	1/4	IV	
160	159	1/2	I6(6)	
160	159	3/4	I6	
161	160	0	V7(6)	
161	160	1/4	V7	
161	160	1/2	I(4)	
161	160	3/4	I	
162	161	0	V7	
162	161	1/2	V(64)	
163	162	0	V7	
163	162	1/2	V(64)	
164	163	0	V7	
164	163	1/2	V(64)	
165	164	0	viio65/V	
167	166	0	V(64)	
170	169	0	V7	
171	170	0	I\\	
171	170	3/8	I	
172	171	0	V65	
173	172	0	I	
174	173	0	V7]	
175	174	0	I\\	
177	176	0	I	
178	177	0	ii	
178	177	1/4	V2	
178	177	1/2	I6	
178	177	7/8	I64	
179	178	0	ii	
179	178	1/4	V2	
179	178	1/2	I6	
180	179	0	vi	
180	179	1/8	ii	
180	179	1/4	I6	
180	179	3/8	ii6	
180	179	1/2	V(4)	
180	179	7/8	V2	
181	180	0	I	
182	181	0	ii	
182	181	1/4	V2	
182	181	1/2	I6	
182	181	7/8	I64	
183	182	0	ii	
183	182	1/4	V2	
183	182	1/2	I6	
184	183	0	vi	
184	183	1/8	ii	
184	183	1/4	I6	
184	183	3/8	ii6	
184	183	1/2	V(4)	
184	183	3/4	V	
185	184	0	I\\	
185	184	1/2	V7	
186	185	0	I	
186	185	1/2	V7	
187	186	0	I	
187	186	1/2	V9	
188	187	0	I(74)	
188	187	1/2	I\\	
