mc	mn	onset	label	volta
239	238	0	V(64)	
239	238	1/4	V\\	
240	239	0	i	
240	239	3/8	v	
241	240	0	VI	
241	240	3/8	III	
242	241	0	iv	
242	241	3/8	i	
243	242	0	iio	
243	242	3/8	VI	
244	243	0	iio6	
245	244	0	V(64)	
245	244	1/4	V	
246	245	0	i\\	
247	246	1/4	V	
248	247	0	i	
249	248	1/4	V6	
250	249	0	i	
250	249	1/4	V(64)	
251	250	1/4	V	
252	251	0	i\\	
