ix	mn	onset	chords	volta
5	46	3/8	I6	
6	47	0	I6]	
7	47	3/8	V43	
8	48	0	I	
9	48	1/4	viio6/V	
10	48	3/8	V(64)	
11	48	5/8	V\\	
12	49	0	I	
13	49	1/4	V43	
14	49	3/8	I6	
15	49	5/8	I	
16	50	0	V6	
17	50	1/4	I	
18	50	3/8	V43	
19	50	5/8	V65	
20	51	0	vi7	
21	51	1/4	V65	
22	51	3/8	I	
23	51	5/8	ii6	
24	52	0	V(64)	
25	52	1/4	V7	
26	52	3/8	I(974)	
27	52	5/8	I\\	
28	53	0	I	
29	53	1/4	V43	
30	53	3/8	I	
31	53	5/8	ii65	
32	54	0	V(64)	
33	54	1/4	V7	
34	54	3/8	I\\	
0	55	0	i.i	
1	56	0	V	
2	56	3/8	V7	
3	57	0	i	
4	57	3/8	V43	
5	58	0	i6	
6	58	1/8	V43	
7	58	1/4	i	
8	58	3/8	V(64)	
9	58	5/8	V\\	
10	59	0	i	
11	60	0	V	
12	60	3/8	V7	
13	61	0	i	
14	61	1/4	V65	
15	61	3/8	i	
16	61	5/8	iv6	
17	62	0	V(64)	
18	62	1/4	V	
19	62	3/8	i\\	
0	63	0	i[i6	
1	63	1/4	V65/iv	
2	63	3/8	iv	
3	64	0	iv6	
4	64	7/16	i6]\\	
5	65	0	i	
6	65	3/8	#viio7	
7	65	5/8	#viio2	
8	66	0	i6	
9	66	1/8	V6	
10	66	1/4	i	
11	66	3/8	viio7/V	
12	66	5/8	V\\	
13	67	0	i	
14	68	0	V	
15	68	3/8	V7	
16	69	0	i	
17	69	1/4	V65	
18	69	3/8	i	
19	69	5/8	iv6	
20	70	0	V(64)	
21	70	1/4	V	
22	70	3/8	i\\	
23	71	1/4	V65	
24	71	3/8	i	
25	71	5/8	iv6	
26	72	0	V(64)	
27	72	1/4	V	
28	72	3/8	i\\	
0	73	0	I.I	
1	74	0	V	
2	74	3/8	V7	
3	75	0	I	
4	75	3/8	V	
5	76	0	V(64)	
6	76	3/8	V\\	
7	77	0	I	
8	78	0	V	
9	78	3/8	V7	
10	79	0	I	
11	79	1/2	vi	
12	79	5/8	ii6	
13	80	0	V(64)	
14	80	1/4	V	
15	80	3/8	I\\	
0	81	0	I[I6	
1	81	3/8	IV	
2	82	3/8	I6]	
3	83	0	I	
4	83	3/8	viio6	
5	84	0	I6	
6	84	1/8	viio6	
7	84	1/4	vii%43/V	
8	84	3/8	V(64)	
9	84	5/8	V\\	
10	85	0	I	
11	86	0	V	
12	86	3/8	V7	
13	87	0	I	
14	87	1/4	V	
15	87	3/8	I	
16	87	1/2	vi	
17	87	5/8	ii6	
18	88	0	V(64)	
19	88	1/4	V\\	
20	88	5/8	V(64)	
21	89	0	I	
22	89	1/4	V	
23	89	3/8	I	
24	89	5/8	IV	
25	90	0	V(64)	
26	90	1/4	V	
27	90	3/8	I\\	
0	91	0	I	
1	91	5/16	V43	
2	91	3/8	I6	
3	92	0	V6	
4	92	5/16	I	
5	92	3/8	#viio/ii	
6	92	1/2	V43	
7	92	5/8	V65	
8	93	0	vi7	
9	93	3/8	V6	
10	94	0	I	
11	94	1/8	vi	
12	94	1/4	ii6	
13	94	3/8	V	
14	94	5/8	V\\	
15	95	0	I	
16	95	1/4	I(+4+2)	
17	95	3/8	I	
18	96	0	V	
19	96	1/4	V(+4+2)	
20	96	3/8	V7	
21	97	0	vi7	
22	97	1/4	V6	
23	97	3/8	I	
24	97	5/8	ii65	
25	98	0	V(64)	1
26	98	1/4	V7(4)	1
27	98	5/16	V7	1
28	98	3/8	I(974)	1
29	98	1/2	I\\	1
30	98	0	V(64)	2
31	98	1/4	V7(4)	2
32	98	5/16	V7	2
33	98	3/8	I(974)	2
34	98	1/2	I\\	2
0	99	0	I[I6	
1	99	1/8	viio6	
2	99	1/4	viio/IV	
3	99	3/8	IV]	
4	99	1/2	IV6	
5	99	5/8	IV	
6	100	0	I(64)	
7	100	1/2	I\\	
8	101	0	I	
9	101	3/8	V43	
10	102	0	I	
11	102	1/8	V65	
12	102	1/4	I	
13	102	3/8	V(64)	
14	102	1/2	V\\	
15	103	0	I	
16	103	5/16	V43	
17	103	3/8	I6	
18	104	0	V6	
19	104	5/16	I	
20	104	3/8	V43	
21	104	1/2	V65	
22	104	5/8	V	
23	105	0	vi7	
24	105	1/4	V6	
25	105	3/8	I	
26	105	5/8	ii65	
27	106	0	V(64)	
28	106	5/16	V7	
29	106	3/8	I(974)	
30	106	5/8	I\\	
31	107	0	I	
32	107	1/4	viio6	
33	107	3/8	I6	
34	107	5/8	IV	
35	108	0	V(64)	1
36	108	1/4	V7	1
37	108	3/8	I(974)	1
38	108	1/2	I\\	1
39	108	0	V(64)	2
40	108	1/4	V7	2
41	108	3/8	I(974)	2
42	108	5/8	I\\	2
0	109	0	I	
1	109	1/4	V43	
2	109	1/2	I6	
3	109	3/4	I	
4	110	0	V6	
5	110	1/4	I	
6	110	1/2	V43	
7	111	0	I6	
8	111	1/2	V6	
9	112	0	I	
10	112	1/4	ii6	
11	112	1/2	V(64)	
12	112	3/4	V\\	
13	113	0	I	
14	114	0	V	
15	114	1/2	V7	
16	115	0	vi	
17	115	1/4	viio	
18	115	1/2	I	
19	115	3/4	IV	
20	115	7/8	viio	
21	116	0	I	
22	116	1/8	vi	
23	116	1/4	ii6	
24	116	3/8	V	
25	116	1/2	I\\	
0	117	0	I[I6	
1	117	1/2	IV	
2	118	1/2	I6]	
3	119	1/2	viio6	
4	120	0	I6	
5	120	1/4	ii6	
6	120	1/2	V\\	
7	121	0	I	
8	121	1/4	V43	
9	121	1/2	I6	
10	121	3/4	I	
11	122	0	V6	
12	122	1/4	I	
13	122	1/2	V43	
14	122	3/4	V65	
15	123	0	vi7	
16	123	1/4	V6	
17	123	1/2	I	
18	123	3/4	ii6	
19	124	0	V(64)	
20	124	1/4	V	
21	124	1/2	I(974)	
22	124	3/4	I\\	
23	125	0	I	
24	125	1/4	viio6	
25	125	1/2	I6	
26	125	3/4	IV	
27	126	0	V(64)	1
28	126	1/4	V7	1
29	126	1/2	I\\	1
30	126	0	V(64)	2
31	126	1/4	V7	2
32	126	1/2	I[I\\	2
0	127	0	IV	
1	127	1/2	II	
2	128	0	IV	
3	128	1/2	I]	
4	129	0	ii6	
5	129	1/2	V(64)	
6	130	0	V2	
7	130	1/2	I6	
8	131	0	ii6	
9	131	1/2	V(64)	
10	132	0	V	
11	132	1/2	I\\	
12	132	3/4	V7	
13	133	0	I	
14	133	1/4	V	
15	133	1/2	I	
16	133	3/4	V7	
17	134	0	I	
18	134	1/4	V	
19	134	1/2	I	
