mc	mn	onset	chords	volta
56	57	1/4	V65	
56	57	1/2	i(4)	
56	57	3/4	.Ger6	
57	58	0	V\\	
58	59	0	i	
59	60	0	V43	
59	60	1/4	i	
59	60	1/2	V65	
60	61	0	#viio43	
61	62	0	i6	
61	62	1/4	#viio6	
61	62	1/2	i\\	
62	63	0	.bII6	
62	63	1/4	#viio2	
62	63	1/2	i6(2)	
62	63	5/8	i6	
63	64	0	.bII6	
63	64	1/4	#viio2	
63	64	1/2	i6	
64	65	0	iio6(2)	
64	65	1/8	iio6	
64	65	1/2	V(64)	
64	65	3/4	V	
65	66	0	i(#74)	
66	67	0	i\\	
66	67	1/2	IV.V2	
67	68	0	I	
68	69	0	V43	
68	69	1/2	V7	
69	70	0	I	
70	71	0	V43	
70	71	1/2	V7	
71	72	0	I	
72	73	0	I.V43/ii	
73	74	0	ii	
73	74	1/2	ii2	
74	75	0	V65	
74	75	1/2	V43	
75	76	0	i.i	
76	77	0	VI	
77	78	1/2	.Ger6	
78	79	0	V\\	
78	79	5/8	viio/V	
79	80	0	V	
79	80	1/8	viio/V	
79	80	1/2	V	
79	80	5/8	viio/V	
80	81	0	V	
80	81	1/8	iii	
80	81	1/2	IV	
81	82	0	iii	
81	82	1/8	V6/ii	
81	82	1/2	ii	
81	82	5/8	V6	
82	83	0	I6	
82	83	1/2	I	
83	84	0	V2	
83	84	1/2	I6	
84	85	0	V2	
84	85	1/2	I6	
85	86	0	V43	
85	86	1/4	V65	
85	86	1/2	I	
86	87	0	IV	
86	87	1/2	vi	
86	87	3/4	V65/V	
87	88	0	V(4)	
87	88	1/4	V	
87	88	1/2	V\\	
88	89	0	I6	
88	89	1/2	I	
89	90	0	V2	
89	90	1/2	I6	
90	91	0	V2	
90	91	1/2	I6	
91	92	0	V65	
91	92	1/2	I	
91	92	3/4	vi	
92	93	0	IV	
92	93	3/8	ii6	
92	93	1/2	V(64)	
92	93	3/4	V7	
93	94	0	I(74)	
93	94	1/2	I\\	
94	95	0	i.i	
94	95	1/2	iv7	
95	96	0	V7/III	
95	96	1/2	IIIM7	
96	97	0	VIM7	
96	97	1/2	ii7	
97	98	0	V7	
97	98	1/2	i\\	
97	98	5/8	.bIII.V2	
97	98	3/4	I6	
97	98	7/8	viio6	
98	99	0	I	
99	100	1/4	V65	
99	100	3/4	I	
100	101	0	ii6	
100	101	1/2	V(64)	
100	101	3/4	V7	
101	102	0	I(94)	
101	102	1/2	I\\	
102	103	0	iv.V	
102	103	1/2	viio7/V	
103	104	0	#viio43	
103	104	1/4	i6	
103	104	3/8	#viio65	
103	104	1/2	i	
104	105	0	.bIII.V	
104	105	1/2	viio7/V	
105	106	0	vii%7	
105	106	1/4	I6	
105	106	3/8	viio6	
105	106	1/2	I\\	
105	106	3/4	i.i	
105	106	7/8	v6	
106	107	0	viio6/V	
106	107	1/4	#viio	
106	107	1/2	I	
106	107	3/4	viio7/V	
107	108	0	V(64)	
107	108	1/2	V\\	
108	109	0	V7	
108	109	1/2	VI(6#2)	
108	109	3/4	VI	
109	110	0	V2/III	
109	110	1/2	IIIM65	
110	111	0	VIM2	
110	111	1/2	ii%65	
111	112	0	V2	
111	112	1/4	i64	
111	112	3/8	#viio64	
111	112	1/2	i6	
111	112	5/8	#viio6	
111	112	3/4	i	
111	112	7/8	v6	
112	113	0	.Ger6	
112	113	1/2	viio65/V	
113	114	0	V	
113	114	1/4	#viio7	
113	114	3/4	i	
114	115	0	iio6	
114	115	1/2	V(64)	
114	115	3/4	V	
115	116	0	i(94)	1
115	116	1/2	i\\	1
116	116	0	I.I[I(74)	2
117	117	0	I\\	
117	117	1/2	viio	
118	118	0	I]	
118	118	1/2	ii	
119	119	0	I	
120	120	0	I6	
120	120	1/2	I	
121	121	0	V2	
121	121	1/2	I6	
122	122	0	V2	
122	122	1/2	I6	
123	123	0	V43	
123	123	1/4	V6	
123	123	1/2	I	
123	123	3/4	I6	
124	124	0	IV	
124	124	1/2	vi	
124	124	3/4	V65/V	
125	125	0	V(4)	
125	125	1/4	V	
125	125	1/2	V\\	
126	126	0	I6	
126	126	1/2	I	
127	127	0	V2	
127	127	1/2	I6	
128	128	0	V2	
128	128	1/2	I6	
128	128	3/4	I	
129	129	0	V64	
129	129	1/4	V65	
129	129	1/2	I(4)	
129	129	3/4	vi	
130	130	0	ii6	
130	130	7/8	V7	
131	131	0	I(94)	
131	131	1/2	I\\	
132	132	0	IV6	
132	132	1/2	V(64)	
133	133	0	V2	
133	133	1/2	I6	
134	134	0	viio6/V	
134	134	1/2	V(64)	
135	135	0	V2	
135	135	1/2	I6	
136	136	0	viio6/V	
136	136	3/4	V	
137	137	0	V65	
137	137	3/4	I	
138	138	0	IV6	
138	138	1/2	V(64)	
138	138	3/4	V	
139	139	0	I(974)	
139	139	1/2	I\\	
140	140	0	V7/V	
140	140	3/4	V	
141	141	0	V7	
141	141	3/4	I	
142	142	1/4	ii6	
142	142	1/2	V(64)	
142	142	3/4	V7	
143	143	0	V43/V	
144	144	0	V65	
145	145	0	I6	
145	145	1/2	ii6	
146	146	0	V	
146	146	1/4	V(64)	
146	146	1/2	V7	
146	146	3/4	#viio7/vi	
147	147	0	V43/V	
148	148	0	V65	
149	149	0	V2/IV	
150	150	0	IV6	
151	151	0	.Ger6	
152	152	0	V	
152	152	1/2	I	
153	153	0	V6(4)	
153	153	1/4	V6	
153	153	1/2	I6(2)	
153	153	3/4	I6	
154	154	0	V43(6)	
154	154	1/4	V43	
154	154	1/2	I	
154	154	3/4	V6	
155	155	0	vi	
155	155	1/4	V43/V	
155	155	1/2	V7(4)	
155	155	3/4	V7	
156	156	0	V7(4)/IV	
156	156	1/4	V7/IV	
156	156	1/2	IV(4)	
156	156	5/8	IV	
156	156	3/4	I	
157	157	0	V43(4)	
157	157	1/4	V43	
157	157	1/2	I(4)	
157	157	5/8	I	
157	157	3/4	V	
158	158	0	V7(4)/V	
158	158	1/4	V7/V	
158	158	1/2	V[V(4)	
158	158	3/4	V	
159	159	0	IV(2)	
159	159	1/4	IV	
159	159	1/2	I6(6)	
159	159	3/4	I6	
160	160	0	V7(6)	
160	160	1/4	V7	
160	160	1/2	I(4)	
160	160	3/4	I	
161	161	0	V7	
161	161	1/2	V(64)	
162	162	0	V7	
162	162	1/2	V(64)	
163	163	0	V7	
163	163	1/2	V(64)	
164	164	0	viio65/V	
166	166	0	V(64)	
169	169	0	V7	
170	170	0	I\\	
170	170	3/8	I	
171	171	0	V65	
172	172	0	I	
173	173	0	V7]	
174	174	0	I\\	
176	176	0	I	
177	177	0	ii	
177	177	1/4	V2	
177	177	1/2	I6	
177	177	7/8	I64	
178	178	0	ii	
178	178	1/4	V2	
178	178	1/2	I6	
179	179	0	vi	
179	179	1/8	ii	
179	179	1/4	I6	
179	179	3/8	ii6	
179	179	1/2	V(4)	
179	179	7/8	V2	
180	180	0	I	
181	181	0	ii	
181	181	1/4	V2	
181	181	1/2	I6	
181	181	7/8	I64	
182	182	0	ii	
182	182	1/4	V2	
182	182	1/2	I6	
183	183	0	vi	
183	183	1/8	ii	
183	183	1/4	I6	
183	183	3/8	ii6	
183	183	1/2	V(4)	
183	183	3/4	V	
184	184	0	I\\	
184	184	1/2	V7	
185	185	0	I	
185	185	1/2	V7	
186	186	0	I	
186	186	1/2	V9	
187	187	0	I(74)	
187	187	1/2	I\\	
