ix	mn	onset	chords	volta
105	58	0	#viio43/iii	
106	59	0	iii6	
107	60	0	vi	
108	61	0	vi6	
109	62	0	v.iio6	
110	62	3/8	viio/V	
111	63	0	V\\	
112	64	0	i6	
113	64	3/8	V64	
114	65	0	i	
115	65	3/8	V6	
116	66	0	i	
117	66	3/8	V43	
118	67	0	i	
119	67	1/4	V6	
120	68	0	V43	
121	68	3/8	i	
122	69	0	V6	
123	69	3/8	i	
124	70	0	V43	
125	70	3/8	i6	
126	71	0	V43	
127	71	1/4	i	
128	72	0	i6	
129	72	3/8	#viio6	
130	73	0	VI6	
131	73	3/8	v6	
132	74	0	iv6	
133	74	3/8	III6	
134	75	0	.bII6	
135	75	3/8	i6	
136	76	0	#viio6	
137	76	1/4	V65	
138	77	0	i	
139	77	1/4	iv	
140	78	0	V(64)	
141	78	1/4	V	
142	79	0	i\\	
143	80	0	i6	
144	80	3/8	#viio6	
145	81	0	i	
146	81	3/8	v6	
147	82	0	iv6	
148	82	3/8	III6	
149	83	0	.bII6	
150	83	3/8	i6	
151	84	0	#viio6	
152	84	1/4	V65	
153	85	0	i	
154	85	1/4	iv	
155	86	0	V(64)	
156	86	1/4	V	
157	87	0	i.V\\	
158	87	3/8	V65	
159	88	0	i	
160	89	0	iv	
161	90	0	V7/III	
162	91	0	III	
163	92	0	VIM7	
164	93	0	iio	
165	94	0	V7	
166	95	0	i	
167	95	3/8	v6	
168	96	0	iv6(9)	
169	96	1/4	iv6	
170	96	3/8	ii%65	
171	97	0	V7	
172	97	3/8	i6	
173	98	0	ii6(9)	
174	98	1/4	ii6	
175	98	3/8	viio/V	
176	99	0	V\\	
177	100	0	.It6(7)	
178	100	1/4	.It6	
179	101	0	V	
180	102	0	.It6(7)	
181	102	1/4	.It6	
182	103	0	V	
183	104	0	.It6(7)	
184	104	1/4	.It6	
185	105	0	V\\	
186	106	0	V7	
187	107	0	i[i	
188	107	3/8	#viio64	
189	108	0	i6	
190	108	3/8	V43	
191	109	0	i	
192	109	3/8	V6	
193	110	0	i]	
194	110	1/4	V	
195	111	0	iv6	
196	111	3/8	i64	
197	112	0	iv	
198	112	3/8	i6	
199	113	0	#viio6	
200	113	3/8	i	
201	114	0	V\\	
202	115	0	i[i	
203	115	3/8	#viio64	
204	116	0	i6	
205	116	3/8	V43	
206	117	0	i	
207	117	3/8	V6	
208	118	0	i]	
209	118	1/4	V	
210	119	0	iv	
211	119	3/8	i6	
212	120	0	iv6	
213	120	3/8	i64	
214	121	0	iio6	
215	121	1/4	V(4)	
216	121	3/8	V	
217	122	0	VI	
218	122	1/4	iv6	
219	123	0	iv	
220	123	3/8	i6	
221	124	0	#viio6	
222	124	3/8	i	
223	125	0	V6	
224	125	3/8	viio65/V	
225	126	0	V7	
226	127	0	i	
227	127	3/8	v	
228	128	0	VI	
229	128	3/8	III	
230	129	0	iv	
231	129	3/8	i	
232	130	0	iio	
233	130	3/8	VI	
234	131	0	#viio43	
235	132	0	i6	
236	132	1/4	VI	
237	133	0	iio6(2)	
238	133	1/8	iio6	
239	133	1/4	V(4)	
240	133	3/8	V	
241	134	0	i\\	
242	135	0	i	
243	135	3/8	v	
244	136	0	VI	
245	136	3/8	III	
246	137	0	iv	
247	137	3/8	i	
248	138	0	iio	
249	138	3/8	VI	
250	139	0	#viio43	
251	140	0	i6	
252	140	1/4	VI	
253	141	0	iio6(2)	
254	141	1/8	iio6	
255	141	1/4	V(4)	
256	141	3/8	V	
257	142	0	i\\	
0	143	0	I.I[I6	
1	144	1/8	ii6	
2	145	0	viio6	
3	146	1/8	I6	
4	148	0	IV	
5	149	1/8	viio6	
6	150	1/8	V	
7	150	1/4	I6	
8	152	1/8	ii6	
9	153	1/8	viio6	
10	154	0	I]	
11	155	0	V7/V	
12	156	0	V.I	
13	156	1/4	ii6	
14	157	0	V(64)	
15	157	1/4	V	
16	158	0	I\\	
0	160	0	I.I	
1	161	0	#viio43/ii	
2	162	0	ii6	
3	165	0	#viio43	
4	166	0	I6	
5	167	0	I[I6	
6	168	1/8	ii6	
7	169	1/8	viio6	
8	170	1/8	V	
9	170	1/4	I6	
10	171	0	V2	
11	172	0	I6	
12	173	0	V2]	
13	174	0	I\\	1
14	174	0	i[I\\	2
0	175	0	i.i	
1	175	3/8	#viio64	
2	176	0	i6	
3	176	3/8	V43	
4	177	0	i	
5	177	3/8	V6	
6	178	0	i]	
7	178	1/4	V	
8	179	0	iv6	
9	179	3/8	i64	
10	180	0	iv	
11	180	3/8	i6	
12	181	0	#viio6	
13	181	3/8	i	
14	182	0	V\\	
15	183	0	i[i	
16	183	3/8	#viio64	
17	184	0	i6	
18	184	3/8	V43	
19	185	0	i	
20	185	3/8	V6	
21	186	0	i]	
22	186	1/4	V	
23	187	0	iv	
24	187	3/8	i6	
25	188	0	iv6	
26	188	3/8	i64	
27	189	0	iio6	
28	189	1/4	V(4)	
29	189	3/8	V	
30	190	0	VI	
31	190	1/4	iv6	
32	191	0	iv	
33	191	3/8	i6	
34	192	0	#viio6	
35	192	3/8	i	
36	193	0	iio6(42)	
37	193	1/4	V(64)	
38	193	3/8	V	
39	194	0	i\\	
40	195	0	#viio7/iv	
41	196	0	iv	
42	197	0	viio7/V	
43	198	0	V	
44	199	0	iv6	
45	199	3/8	V	
46	200	0	iv6	
47	200	3/8	V	
48	201	0	iv6	
49	201	3/8	V	
50	202	0	iv6	
51	202	3/8	V	
52	203	0	i6	
53	203	3/8	V43	
54	204	0	i	
55	204	3/8	V43	
56	205	0	i6	
57	205	3/8	iio6	
58	206	0	i6	
59	206	1/4	V43	
60	207	0	V[V7	
61	207	3/8	i	
62	208	0	V	
63	208	3/8	i	
64	209	0	V7	
65	209	3/8	i	
66	210	0	V7]	
67	210	1/4	i	
68	211	0	i6	
69	211	3/8	VII6	
70	212	0	VI6	
71	212	3/8	v6	
72	213	0	iv6	
73	213	3/8	III6	
74	214	0	iio6	
75	214	3/8	i6	
76	215	0	#viio6	
77	215	1/4	V65	
78	216	0	i	
79	216	1/4	iv	
80	217	0	V(64)	
81	217	1/4	V	
82	218	0	i\\	
83	219	0	i6	
84	219	3/8	VII6	
85	220	0	VI6	
86	220	3/8	v6	
87	221	0	iv6	
88	221	3/8	III6	
89	222	0	iio6	
90	222	3/8	i6	
91	223	0	#viio6	
92	223	1/4	V65	
93	224	0	i	
94	224	1/4	iv	
95	225	0	V(64)	
96	225	1/4	V\\	
97	226	0	#viio43/iv	
98	227	0	iv6	
99	228	0	viio43/V	
100	229	0	V6	
101	230	0	#viio43	
102	231	0	i6	
103	231	1/4	iv	
104	232	0	V(64)	
105	232	1/4	V\\	
106	233	0	i	
107	233	3/8	v	
108	234	0	VI	
109	234	3/8	III	
110	235	0	iv	
111	235	3/8	i	
112	236	0	iio	
113	236	3/8	VI	
114	237	0	iio6	
115	238	0	V(64)	
116	238	1/4	V\\	
117	239	0	i	
118	239	3/8	v	
119	240	0	VI	
120	240	3/8	III	
121	241	0	iv	
122	241	3/8	i	
123	242	0	iio	
124	242	3/8	VI	
125	243	0	iio6	
126	244	0	V(64)	
127	244	1/4	V	
128	245	0	i\\	
129	246	1/4	V	
130	247	0	i	
131	248	1/4	V6	
132	249	0	i	
133	249	1/4	V(64)	
134	250	1/4	V	
135	251	0	i\\	
