mc	mn	onset	chords
80	81	1/4	IV
80	81	3/4	IV6
81	82	0	V(64)
81	82	3/4	I6
82	83	1/4	IV
82	83	3/4	IV6
83	84	0	V(64)
83	84	5/8	#viio6/V
84	85	1/4	I6
84	85	1/2	IV
84	85	3/4	#viio6
85	86	0	I6
85	86	1/2	V43
85	86	3/4	I
86	87	0	V65\\
87	88	0	I
87	88	1/4	ii6
87	88	1/2	V(64)
87	88	3/4	V
88	89	0	V65\\
89	90	0	I
89	90	1/4	ii6
89	90	1/2	V(64)
89	90	3/4	V
90	91	1/2	vi6
91	92	0	#viio65/vi
91	92	1/2	#viio43/vi
92	93	0	vi6
92	93	1/4	V6/vi
92	93	1/2	vi
92	93	3/4	V43/vi
93	94	0	vi6
93	94	1/4	V6/vi
93	94	1/2	vi
94	95	0	I.I
94	95	1/2	I6
95	96	0	i.#viio65
95	96	1/2	#viio43
96	97	0	i
96	97	1/4	V6
96	97	1/2	i
96	97	3/4	V64
97	98	0	i
97	98	1/4	V6
97	98	1/2	i
98	99	0	V43/VI
98	99	1/2	VI
99	100	0	V43/iv
99	100	1/2	iv
100	101	0	V(64)
100	101	1/2	.Ger6
102	103	0	V[V\\
102	103	1/2	i
103	104	0	V
103	104	1/2	i
104	105	0	V
104	105	1/4	i
104	105	1/2	V
104	105	3/4	viio6/V
105	106	0	V
105	106	1/4	i
105	106	1/2	V
105	106	3/4	viio6/V
106	107	0	V\\
107	108	0	I.vi2
107	108	3/4	V(#4#2)
108	109	0	V6
108	109	3/8	V+
108	109	1/2	I
108	109	3/4	viio/ii
109	110	0	V43]\\
111	112	0	I
111	112	1/2	I6
111	112	3/4	vi
112	113	0	ii
112	113	1/2	V
112	113	3/4	V2
113	114	0	I6
113	114	1/4	V6
113	114	1/2	I
113	114	3/4	ii6
114	115	0	V(64)
114	115	1/2	V\\
115	116	0	I
115	116	1/2	I6
115	116	3/4	vi
116	117	0	ii
116	117	1/2	V
116	117	3/4	V2
117	118	0	I6
117	118	1/4	ii6
117	118	1/2	V(64)
117	118	3/4	V
118	119	0	I\\
119	120	0	I
119	120	1/2	vi
120	121	0	ii6
120	121	1/2	V7
121	122	0	I6
121	122	1/4	V6
121	122	1/2	I
121	122	3/4	ii6
122	123	0	V(64)
122	123	1/2	V\\
123	124	0	I
123	124	1/2	vi
124	125	0	ii6
124	125	1/2	V7
125	126	0	I6
125	126	1/4	ii6
125	126	1/2	V(64)
125	126	3/4	V7
126	127	0	I\\
127	128	1/2	vi
127	128	3/4	ii6
128	129	0	V
129	130	0	V7
129	130	1/4	ii
129	130	1/2	viio
129	130	3/4	V
130	131	0	I\\
131	132	0	V65/IV
131	132	3/4	v64
132	133	0	V65/ii
133	134	0	ii
134	135	3/4	ii%2
135	136	0	V65
136	137	0	I\\
137	138	0	ii6
138	139	0	V43/IV
139	140	0	IV6
140	141	0	I6
140	141	1/2	V65/IV
141	142	0	IV
142	143	0	ii6
142	143	1/2	V65/V
143	144	0	V[V
143	144	3/4	V65
144	145	0	I
145	146	0	V7
146	147	0	I
147	148	0	V]\\
147	148	1/2	V2
148	149	0	I6
148	149	1/2	V2
149	150	0	I6
149	150	1/2	V2
150	151	0	I6
150	151	1/2	V2
151	152	0	I6
151	152	1/2	V2
152	153	0	I6
153	154	0	IV
153	154	3/4	ii65
154	155	0	V(64)
154	155	1/2	V7
155	156	0	I\\
155	156	3/8	#viio6
155	156	1/2	I6
155	156	7/8	V+6/vi
156	157	0	IV
157	158	0	V
158	159	0	V(64)
162	163	0	V7
163	164	0	I[I\\
164	165	0	viio6
165	166	0	viio64/IV
165	166	1/2	IV6
166	167	0	I
166	167	1/2	IV
166	167	3/4	viio6
167	168	0	I]
168	169	0	vi
169	170	0	I6
169	170	1/2	IVM7
169	170	3/4	vii%7/V
170	171	0	V(64)\\
172	173	0	V[I
173	174	0	ii6
173	174	1/2	viio6
174	175	0	i
175	176	0	iio6
175	176	1/2	viio6]
176	177	0	.bVI
177	178	0	.bVI(7)
177	178	1/2	.Ger6
178	179	0	V[V\\
179	180	0	vi2
180	181	0	V
180	181	1/4	V+
180	181	1/2	I
180	181	3/4	#viio/ii
181	182	0	V7]
185	186	0	I[I
186	187	0	IV
187	188	0	V7/IV]
188	189	0	V65/ii
188	189	1/2	ii
189	190	0	V65
189	190	1/2	I
190	191	0	IVM65
190	191	1/2	#viio
191	192	0	V65/vi
191	192	1/2	vi
192	193	0	ii65
193	194	0	V43/IV
194	195	0	IV6
194	195	1/2	V65/IV
195	196	0	IV
195	196	1/4	#viio6
195	196	1/2	I6
195	196	3/4	#viio
196	197	0	i
196	197	1/2	.bVI
197	198	0	viio7/V
197	198	1/2	V7\\
201	199	0	I
201	199	1/2	I6
201	199	3/4	vi
202	200	0	ii
202	200	1/2	V
202	200	3/4	V2
203	201	0	I6
203	201	1/4	V6
203	201	1/2	I
203	201	3/4	ii6
204	202	0	V(64)
204	202	1/2	V\\
205	203	0	I
205	203	1/2	vi
206	204	0	ii
206	204	1/2	V
207	205	0	I
207	205	1/4	ii6
207	205	1/2	V(64)
207	205	3/4	V7
208	206	0	I6
209	207	0	ii65
209	207	3/4	#viio64
210	208	0	I6
210	208	1/4	IV6
210	208	1/2	ii65
210	208	3/4	V
211	209	0	I6
212	210	0	IV
212	210	3/4	ii6
213	211	0	V(64)
214	212	0	V7
215	213	0	I[I\\
216	214	0	V43/IV
217	215	0	IV6
217	215	1/4	I6
217	215	1/2	IV
218	216	0	V43
219	217	0	I\\
220	218	0	V43/IV
221	219	0	IV6
221	219	1/4	I6
221	219	1/2	IV
222	220	0	V43
223	221	0	I6]
223	221	1/2	V7
224	222	0	I
224	222	1/2	V7
225	223	0	I
225	223	1/2	V7
226	224	0	I
