mc	mn	onset	chords
101	102	1/8	V7
101	102	1/4	V(64)
101	102	3/8	V
102	103	0	I\\
102	103	3/16	V2/IV
102	103	1/4	IV6
102	103	7/16	IV
103	104	0	I6
103	104	1/8	I
104	105	0	V(64)
104	105	1/4	V\\
105	106	0	V
106	107	0	V(64)
107	108	0	V65/V
108	109	0	V2
108	109	3/8	I6
108	109	7/16	viio6
109	110	0	I
110	111	0	IV64
111	112	0	V65
112	113	0	I
112	113	1/8	ii7
112	113	1/4	I6
112	113	3/8	I
113	114	0	IV
114	115	0	I
114	115	1/8	ii7
114	115	1/4	I6
114	115	3/8	I
115	116	0	IV
116	117	0	I
116	117	1/4	IV
117	118	0	V
117	118	1/8	#viio7/vi
117	118	3/8	vi
118	119	0	ii6
119	120	0	V(64)
119	120	1/4	V7
120	121	0	I\\
122	123	1/8	V65
122	123	1/4	I
123	124	0	IV
123	124	3/8	vii%7/V
124	125	0	V(64)
124	125	1/8	V\\
124	125	1/4	I
126	127	0	IV
126	127	1/4	V
127	128	0	vi
127	128	1/8	ii6
127	128	1/4	V(64)
127	128	3/8	V7
128	129	0	I[I
128	129	1/4	IV
129	130	0	I
129	130	1/4	IV
130	131	0	I6]
130	131	1/8	V2
130	131	1/4	I6
130	131	3/8	V2
131	132	0	I6
131	132	1/8	V2
131	132	1/4	I6
131	132	3/8	V6
132	133	0	I
133	134	0	ii6
133	134	1/4	V(64)
133	134	3/8	V7
134	135	0	I[I\\
134	135	1/16	I6
134	135	1/4	IV
135	136	0	I6
135	136	1/4	IV
136	137	0	I6]
136	137	1/8	V2
136	137	1/4	I6
136	137	3/8	V2
137	138	0	I6
137	138	1/8	V2
137	138	1/4	I6
137	138	3/8	V6
138	139	0	I
139	140	0	ii6
139	140	1/4	V(64)
139	140	3/8	V7
140	141	0	I\\
141	142	0	V(64)
141	142	1/4	V7
142	143	0	I\\
143	144	0	V(64)
143	144	1/4	V7
144	145	0	I[I\\
144	145	1/8	I6
144	145	1/4	IV
144	145	3/8	I64
145	146	0	IV6
145	146	3/16	V2/IV
145	146	1/4	IV6
145	146	3/8	#viio2/ii
146	147	0	ii6
146	147	1/8	#viio6/ii
146	147	1/4	ii6
146	147	3/8	viio6
147	148	0	I6
147	148	1/8	V2(9)
147	148	1/4	I6
147	148	3/8	V2(9)
148	149	0	I6
148	149	1/8	viio43
148	149	1/4	I6
148	149	7/16	viio43
149	150	0	I(974)
149	150	1/4	I]
