mc	mn	onset	chords
55	55	3/4	I
55	55	7/8	viio7/V
56	56	0	V(4)
56	56	1/4	V
56	56	1/2	I\\
57	57	0	I.V/ii
57	57	1/2	ii6
57	57	3/4	ii
57	57	7/8	vii64/V
58	58	0	V65
58	58	1/2	I
58	58	3/4	I6
59	59	0	V6/ii
59	59	1/8	ii
59	59	1/4	V65
59	59	3/8	I
59	59	1/2	IV6
59	59	5/8	#viio
59	59	3/4	V65/vi
59	59	7/8	vi
60	60	0	viio6/V
60	60	1/2	V
61	61	0	viio6/V
61	61	1/2	V
62	62	0	viio6/V
62	62	1/2	V\\
63	63	0	I
63	63	1/4	V43
63	63	1/2	I6(#4)
63	63	3/4	I
64	64	0	V6
64	64	1/4	I
64	64	1/2	V64
64	64	3/4	V2
65	65	0	I6
65	65	1/2	V6
66	66	0	I
66	66	3/8	ii6
66	66	1/2	V(64)
66	66	3/4	V\\
67	67	0	I
67	67	1/4	V43
67	67	1/2	I6(#4)
67	67	3/4	I
68	68	0	V6
68	68	1/4	I
68	68	1/2	V64
68	68	3/4	V2
69	69	0	I6
69	69	1/2	ii6
70	70	0	V(64)
70	70	1/4	V7
70	70	1/2	I\\
71	71	0	I(64)
71	71	1/2	I
72	72	0	V7
72	72	1/2	I(#97)
72	72	3/4	I
73	73	0	I(64)
73	73	1/2	I
74	74	0	V7
74	74	1/2	I(#97)
74	74	3/4	I
75	75	1/4	vi
75	75	1/2	viio6/V
75	75	7/8	V2/V
76	76	0	V6(4)
76	76	1/8	V6
76	76	3/8	V
76	76	1/2	IV6
76	76	7/8	viio
77	77	0	I
77	77	3/8	viio/IV
77	77	1/2	IV
77	77	5/8	iv
77	77	3/4	I64
77	77	7/8	.It6
78	78	0	V(64)
78	78	1/4	V
78	78	1/2	#viio7/vi
78	78	3/4	vi
79	79	0	vi6
79	79	1/2	viio7/V
80	80	0	viio2
80	80	1/2	viio7
81	81	0	I
81	81	1/4	V6
81	81	3/8	V2/IV
81	81	1/2	IV6
81	81	5/8	.It6
81	81	3/4	I64
81	81	7/8	I+6
82	82	0	IV
82	82	1/4	viio7/V
83	83	0	V(64)
84	84	0	V7
85	85	0	I\\
86	86	0	I(64)
87	87	0	I
88	88	0	V7
89	89	0	I\\
