piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	originalFormat	typesetter	viaf	wikidata	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
K282-2	1: 3/4	1: -2, 35: -3	76	72	216.0	186	176	528.0		488.0	736	421	0	0	129	Bb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	2	Menuetto I and Menuetto II	K282					2018-02-11	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_282_2.cap		Mozart, KV 282; - # -		S. #	3.6.2	2.4.0	MS3	MS3/K282-2.mscx	False	41-89 (F2-F6)	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q3964688	57-89 (A3-F6)	Klavier linke Hand	41-70 (F2-Bb4)	Klavier linke Hand
K282-3	1: 2/4	1: -3	104	102	204.0	208	204	408.0		468.5	964	621	0	0	176	Eb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	3	Allegro	K282					2018-02-11	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_282_3.cap		Mozart, KV 282; - # -		S. #	3.6.2	2.4.0	MS3	MS3/K282-3.mscx	False	39-87 (Eb2-Eb6)	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q3964689	60-87 (C4-Eb6)	Klavier linke Hand	39-75 (Eb2-Eb5)	Klavier linke Hand
K283-1	1: 3/4	1: 1	122	120	360.0	244	240	720.0		837.0	1654	971	0	0	326	G	Tal Soker	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 5 in G major	1	Allegro	K283					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_283_1.cap		Sonate in G-Dur; Mozart, KV 283			3.6.2	2.4.0	MS3	MS3/K283-1.mscx	False	31-88 (G1-E6)	https://imslp.org/wiki/Piano_Sonata_No.5_in_G_major,_K.283/189h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/cb47a22e-9fc6-4ab6-9be2-445113373353	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2738174	55-88 (G3-E6)	Klavier linke Hand	31-74 (G1-D5)	Klavier linke Hand
K283-2	1: 4/4	1: 0	41	39	164.0	76	76	304.0	[[[14], [15]], [[38], [39]]]	351.75	1078	673	0	0	169	C	Tal Soker	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 5 in G major	2	Andante	K283					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_283_2.cap		S. #; Mozart, KV 283			3.6.2	2.4.0	MS3	MS3/K283-2.mscx	False	43-88 (G2-E6)	https://imslp.org/wiki/Piano_Sonata_No.5_in_G_major,_K.283/189h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/cb47a22e-9fc6-4ab6-9be2+1	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2738175	59-88 (B3-E6)	Klavier linke Hand	43-76 (G2-E5)	Klavier linke Hand
K283-3	1: 3/8	1: 1	277	277	415.5	550	550	825.0		925.75	1899	1109	0	0	337	G	Tal Soker	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 5 in G major	3	Presto	K283					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_283_3.cap		S. #; Mozart, KV 283			3.6.2	2.4.0	MS3	MS3/K283-3.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Piano_Sonata_No.5_in_G_major,_K.283/189h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/cb47a22e-9fc6-4ab6-9be2+2	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2738176	56-89 (G#3-F6)	Klavier linke Hand	31-74 (G1-D5)	Klavier linke Hand
K284-1	1: 4/4	1: 2	127	127	508.0	254	254	1016.0		1238.5	2646	1570	0	0	330	D	Tal Soker	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 6 in D major	1	Allegro	K284					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_284_1.cap		Mozart, KV 284; Sonate in D-Dur; - # -			3.6.2	2.4.0	MS3	MS3/K284-1.mscx	False	33-89 (A1-F6)	https://imslp.org/wiki/Piano_Sonata_No.6_in_D_major,_K.284/205b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/28017093-d48e-43b9-a908-0e893a1e867e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2564721	56-89 (G#3-F6)	unbenannt2	33-86 (A1-D6)	unbenannt2
K284-2	1: 3/4	1: 3	92	92	276.0	92	92	276.0		659.5	1510	885	0	0	228	A	Tal Soker	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 6 in D major	2	Rondo en Polonaise - Andante	K284					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_284_2.cap		Mozart, KV 284; - # -			3.6.2	2.4.0	MS3	MS3/K284-2.mscx	False	37-88 (C#2-E6)	https://imslp.org/wiki/Piano_Sonata_No.6_in_D_major,_K.284/205b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/28017093-d48e-43b9-a908-0e893a1e867e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2564722	56-88 (G#3-E6)	unbenannt2	37-71 (C#2-B4)	unbenannt2
K284-3	1: 2/2, 248: 3/4	1: 2, 134: -1, 153: 2	287	260	1001.0	496	447	1749.0		2342.5	4434	2770	0	0	755	D	Adrian Nagel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 6 in D major	3	Andante	K284					2018-08-28	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_284_3.cap		Mozart, KV 284; - # -			3.6.2	2.4.0	MS3	MS3/K284-3.mscx	False	32-88 (G#1-E6)	https://imslp.org/wiki/Piano_Sonata_No.6_in_D_major,_K.284/205b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/28017093-d48e-43b9-a908-0e893a1e867e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2564723	44-88 (G#2-E6)	unbenannt2	32-88 (G#1-E6)	unbenannt2
K309-1	1: 4/4	1: 0	155	155	620.0	310	310	1240.0		1395.5	2374	1363	0	0	307	C	Tal Soker	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 7 in C major	1	Allegro con spirito	K309					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_309_1.cap		Mozart, KV 309; Sonate in C-Dur			3.6.2	2.4.0	MS3	MS3/K309-1.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Piano_Sonata_No.7_in_C_major,_K.309/284b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/645a1b04-b378-4883-91a6-2627553cd365	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2134785	50-89 (D3-F6)	Klavier linke Hand	31-79 (G1-G5)	Klavier linke Hand
K309-2	1: 3/4	1: -1	79	79	237.0	79	79	237.0		569.75	1443	868	0	0	259	F	Tal Soker	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 7 in C major	2	Andante un poco adagio	K309					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_309_2.cap		S. #; Mozart, KV 309			3.6.2	2.4.0	MS3	MS3/K309-2.mscx	False	33-89 (A1-F6)	https://imslp.org/wiki/Piano_Sonata_No.7_in_C_major,_K.309/284b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/645a1b04-b378-4883-91a6-2627553cd366	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2134786	52-89 (E3-F6)	Klavier linke Hand	33-72 (A1-C5)	Klavier linke Hand
K309-3	1: 2/4	1: 0	253	252	504.0	253	252	504.0		1190.58	3636	2191	0	0	406	C	Tal Soker	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 7 in C major	3	Rondeau – Allegretto grazioso	K309					2017-11-06	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_309_3.cap		S. #; Mozart, KV 309			3.6.2	2.4.0	MS3	MS3/K309-3.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Piano_Sonata_No.7_in_C_major,_K.309/284b_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/645a1b04-b378-4883-91a6-2627553cd367	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2134787	52-89 (E3-F6)	Klavier linke Hand	31-76 (G1-E5)	Klavier linke Hand
K310-1	1: 4/4	1: 0	133	133	532.0	266	266	1064.0		1603.5	3247	1846	0	0	292	a	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 8 in A minor	1	Allegro con spirito	K310					2016-07-13	3.02	Apple Macintosh	http://musescore.com/user/3414606/scores/2496401		Piano Sonata in A Minor	No. 8, K 310	"Wolfgang Amadeus Mozart
(1756-1791)"	3.6.2	2.4.0	MS3	MS3/K310-1.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Piano_Sonata_No.8_in_A_minor,_K.310/300d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/53b2287b-e013-4c53-8498-6ab35c5de503		https://musescore.com/lukemossman		http://www.wikidata.org/entity/Q1746050	57-89 (A3-F6)	Piano	31-72 (G1-C5)	Piano
K310-2	1: 3/4	1: -1	88	86	259.0	120	117	352.0		717.5	2127	1221	0	0	252	F	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 8 in A minor	2	Andante con espressione	K310					2016-07-13	3.02	Apple Macintosh	http://musescore.com/user/3414606/scores/2496401		Piano Sonata in A Minor	No. 8, K 310	"Wolfgang Amadeus Mozart
(1756-1791)"	3.6.2	2.4.0	MS3	MS3/K310-2.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Piano_Sonata_No.8_in_A_minor,_K.310/300d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/53b2287b-e013-4c53-8498-6ab35c5de504		https://musescore.com/lukemossman		http://www.wikidata.org/entity/Q1746051	48-89 (C3-F6)	Piano	29-75 (F1-Eb5)	Piano
K310-3	1: 2/4	1: 0, 143: 3, 176: 0	253	252	506.0	284	284	568.0	[[[174], [175]]]	1441.5	1861	978	0	0	428	a	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1777	1777	Wolfgang Amadeus Mozart	Piano Sonata no. 8 in A minor	3	Rondeau – Allegro	K310					2016-07-13	3.02	Apple Macintosh	http://musescore.com/user/3414606/scores/2496401		Piano Sonata in A Minor	No. 8, K 310	"Wolfgang Amadeus Mozart
(1756-1791)"	3.6.2	2.4.0	MS3	MS3/K310-3.mscx	False	33-88 (A1-E6)	https://imslp.org/wiki/Piano_Sonata_No.8_in_A_minor,_K.310/300d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/53b2287b-e013-4c53-8498-6ab35c5de505		https://musescore.com/lukemossman		http://www.wikidata.org/entity/Q1746052	53-88 (F3-E6)	Piano	33-72 (A1-C5)	Piano
K311-1	1: 4/4	1: 2	112	112	448.0	224	224	896.0		1013.5	2150	1340	0	0	319	D	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1778	1778	Wolfgang Amadeus Mozart	Piano Sonata no. 9 in D major	1	Allegro maestoso	K311					2017-07-13	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_311.cap					3.6.2	2.4.0	MS3	MS3/K311-1.mscx	False	35-88 (B1-E6)	https://imslp.org/wiki/Piano_Sonata_No.9_in_D_major,_K.311/284c_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/bd91e456-789c-4596-bedb-2259f113e3aa	mid	Tobias Schölkopf		http://www.wikidata.org/entity/Q4384367	40-88 (E2-E6)	Piano	35-76 (B1-E5)	Piano
K311-2	1: 2/4	1: 1	94	93	188.0	104	104	208.0	[[[12], [13]]]	551.38	1301	617	0	0	241	G	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1778	1778	Wolfgang Amadeus Mozart	Piano Sonata no. 9 in D major	2	Andante cantabile con espressione	K311					2018-08-28	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_311.cap					3.6.2	2.4.0	MS3	MS3/K311-2.mscx	False	35-88 (B1-E6)	https://imslp.org/wiki/Piano_Sonata_No.9_in_D_major,_K.311/284c_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/bd91e456-789c-4596-bedb-2259f113e3aa	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q4384368	57-88 (A3-E6)	Klavier linke Hand	35-76 (B1-E5)	Klavier linke Hand
K311-3	1: 6/8	1: 2	272	269	827.75	272	269	827.75		1852.0	3455	1953	0	0	491	D	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1778	1778	Wolfgang Amadeus Mozart	Piano Sonata no. 9 in D major	3	Presto	K311					2017-07-13	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_311.cap					3.6.2	2.4.0	MS3	MS3/K311-3.mscx	False	30-88 (F#1-E6)	https://imslp.org/wiki/Piano_Sonata_No.9_in_D_major,_K.311/284c_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/bd91e456-789c-4596-bedb-2259f113e3aa	mid	Tobias Schölkopf		http://www.wikidata.org/entity/Q4384369	54-88 (F#3-E6)	Piano	30-74 (F#1-D5)	Piano
K330-1	1: 2/4	1: 0	150	150	300.0	300	300	600.0		638.5	2274	1507	0	0	293	C	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1783	1783	Wolfgang Amadeus Mozart	Piano Sonata no. 10 in C major	1	Allegro moderato	K330					2017-07-13	3.02	Microsoft Windows	https://kern.humdrum.org/cgi-bin/ksdata?location=users/craig/classical/mozart/piano/sonata&file=sonata10-1.krn&format=xml					3.6.2	2.4.0	MS3	MS3/K330-1.mscx	False	43-89 (G2-F6)	https://imslp.org/wiki/Piano_Sonata_No.10_in_C_major,_K.330/300h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/70d1fa96-da75-4ec2-97e4-759ff26eb881	mid	Craig Stuart Sapp	https://viaf.org/viaf/186306915	http://www.wikidata.org/entity/Q2706156	57-89 (A3-F6)	Piano	43-72 (G2-C5)	Piano
K330-2	1: 3/4	1: -1, 23: -4, 46: -1	70	64	192.0	110	100	300.0		601.0	945	464	0	0	187	F	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1783	1783	Wolfgang Amadeus Mozart	Piano Sonata no. 10 in C major	2	Andante cantabile	K330					2017-07-13	3.02	Microsoft Windows	https://kern.humdrum.org/cgi-bin/ksdata?location=users/craig/classical/mozart/piano/sonata&file=sonata10-2.krn&format=xml					3.6.2	2.4.0	MS3	MS3/K330-2.mscx	False	35-84 (B1-C6)	https://imslp.org/wiki/Piano_Sonata_No.10_in_C_major,_K.330/300h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/70d1fa96-da75-4ec2-97e4-759ff26eb882	mid	Craig Stuart Sapp	https://viaf.org/viaf/186306916	http://www.wikidata.org/entity/Q2706157	55-84 (G3-C6)	Piano	35-65 (B1-F4)	Piano
K330-3	1: 2/4	1: 0	171	171	342.0	342	342	684.0		726.58	2112	1392	0	0	365	C	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1783	1783	Wolfgang Amadeus Mozart	Piano Sonata no. 10 in C major	3	Allegretto	K330					2017-07-13	3.02	Microsoft Windows	https://kern.humdrum.org/cgi-bin/ksdata?location=users/craig/classical/mozart/piano/sonata&file=sonata10-3.krn&format=xml					3.6.2	2.4.0	MS3	MS3/K330-3.mscx	False	36-89 (C2-F6)	https://imslp.org/wiki/Piano_Sonata_No.10_in_C_major,_K.330/300h_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/70d1fa96-da75-4ec2-97e4-759ff26eb883	mid	Craig Stuart Sapp	https://viaf.org/viaf/186306917	http://www.wikidata.org/entity/Q2706158	59-89 (B3-F6)	Piano	36-72 (C2-C5)	Piano
K331-1	1: 6/8, 111: 4/4	1: 3, 55: 0, 73: 3	137	134	438.0	260	260	824.0	[[[98], [99]], [[109], [110]], [[128], [129]]]	1138.06	3251	1829	0	0	399	A	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1783	1783	Wolfgang Amadeus Mozart	Piano Sonata no. 11 in A major	1	Andante grazioso	K331					2017-06-08	3.02	Microsoft Windows	http://musescore.com/user/14709081/scores/4745241		Sonata No. XI in A Major		Wolfgang Amadeus Mozart (K. 331)	3.6.2	2.4.0	MS3	MS3/K331-1.mscx	False	33-89 (A1-F6)	https://imslp.org/wiki/Piano_Sonata_No.11_in_A_major,_K.331/300i_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/a488a020-884d-3349-a7e7-18993ffed13e		https://musescore.com/user/14709081	https://viaf.org/viaf/201853721	http://www.wikidata.org/entity/Q908534	57-89 (A3-F6)	Piano	33-69 (A1-A4)	Piano
