mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
7	7	7	7a	26	26	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
8	8	8	8a	28	28	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	8	8a	30	30	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	9	9a	32	32	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	9	9a	34	34	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	36	36	1.0	0	0	2/2	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	37	37	1.0	1/4	1/4	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	10	10a	38	38	1.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
10	10	10	10a	39	39	1.0	3/4	3/4	2/2	2	1		vi		F	I		vi		vi							m	0	0	3, 0, 4		3	3
11	11	11	11a	40	40	1.5	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	11	11a	83/2	83/2	0.5	3/8	3/8	2/2	2	1		ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	11	11a	42	42	1.0	1/2	1/2	2/2	2	1		V(64)		F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
11	11	11	11a	43	43	1.0	3/4	3/4	2/2	2	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	12	12a	44	44	2.0	0	0	2/2	2	1		I(74)}		F	I		I(74)		I			74			}	M	0	0	0, -1, 1	5	0	0
12	12	12	12a	46	46	2.0	1/2	1/2	2/2	2	1		I|PAC		F	I		I		I					PAC		M	0	0	0, 4, 1		0	0
13	13	13	13a	48	48	2.0	0	0	2/2	2	1		V.I6{		F	V		I6		I		6				{	M	0	0	4, 1, 0		0	4
13	13	13	13a	50	50	2.0	1/2	1/2	2/2	2	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	14	14	14a	52	52	2.0	0	0	2/2	2	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	14	14a	54	54	2.0	1/2	1/2	2/2	2	1		vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
15	15	15	15a	56	56	2.0	0	0	2/2	2	1		I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	58	58	2.0	1/2	1/2	2/2	2	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	16	16a	60	60	2.0	0	0	2/2	2	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	16	16a	62	62	2.0	1/2	1/2	2/2	2	1		vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
17	17	17	17a	64	64	4.0	0	0	2/2	2	1		ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	18	18	18a	68	68	2.0	0	0	2/2	2	1		V(64)}		F	V		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
18	18	18	18a	70	70	2.0	1/2	1/2	2/2	2	1		V|HC		F	V		V		V					HC		M	0	0	1, 5, 2		1	1
19	19	19	19a	72	72	2.0	0	0	2/2	2	1		IV6{		F	V		IV6		IV		6				{	M	0	0	3, 0, -1		-1	3
19	19	19	19a	74	74	2.0	1/2	1/2	2/2	2	1		I64		F	V		I64		I		64					M	0	0	1, 0, 4		0	1
20	20	20	20a	76	76	2.0	0	0	2/2	2	1		V2		F	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
20	20	20	20a	78	78	2.0	1/2	1/2	2/2	2	1		I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
21	21	21	21a	80	80	2.0	0	0	2/2	2	1		IV6		F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
21	21	21	21a	82	82	2.0	1/2	1/2	2/2	2	1		I64		F	V		I64		I		64					M	0	0	1, 0, 4		0	1
22	22	22	22a	84	84	2.0	0	0	2/2	2	1		V2		F	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
22	22	22	22a	86	86	2.0	1/2	1/2	2/2	2	1		I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	23	23a	88	88	3.0	0	0	2/2	2	1		viio6/V		F	V		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
23	23	23	23a	91	91	1.0	3/4	3/4	2/2	2	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
24	24	24	24a	92	92	3.0	0	0	2/2	2	1		V65		F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	24	24	24a	95	95	1.0	3/4	3/4	2/2	2	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
25	25	25	25a	96	96	2.0	0	0	2/2	2	1		IV6		F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
25	25	25	25a	98	98	1.0	1/2	1/2	2/2	2	1		V(64)		F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
25	25	25	25a	99	99	1.0	3/4	3/4	2/2	2	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
26	26	26	26a	100	100	2.0	0	0	2/2	2	1		I(97)}		F	V		I(97)		I			97			}	M	0	0	0, 4, 1	2, 5	0	0
26	26	26	26a	102	102	2.0	1/2	1/2	2/2	2	1		I|IAC		F	V		I		I					IAC		M	0	0	0, 4, 1		0	0
27	27	27	27a	104	104	3.0	0	0	2/2	2	1		V7/V{		F	V		V7/V		V		7		V		{	Mm7	0	0	2, 6, 3, 0		2	2
27	27	27	27a	107	107	1.0	3/4	3/4	2/2	2	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
28	28	28	28a	108	108	3.0	0	0	2/2	2	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	28	28a	111	111	1.0	3/4	3/4	2/2	2	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
29	29	29	29a	112	112	2.0	0	0	2/2	2	1		ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
29	29	29	29a	114	114	1.0	1/2	1/2	2/2	2	1		V(64)		F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
29	29	29	29a	115	115	1.0	3/4	3/4	2/2	2	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	30	30	30a	116	116	1.0	0	0	2/2	2	1		I|PAC}{		F	V		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
30	30	30	30a	117	117	3.0	1/4	1/4	2/2	2	1		V[I		F	V	V	I		I							M	0	0	0, 4, 1		0	0
31	31	31	31a	120	120	4.0	0	0	2/2	2	1		V7		F	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	32	32a	124	124	4.0	0	0	2/2	2	1		I		F	V	V	I		I							M	0	0	0, 4, 1		0	0
33	33	33	33a	128	128	4.0	0	0	2/2	2	1		V7]		F	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	34	34a	132	132	5.5	0	0	2/2	2	1		I}		F	V		I		I						}	M	0	0	0, 4, 1		0	0
35	35	35	35a	275/2	275/2	14.5	3/8	3/8	2/2	2	1		I.V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	39	39a	152	152	2.0	0	0	2/2	2	1		I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
39	39	39	39a	154	154	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
40	40	40	40a	156	156	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
40	40	40	40a	158	158	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
41	41	41	41a	160	160	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
41	41	41	41a	162	162	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
42	42	42	42a	164	164	1.0	0	0	2/2	2	1		V64		F	I		V64		V		64					M	0	0	2, 1, 5		1	2
42	42	42	42a	165	165	1.0	1/4	1/4	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
42	42	42	42a	166	166	1.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
42	42	42	42a	167	167	1.0	3/4	3/4	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
43	43	43	43a	168	168	2.0	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
43	43	43	43a	170	170	1.0	1/2	1/2	2/2	2	1		vi	IV6	F	I		vi		vi							m	0	0	3, 0, 4		3	3
43	43	43	43a	171	171	1.0	3/4	3/4	2/2	2	1		V65/V		F	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
44	44	44	44a	172	172	1.0	0	0	2/2	2	1		V(4)}		F	I		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
44	44	44	44a	173	173	3.0	1/4	1/4	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
44	44	44	44a	174	174	0.0	1/2	1/2	2/2	2	1		|HC		F	I									HC			0	0				
45	45	45	45a	176	176	2.0	0	0	2/2	2	1		I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
45	45	45	45a	178	178	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
46	46	46	46a	180	180	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
46	46	46	46a	182	182	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
47	47	47	47a	184	184	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
47	47	47	47a	186	186	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
48	48	48	48a	188	188	1.0	0	0	2/2	2	1		V64		F	I		V64		V		64					M	0	0	2, 1, 5		1	2
48	48	48	48a	189	189	1.0	1/4	1/4	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
48	48	48	48a	190	190	1.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
48	48	48	48a	191	191	1.0	3/4	3/4	2/2	2	1		vi		F	I		vi		vi							m	0	0	3, 0, 4		3	3
49	49	49	49a	192	192	1.5	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
49	49	49	49a	387/2	387/2	0.5	3/8	3/8	2/2	2	1		ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
49	49	49	49a	194	194	1.0	1/2	1/2	2/2	2	1		V(64)		F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
49	49	49	49a	195	195	1.0	3/4	3/4	2/2	2	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	50	50	50a	196	196	2.0	0	0	2/2	2	1		I(74)}		F	I		I(74)		I			74			}	M	0	0	0, -1, 1	5	0	0
50	50	50	50a	198	198	2.0	1/2	1/2	2/2	2	1		I|PAC		F	I		I		I					PAC		M	0	0	0, 4, 1		0	0
51	51	51	51a	200	200	4.0	0	0	2/2	2	1		vi.i{		F	vi		i		i						{	m	0	1	0, -3, 1		0	0
52	52	52	52a	204	204	1.0	0	0	2/2	2	1		V43		F	vi		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
52	52	52	52a	205	205	1.0	1/4	1/4	2/2	2	1		i		F	vi		i		i							m	0	1	0, -3, 1		0	0
52	52	52	52a	206	206	2.0	1/2	1/2	2/2	2	1		V6		F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
53	53	53	53a	208	208	4.0	0	0	2/2	2	1		#viio43		F	vi		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
54	54	54	54a	212	212	1.0	0	0	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
54	54	54	54a	213	213	1.0	1/4	1/4	2/2	2	1		#viio6		F	vi		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
54	54	54	54a	214	214	2.0	1/2	1/2	2/2	2	1		i}		F	vi		i		i						}	m	0	1	0, -3, 1		0	0
55	55	55	55a	216	216	2.0	0	0	2/2	2	1		V2{		F	vi		V2		V		2				{	Mm7	0	1	-1, 1, 5, 2		1	-1
55	55	55	55a	218	218	2.0	1/2	1/2	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
56	56	56	56a	220	220	2.0	0	0	2/2	2	1		V2		F	vi		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
56	56	56	56a	222	222	2.0	1/2	1/2	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
57	57	57	57a	224	224	1.0	0	0	2/2	2	1		V64		F	vi		V64		V		64					M	0	1	2, 1, 5		1	2
57	57	57	57a	225	225	1.0	1/4	1/4	2/2	2	1		V65		F	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
57	57	57	57a	226	226	1.0	1/2	1/2	2/2	2	1		I		F	vi		I		I							M	0	1	0, 4, 1		0	0
57	57	57	57a	227	227	1.0	3/4	3/4	2/2	2	1		Ger6		F	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
58	58	58	58a	228	228	4.0	0	0	2/2	2	1		V|HC}		F	vi		V		V					HC	}	M	0	1	1, 5, 2		1	1
59	59	59	59a	232	232	4.0	0	0	2/2	2	1		i{		F	vi		i		i						{	m	0	1	0, -3, 1		0	0
60	60	60	60a	236	236	1.0	0	0	2/2	2	1		V43		F	vi		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
60	60	60	60a	237	237	1.0	1/4	1/4	2/2	2	1		i		F	vi		i		i							m	0	1	0, -3, 1		0	0
60	60	60	60a	238	238	2.0	1/2	1/2	2/2	2	1		V6		F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
61	61	61	61a	240	240	4.0	0	0	2/2	2	1		#viio43		F	vi		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
62	62	62	62a	244	244	1.0	0	0	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
62	62	62	62a	245	245	1.0	1/4	1/4	2/2	2	1		#viio6		F	vi		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
62	62	62	62a	246	246	2.0	1/2	1/2	2/2	2	1		i}		F	vi		i		i						}	m	0	1	0, -3, 1		0	0
63	63	63	63a	248	248	1.0	0	0	2/2	2	1		bII6{		F	vi		bII6		bII		6				{	M	0	1	-1, -4, -5		-5	-1
63	63	63	63a	249	249	1.0	1/4	1/4	2/2	2	1		#viio2		F	vi		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
63	63	63	63a	250	250	2.0	1/2	1/2	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
64	64	64	64a	252	252	1.0	0	0	2/2	2	1		bII6		F	vi		bII6		bII		6					M	0	1	-1, -4, -5		-5	-1
64	64	64	64a	253	253	1.0	1/4	1/4	2/2	2	1		#viio2		F	vi		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
64	64	64	64a	254	254	2.0	1/2	1/2	2/2	2	1		i6		F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
65	65	65	65a	256	256	2.0	0	0	2/2	2	1		iio6		F	vi		iio6		ii	o	6					o	0	1	-1, -4, 2		2	-1
65	65	65	65a	258	258	1.0	1/2	1/2	2/2	2	1		V(64)		F	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
65	65	65	65a	259	259	1.0	3/4	3/4	2/2	2	1		V		F	vi		V		V							M	0	1	1, 5, 2		1	1
66	66	66	66a	260	260	4.0	0	0	2/2	2	1		i(#74)}		F	vi		i(#74)		i			#74			}	m	0	1	0, -1, 1	5	0	0
67	67	67	67a	264	264	2.0	0	0	2/2	2	1		i|PAC		F	vi		i		i					PAC		m	0	1	0, -3, 1		0	0
67	67	67	67a	266	266	2.0	1/2	1/2	2/2	2	1		IV.V2		F	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
68	68	68	68a	268	268	4.0	0	0	2/2	2	1		I{		F	IV		I		I						{	M	0	0	0, 4, 1		0	0
69	69	69	69a	272	272	2.0	0	0	2/2	2	1		V43		F	IV		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
69	69	69	69a	274	274	2.0	1/2	1/2	2/2	2	1		V7		F	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	70	70	70a	276	276	4.0	0	0	2/2	2	1		I		F	IV		I		I							M	0	0	0, 4, 1		0	0
71	71	71	71a	280	280	2.0	0	0	2/2	2	1		V43		F	IV		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
71	71	71	71a	282	282	2.0	1/2	1/2	2/2	2	1		V7		F	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
72	72	72	72a	284	284	4.0	0	0	2/2	2	1		I		F	IV		I		I							M	0	0	0, 4, 1		0	0
73	73	73	73a	288	288	4.0	0	0	2/2	2	1		I.V43/ii		F	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
74	74	74	74a	292	292	2.0	0	0	2/2	2	1		ii		F	I		ii		ii							m	0	0	2, -1, 3		2	2
74	74	74	74a	294	294	2.0	1/2	1/2	2/2	2	1		ii2		F	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
75	75	75	75a	296	296	2.0	0	0	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
75	75	75	75a	298	298	2.0	1/2	1/2	2/2	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
76	76	76	76a	300	300	4.0	0	0	2/2	2	1		i		F	I		i		i							m	0	0	0, -3, 1		0	0
77	77	77	77a	304	304	4.0	0	0	2/2	2	1		bVI		F	I		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
78	78	78	78a	308	308	4.0	0	0	2/2	2	1		Ger6		F	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
79	79	79	79a	312	312	2.5	0	0	2/2	2	1		V|HC}		F	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
79	79	79	79a	629/2	629/2	1.5	5/8	5/8	2/2	2	1		viio/V		F	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
80	80	80	80a	316	316	0.5	0	0	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
80	80	80	80a	633/2	633/2	1.5	1/8	1/8	2/2	2	1		viio/V		F	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
80	80	80	80a	318	318	0.5	1/2	1/2	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
80	80	80	80a	637/2	637/2	1.5	5/8	5/8	2/2	2	1		viio/V		F	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
81	81	81	81a	320	320	2.0	0	0	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
81	81	81	81a	322	322	2.0	1/2	1/2	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
82	82	82	82a	324	324	0.5	0	0	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
82	82	82	82a	649/2	649/2	1.5	1/8	1/8	2/2	2	1		V6/ii		F	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
82	82	82	82a	326	326	0.5	1/2	1/2	2/2	2	1		ii		F	I		ii		ii							m	0	0	2, -1, 3		2	2
82	82	82	82a	653/2	653/2	1.5	5/8	5/8	2/2	2	1		V6		F	I		V6		V		6					M	0	0	5, 2, 1		1	5
83	83	83	83a	328	328	2.0	0	0	2/2	2	1		I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
83	83	83	83a	330	330	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
84	84	84	84a	332	332	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
84	84	84	84a	334	334	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
85	85	85	85a	336	336	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
85	85	85	85a	338	338	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
86	86	86	86a	340	340	1.0	0	0	2/2	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
86	86	86	86a	341	341	1.0	1/4	1/4	2/2	2	1		V6		F	I		V6		V		6					M	0	0	5, 2, 1		1	5
86	86	86	86a	342	342	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
87	87	87	87a	344	344	2.0	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
87	87	87	87a	346	346	1.0	1/2	1/2	2/2	2	1		vi	IV6	F	I		vi		vi							m	0	0	3, 0, 4		3	3
87	87	87	87a	347	347	1.0	3/4	3/4	2/2	2	1		V65/V		F	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
88	88	88	88a	348	348	1.0	0	0	2/2	2	1		V(4)}		F	I		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
88	88	88	88a	349	349	3.0	1/4	1/4	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
88	88	88	88a	350	350	0.0	1/2	1/2	2/2	2	1		|HC		F	I									HC			0	0				
89	89	89	89a	352	352	2.0	0	0	2/2	2	1		I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
89	89	89	89a	354	354	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
90	90	90	90a	356	356	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
90	90	90	90a	358	358	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
91	91	91	91a	360	360	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
91	91	91	91a	362	362	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
92	92	92	92a	364	364	1.0	0	0	2/2	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
92	92	92	92a	365	365	1.0	1/4	1/4	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
92	92	92	92a	366	366	1.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
92	92	92	92a	367	367	1.0	3/4	3/4	2/2	2	1		vi		F	I		vi		vi							m	0	0	3, 0, 4		3	3
93	93	93	93a	368	368	1.5	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
93	93	93	93a	739/2	739/2	0.5	3/8	3/8	2/2	2	1		ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
93	93	93	93a	370	370	1.0	1/2	1/2	2/2	2	1		V(64)		F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
93	93	93	93a	371	371	1.0	3/4	3/4	2/2	2	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	94	94	94a	372	372	2.0	0	0	2/2	2	1		I(74)}		F	I		I(74)		I			74			}	M	0	0	0, -1, 1	5	0	0
94	94	94	94a	374	374	2.0	1/2	1/2	2/2	2	1		I|PAC		F	I		I		I					PAC		M	0	0	0, 4, 1		0	0
95	95	95	95a	376	376	2.0	0	0	2/2	2	1		i.i{		F	i		i		i						{	m	0	1	0, -3, 1		0	0
95	95	95	95a	378	378	2.0	1/2	1/2	2/2	2	1		iv7		F	i		iv7		iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
96	96	96	96a	380	380	2.0	0	0	2/2	2	1		V7/III		F	i		V7/III		V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
